condition,true_class,seed,evidence_sufficient,classification_correct,classification_margin,top_score,second_score,mean_score,score_spread,top_to_second_ratio
measurement_noise_1.25,measurement_noise,7,True,True,1.0786114908879438,1.3243962431274716,0.24578475223952773,0.39254524884174985,1.3243962431274716,5.388439400957641
measurement_noise_1.25,measurement_noise,8,True,True,1.6190233021041436,2.356936389962361,0.7379130878582176,0.991728870276827,2.040291708194678,3.1940569001156245
measurement_noise_1.25,measurement_noise,9,True,True,1.0597979673760647,1.8308726338492056,0.7710746664731409,0.8425595942278238,1.5209914346689533,2.374442727085246
measurement_noise_1.25,measurement_noise,10,True,True,0.5485412704941957,1.6328422702072365,1.0843009997130408,0.9616097937513504,1.2422225830236409,1.5058939082762632
measurement_noise_1.25,measurement_noise,11,True,True,1.3954668664146408,1.7887179278431378,0.39325106142849686,0.5809113699710011,1.7887179278431378,4.54853935127604
measurement_noise_1.25,measurement_noise,12,True,True,1.4360864836385585,1.8181021465409664,0.38201566290240774,0.590343387252105,1.8181021465409664,4.759234563114423
measurement_noise_1.25,measurement_noise,13,True,True,0.8322501560579864,1.7527450505347573,0.9204948944767709,0.804264019980373,1.7488579320220017,1.9041333754807528
measurement_noise_1.25,measurement_noise,14,True,True,0.7422240740110695,1.62194120515541,0.8797171311443406,0.8518464594052961,1.1725703839303574,1.8437076507123795
measurement_noise_1.25,measurement_noise,15,True,True,0.9255527659926648,1.9042108900849577,0.9786581240922929,0.9758677119591779,1.8600237641256514,1.945736558258453
measurement_noise_1.25,measurement_noise,16,True,True,1.474366946646903,1.8422429205545865,0.3678759739076837,0.6244318657599933,1.8422429205545865,5.007782652889093
measurement_noise_1.25,measurement_noise,17,True,True,1.2548505487702546,1.9930359368597268,0.7381853880894722,0.7479274242157105,1.9930359368597268,2.6999124732274704
measurement_noise_1.25,measurement_noise,18,True,True,1.7270822570755773,2.3069667162557197,0.5798844591801424,0.811274436686888,2.3069667162557197,3.9783213357940275
measurement_noise_1.25,measurement_noise,19,True,True,0.8070508819251209,1.4852567662589,0.6782058843337792,0.5577817515963502,1.4852567662589,2.18997917972316
measurement_noise_1.25,measurement_noise,20,True,True,1.2115454019536367,1.5529677351684315,0.34142233321479465,0.5371034609928581,1.5529677351684315,4.5485241710503
measurement_noise_1.25,measurement_noise,21,True,True,1.2497266330826435,1.8642677301260195,0.614541097043376,0.6866572217570895,1.8642677301260195,3.033593260226502
measurement_noise_1.25,measurement_noise,22,True,True,1.2854734526655842,1.619314882159955,0.3338414294943708,0.5724869993679522,1.6114467025325165,4.850551007427942
measurement_noise_1.25,measurement_noise,23,True,True,1.1659549582696342,1.7169803546619187,0.5510253963922844,0.7365684734987796,1.529157655725144,3.115973176373263
measurement_noise_1.25,measurement_noise,24,True,True,1.5281722655175063,2.129871302204508,0.601699036687002,0.8086569059744633,2.129871302204508,3.5397618615582176
measurement_noise_1.25,measurement_noise,25,True,True,1.2219962710753598,1.657230020469801,0.4352337493944412,0.5707830266072352,1.657230020469801,3.8076781103757837
measurement_noise_1.25,measurement_noise,26,True,True,1.1590303377499187,1.8661718664143985,0.7071415286644797,0.7113677881103116,1.8661718664143985,2.639035880039807
measurement_noise_1.25,measurement_noise,27,True,True,1.2764806525355363,1.6933125484920937,0.4168318959565573,0.5944836961617985,1.6933125484920937,4.062339194562286
measurement_noise_1.25,measurement_noise,28,True,True,0.1660932289200422,1.0110116163896312,0.844918387469589,0.6740554485779844,1.0110116163896312,1.196579020390681
measurement_noise_1.25,measurement_noise,29,True,True,1.0208038430683146,1.6896568249080044,0.6688529818396898,0.6552415581577522,1.6896568249080044,2.526200631203068
measurement_noise_1.25,measurement_noise,30,True,True,0.8027339160719937,1.1696995568457378,0.366965640773744,0.4117271170093166,1.1641950025454024,3.187490671813984
measurement_noise_1.25,measurement_noise,31,True,True,1.4933576694794533,2.451312070277666,0.9579544007982127,1.1813858966755237,1.8719457271284798,2.5589026661734198
measurement_noise_1.25,measurement_noise,32,True,True,0.9393801589964167,1.521289805281961,0.5819096462855443,0.6501743451609036,1.3097334284461362,2.614305872037128
measurement_noise_1.25,measurement_noise,33,True,True,0.9168238236917785,1.3466371259207077,0.4298133022289292,0.5410000192546243,1.3112713583737436,3.133074567339292
measurement_noise_1.25,measurement_noise,34,True,True,0.7921268950911071,1.9405112574918812,1.1483843624007741,1.1144220878944562,1.4536219353563962,1.6897750622739438
measurement_noise_1.25,measurement_noise,35,True,False,0.5589499914258644,2.1976038047741397,1.6386538133482753,1.3673627899226788,2.1976038047741397,1.3411031585020488
measurement_noise_1.25,measurement_noise,36,True,True,1.1268111384450479,1.5350568755762684,0.40824573713122037,0.486203698740868,1.5350568755762684,3.76012958851571
measurement_noise_1.25,measurement_noise,37,True,True,1.126294047722748,1.8448698091099698,0.7185757613872217,0.8295461377222969,1.727578425925019,2.5673977724295245
measurement_noise_1.25,measurement_noise,38,True,True,1.3431436143382123,1.9589111130169785,0.6157674986787663,0.7173297008881396,1.9589111130169785,3.181251230727464
measurement_noise_1.25,measurement_noise,39,True,True,1.325628197624524,2.020929650480249,0.6953014528557249,0.7414195443566542,2.020929650480249,2.9065517441061433
measurement_noise_1.25,measurement_noise,40,True,True,1.135759022834804,1.7425747716469668,0.6068157488121629,0.6457372597387545,1.7425747716469668,2.8716703135262582
