condition,true_class,replicate,population_size,hard_accuracy,coverage,selective_accuracy,evidence_sufficient
measurement_noise_0.975,measurement_noise,65,100,0.99,0.91,0.989010989010989,True
measurement_noise_0.975,measurement_noise,66,100,0.98,0.9,0.9888888888888889,True
measurement_noise_0.975,measurement_noise,67,100,0.97,0.86,0.9883720930232558,True
measurement_noise_0.975,measurement_noise,68,100,0.93,0.84,0.9880952380952381,True
measurement_noise_0.975,measurement_noise,69,100,0.98,0.89,1.0,True
measurement_noise_0.975,measurement_noise,70,100,0.97,0.86,1.0,True
measurement_noise_0.975,measurement_noise,71,100,0.96,0.93,1.0,True
measurement_noise_0.975,measurement_noise,72,100,0.97,0.91,0.989010989010989,True
measurement_noise_0.975,measurement_noise,73,100,1.0,0.95,1.0,True
measurement_noise_0.975,measurement_noise,74,100,0.98,0.94,0.9893617021276596,True
measurement_noise_0.975,measurement_noise,75,100,0.96,0.85,1.0,True
measurement_noise_0.975,measurement_noise,76,100,0.99,0.94,1.0,True
measurement_noise_0.975,measurement_noise,77,100,0.95,0.89,0.9775280898876404,True
measurement_noise_0.975,measurement_noise,78,100,0.96,0.85,0.9882352941176471,True
measurement_noise_0.975,measurement_noise,79,100,0.96,0.86,0.9883720930232558,True
measurement_noise_0.975,measurement_noise,80,100,0.96,0.86,1.0,True
measurement_noise_0.975,measurement_noise,81,100,0.95,0.87,0.9885057471264368,True
measurement_noise_0.975,measurement_noise,82,100,0.98,0.87,1.0,True
measurement_noise_0.975,measurement_noise,83,100,0.98,0.89,1.0,True
measurement_noise_0.975,measurement_noise,84,100,0.97,0.9,1.0,True
measurement_noise_0.975,measurement_noise,85,100,0.99,0.95,1.0,True
measurement_noise_0.975,measurement_noise,86,100,0.96,0.9,0.9888888888888889,True
measurement_noise_0.975,measurement_noise,87,100,0.99,0.91,1.0,True
measurement_noise_0.975,measurement_noise,88,100,0.95,0.81,1.0,True
measurement_noise_0.975,measurement_noise,89,100,0.95,0.91,1.0,True
measurement_noise_0.975,measurement_noise,90,100,0.96,0.93,1.0,True
measurement_noise_0.975,measurement_noise,91,100,0.95,0.86,1.0,True
measurement_noise_0.975,measurement_noise,92,100,0.95,0.89,1.0,True
measurement_noise_0.975,measurement_noise,93,100,0.95,0.91,0.989010989010989,True
