analysis,population,policy,reference_policy,metric,n,mean,ci95_low,ci95_high,mean_delta,win_rate,direction_agreement
paired_comparison,seed_000_009,fixed_k3,two_stage_1.00,over_count,10,,5.363319518273427,11.636680481726573,8.5,0.0,
paired_comparison,seed_000_009,fixed_k3,two_stage_1.00,action_entropy,10,,-0.5855170029283393,-0.392995504221325,-0.48925625357483216,0.0,
paired_comparison,seed_000_009,fixed_k3,two_stage_1.00,pareto_efficient,10,,-1.0,-1.0,-1.0,0.0,
paired_comparison,seed_000_009,oracle,two_stage_1.00,mean_regret,10,,-0.006843340249164525,-0.003736901253926966,-0.0052901207515457455,1.0,
paired_comparison,seed_000_009,oracle,two_stage_1.00,under_count,10,,-7.848066210442417,-3.5519337895575838,-5.7,1.0,
paired_comparison,seed_000_009,oracle,two_stage_1.00,over_count,10,,-67.32353530416842,-59.67646469583159,-63.5,1.0,
paired_comparison,seed_000_009,oracle,two_stage_1.00,action_entropy,10,,0.22285149683797445,0.40188809000591486,0.31236979342194465,1.0,
paired_comparison,seed_000_009,oracle,two_stage_1.00,pareto_efficient,10,,-1.0,-1.0,-1.0,0.0,
paired_comparison,seed_100_139,direct_loss,two_stage_1.00,mean_regret,40,,0.004922882002297125,0.006471630466011955,0.00569725623415454,0.0,
paired_comparison,seed_100_139,direct_loss,two_stage_1.00,under_count,40,,5.402170936849665,6.897829063150335,6.15,0.0,
paired_comparison,seed_100_139,direct_loss,two_stage_1.00,over_count,40,,-20.153932316605495,-17.446067683394507,-18.8,1.0,
paired_comparison,seed_100_139,direct_loss,two_stage_1.00,action_entropy,40,,0.3100215372158292,0.4047089591265896,0.3573652481712094,1.0,
paired_comparison,seed_100_139,direct_loss,two_stage_1.00,pareto_efficient,40,,-0.018402279164307048,0.11840227916430705,0.05,0.05,
paired_comparison,seed_100_139,fixed_risk_0.010,two_stage_1.00,mean_regret,40,,0.0023530701392734652,0.0036002008276657285,0.002976635483469597,0.05,
paired_comparison,seed_100_139,fixed_risk_0.010,two_stage_1.00,under_count,40,,2.6364570702539236,3.713542929746076,3.175,0.0,
paired_comparison,seed_100_139,fixed_risk_0.010,two_stage_1.00,over_count,40,,-5.021173930296682,-3.478826069703319,-4.25,0.925,
paired_comparison,seed_100_139,fixed_risk_0.010,two_stage_1.00,action_entropy,40,,0.06522430052890313,0.13192217355328623,0.09857323704109468,0.75,
paired_comparison,seed_100_139,fixed_risk_0.010,two_stage_1.00,pareto_efficient,40,,-0.5153313688882467,-0.18466863111175322,-0.35,0.025,
paired_comparison,seed_100_139,two_stage_0.10,two_stage_1.00,mean_regret,40,,0.004078843229686165,0.005541398625823271,0.004810120927754718,0.0,
paired_comparison,seed_100_139,two_stage_0.10,two_stage_1.00,under_count,40,,4.5180071084388835,5.931992891561116,5.225,0.0,
paired_comparison,seed_100_139,two_stage_0.10,two_stage_1.00,over_count,40,,-15.10766691190894,-12.84233308809106,-13.975,1.0,
paired_comparison,seed_100_139,two_stage_0.10,two_stage_1.00,action_entropy,40,,0.2923999244325499,0.38163257091034664,0.3370162476714483,1.0,
paired_comparison,seed_100_139,two_stage_0.10,two_stage_1.00,pareto_efficient,40,,-0.29969747270189073,-0.0003025272981092286,-0.15,0.05,
paired_comparison,seed_100_139,two_stage_0.25,two_stage_1.00,mean_regret,40,,0.003038868875821355,0.004180171590451391,0.003609520233136373,0.025,
paired_comparison,seed_100_139,two_stage_0.25,two_stage_1.00,under_count,40,,3.304051733449586,4.445948266550414,3.875,0.0,
paired_comparison,seed_100_139,two_stage_0.25,two_stage_1.00,over_count,40,,-10.635708898811304,-8.564291101188696,-9.6,1.0,
paired_comparison,seed_100_139,two_stage_0.25,two_stage_1.00,action_entropy,40,,0.23097874456419776,0.3069891465580915,0.26898394556114463,1.0,
paired_comparison,seed_100_139,two_stage_0.25,two_stage_1.00,pareto_efficient,40,,-0.38939781332378187,-0.06060218667621817,-0.225,0.05,
paired_comparison,seed_100_139,fixed_k3,two_stage_1.00,mean_regret,40,,-0.006311102532958923,-0.0045464637923390136,-0.0054287831626489685,1.0,
paired_comparison,seed_100_139,fixed_k3,two_stage_1.00,under_count,40,,-8.602888006687902,-5.847111993312098,-7.225,1.0,
paired_comparison,seed_100_139,fixed_k3,two_stage_1.00,over_count,40,,8.575432853979333,11.874567146020667,10.225,0.0,
paired_comparison,seed_100_139,fixed_k3,two_stage_1.00,action_entropy,40,,-0.6427661762223024,-0.5561138038186829,-0.5994399900204926,0.0,
paired_comparison,seed_100_139,fixed_k3,two_stage_1.00,pareto_efficient,40,,-1.018402279164307,-0.8815977208356929,-0.95,0.0,
paired_comparison,seed_100_139,oracle,two_stage_1.00,mean_regret,40,,-0.008569567597140549,-0.006689303429274634,-0.007629435513207591,1.0,
paired_comparison,seed_100_139,oracle,two_stage_1.00,under_count,40,,-8.602888006687902,-5.847111993312098,-7.225,1.0,
paired_comparison,seed_100_139,oracle,two_stage_1.00,over_count,40,,-57.52244889731573,-53.92755110268427,-55.725,1.0,
paired_comparison,seed_100_139,oracle,two_stage_1.00,action_entropy,40,,0.11496924472670329,0.18725801679174547,0.15111363075922438,0.925,
paired_comparison,seed_100_139,oracle,two_stage_1.00,pareto_efficient,40,,-1.018402279164307,-0.8815977208356929,-0.95,0.0,
cross_population_stability,combined,fixed_risk_0.010,direct_loss,mean_regret,2,,,,-0.004727630543895128,1.0,1
cross_population_stability,combined,fixed_risk_0.010,direct_loss,under_count,2,,,,-4.9375,1.0,1
cross_population_stability,combined,fixed_risk_0.010,direct_loss,over_count,2,,,,15.775,0.0,1
cross_population_stability,combined,fixed_risk_0.010,direct_loss,action_entropy,2,,,,-0.22994002528922877,0.0,1
cross_population_stability,combined,fixed_risk_0.010,direct_loss,pareto_efficient,2,,,,-0.2,0.0,0
cross_population_stability,combined,two_stage_0.10,direct_loss,mean_regret,2,,,,-0.0016654699417545027,0.8375,1
cross_population_stability,combined,two_stage_0.10,direct_loss,under_count,2,,,,-1.5125000000000002,0.8125,1
cross_population_stability,combined,two_stage_0.10,direct_loss,over_count,2,,,,4.5125,0.0,1
cross_population_stability,combined,two_stage_0.10,direct_loss,action_entropy,2,,,,-0.005564842983317907,0.4375,0
cross_population_stability,combined,two_stage_0.10,direct_loss,pareto_efficient,2,,,,-0.1,0.0,0
cross_population_stability,combined,two_stage_0.25,direct_loss,mean_regret,2,,,,-0.0034768605397144667,0.9875,1
cross_population_stability,combined,two_stage_0.25,direct_loss,under_count,2,,,,-3.4375,0.975,1
cross_population_stability,combined,two_stage_0.25,direct_loss,over_count,2,,,,9.899999999999999,0.0,1
cross_population_stability,combined,two_stage_0.25,direct_loss,action_entropy,2,,,,-0.0769445404140485,0.1625,1
cross_population_stability,combined,two_stage_0.25,direct_loss,pareto_efficient,2,,,,-0.23750000000000002,0.0,1
cross_population_stability,combined,two_stage_1.00,direct_loss,mean_regret,2,,,,-0.008549948801300077,1.0,1
cross_population_stability,combined,two_stage_1.00,direct_loss,under_count,2,,,,-9.175,1.0,1
cross_population_stability,combined,two_stage_1.00,direct_loss,over_count,2,,,,22.15,0.0,1
cross_population_stability,combined,two_stage_1.00,direct_loss,action_entropy,2,,,,-0.4045538669235227,0.0,1
cross_population_stability,combined,two_stage_1.00,direct_loss,pareto_efficient,2,,,,-0.025,0.0,0
cross_population_stability,combined,fixed_k3,direct_loss,mean_regret,2,,,,-0.01337464983301943,1.0,1
cross_population_stability,combined,fixed_k3,direct_loss,under_count,2,,,,-15.6375,1.0,1
cross_population_stability,combined,fixed_k3,direct_loss,over_count,2,,,,31.5125,0.0,1
cross_population_stability,combined,fixed_k3,direct_loss,action_entropy,2,,,,-0.9489019887211851,0.0,1
cross_population_stability,combined,fixed_k3,direct_loss,pareto_efficient,2,,,,-1.0,0.0,1
cross_population_stability,combined,oracle,direct_loss,mean_regret,2,,,,-0.015009726933676745,1.0,1
cross_population_stability,combined,oracle,direct_loss,under_count,2,,,,-15.6375,1.0,1
cross_population_stability,combined,oracle,direct_loss,over_count,2,,,,-37.4625,1.0,1
cross_population_stability,combined,oracle,direct_loss,action_entropy,2,,,,-0.17281215483293824,0.0125,1
cross_population_stability,combined,oracle,direct_loss,pareto_efficient,2,,,,-1.0,0.0,1
cross_population_stability,combined,direct_loss,two_stage_1.00,mean_regret,2,,,,0.008549948801300077,0.0,1
cross_population_stability,combined,direct_loss,two_stage_1.00,under_count,2,,,,9.175,0.0,1
cross_population_stability,combined,direct_loss,two_stage_1.00,over_count,2,,,,-22.15,1.0,1
cross_population_stability,combined,direct_loss,two_stage_1.00,action_entropy,2,,,,0.4045538669235227,1.0,1
cross_population_stability,combined,direct_loss,two_stage_1.00,pareto_efficient,2,,,,0.025,0.025,0
cross_population_stability,combined,fixed_risk_0.010,two_stage_1.00,mean_regret,2,,,,0.0038223182574049492,0.025,1
cross_population_stability,combined,fixed_risk_0.010,two_stage_1.00,under_count,2,,,,4.2375,0.0,1
cross_population_stability,combined,fixed_risk_0.010,two_stage_1.00,over_count,2,,,,-6.375,0.9625,1
cross_population_stability,combined,fixed_risk_0.010,two_stage_1.00,action_entropy,2,,,,0.17461384163429394,0.875,1
cross_population_stability,combined,fixed_risk_0.010,two_stage_1.00,pareto_efficient,2,,,,-0.175,0.0125,0
cross_population_stability,combined,two_stage_0.10,two_stage_1.00,mean_regret,2,,,,0.006884478859545575,0.0,1
