condition,true_class,seed,classification_correct,classification_margin,score_spread,delta_event_vs_pre_nis,delta_post_vs_pre_nis,recovery_ratio_nis,event_max_nis,post_longest_nis_run_above_1,delta_event_vs_pre_autocorrelation,delta_post_vs_pre_autocorrelation,parameter_shift_post_vs_pre,post_cumulative_abs_parameter_update,evidence_sufficient
process_disturbance_2.25,process_disturbance,1000,True,0.1132617380532488,1.7813047331748535,1.5066356925641937,0.22558980088881952,0.43805963202095727,7.849330081937772,2,0.8000647065627978,0.3477239306129495,-0.00021285448359986692,0.06435478526270735,False
process_disturbance_2.25,process_disturbance,1001,True,3.0225398317822614,5.519752048894248,2.865426587042373,-0.20760987194616853,0.21730306124669826,31.465149344225512,1,0.27099468278286487,-0.025541354388591987,-7.998376502127424e-05,0.05491557105324669,False
process_disturbance_2.25,process_disturbance,1002,True,4.88866392040984,9.088826075610285,4.422608742515649,0.31727380578580366,0.19985962992967432,44.72512041247204,2,0.6870277341138555,0.44911114240469474,-0.0005173123875328312,0.050257195600290225,False
process_disturbance_2.25,process_disturbance,1003,False,0.19390541410095874,0.5152338186430778,0.7833186907560716,0.20523136573654943,0.6002140901895192,8.099772088970974,2,0.5890440266024759,0.1259573939818886,0.003212173647254346,0.052162508758739075,False
process_disturbance_2.25,process_disturbance,1004,True,2.1121082629831474,4.627813079690739,2.7662103103780575,0.09507309661961327,0.231488410008226,21.623468384431217,2,0.48350219801676875,0.03704553338503036,-0.002831179954409291,0.05350907442992683,False
process_disturbance_2.25,process_disturbance,1005,True,1.8277786883979523,3.5083991144044733,2.0624087157530715,-0.32670786781752137,0.23871478479006003,22.841832991464035,2,0.414210049214902,0.09305334401840032,-0.004206240917752457,0.049287656627783685,False
process_disturbance_2.25,process_disturbance,1006,True,2.064676630741628,4.266018473995892,2.630028314663341,-0.11850031873118128,0.20250671472448903,21.072593448023614,2,0.35243036975845826,0.14834404551580904,-0.0019658882896519403,0.051533582276079494,False
process_disturbance_2.25,process_disturbance,1007,True,2.2538076237244917,4.093514343263353,2.3725559168302315,0.15167973592372253,0.3051397455246966,27.869405474109616,5,0.29191133027335425,-0.18474402685917085,0.004884210237134146,0.05831447479483267,False
process_disturbance_2.25,process_disturbance,1008,False,0.34206525839551105,0.4895687871349482,0.1665351681218501,-0.6736536712893316,0.5218519073840419,6.170673182353772,2,0.24205216651539682,-0.20814583399317096,0.006039125287577662,0.05319421938210838,False
process_disturbance_2.25,process_disturbance,1009,True,0.32934548444287026,1.9520823098720437,1.6040564354951214,0.382180332016473,0.40410338974263643,9.512969623237526,1,0.6501441426608169,0.09247430769932077,-0.0016625893358226396,0.052156715916642504,False
process_disturbance_2.25,process_disturbance,1010,True,1.7337799585191678,3.446203887717819,1.9801289807764846,-0.09871266842310467,0.2813476875693475,22.18950883594738,2,0.4959361876697467,0.24072770057519005,-0.001008118329802965,0.0496306703973921,False
process_disturbance_2.25,process_disturbance,1011,False,0.23555197870269673,0.35453877992250193,0.9247853997200886,0.613498502776906,0.8155368873912162,7.318575487756684,3,0.18841581063806867,-0.18156317501301447,-0.001956219749709165,0.07031449260411504,False
