regime,seed,pre_parameter_mean,event_parameter_mean,post_parameter_mean,parameter_shift_event_vs_pre,parameter_shift_post_vs_pre,final_parameter_estimate,event_mean_abs_parameter_update,post_mean_abs_parameter_update,event_cumulative_abs_parameter_update,post_cumulative_abs_parameter_update,event_mean_lambda,post_mean_lambda,event_mean_effective_q,post_mean_effective_q,event_mean_nis,post_mean_nis
process_disturbance,20,0.9191566175291012,0.9482270779397638,0.9223781196560198,0.029070460410662635,0.0032215021269186295,0.9098736104452199,0.00529822566147981,0.003293324960430308,0.05298225661479811,0.06586649920860617,0.17208889895002225,0.13107386813574387,0.8182183355411727,0.09236604184726802,4.7311639580553155,1.0880770791410646
process_disturbance,21,0.9184021490816385,0.9419888524624657,0.9216639685503266,0.023586703380827134,0.0032618194686880875,0.9209890030255184,0.006408901192150206,0.0026879143983531695,0.06408901192150207,0.05375828796706339,0.17770705359723662,0.12436701388411858,0.4783959882752869,0.0763304366917248,3.305141212268187,0.8352706549211493
process_disturbance,22,0.9157452707508588,0.9399059098102405,0.9197917804045488,0.024160639059381706,0.0040465096536900225,0.9154267023051071,0.0061992268045434245,0.002407695660943753,0.06199226804543425,0.04815391321887504,0.16765697074459202,0.12114953089890491,0.8016882856477063,0.07135488616393988,4.689309721311952,0.8196017991133101
process_disturbance,23,0.9215553717781423,0.9332078857260131,0.9212182019755641,0.011652513947870813,-0.0003371698025781411,0.9244470567576087,0.0042132470756768145,0.0032470591969846947,0.042132470756768146,0.06494118393969389,0.1593284168949801,0.11818297495320479,0.23750605247601922,0.09535200021959567,1.642612676254402,1.157600759641105
process_disturbance,24,0.9190995386587061,0.9373387417097874,0.9231165639747843,0.018239203051081287,0.004017025316078171,0.9227379764827957,0.004284094623397017,0.0032604254024687445,0.042840946233970174,0.06520850804937489,0.15709479312591526,0.1355715574242328,0.6359249422052238,0.11531126520571697,3.4963313242137297,1.2663088648872587
process_disturbance,25,0.9220737558249994,0.9388345833783379,0.9185627481779051,0.01676082755333852,-0.003511007647094333,0.9196240767051336,0.004505630528045889,0.0031347718440779006,0.0450563052804589,0.06269543688155801,0.15720055301913632,0.13103071488424634,0.20079657460218564,0.09628302142553885,1.6146592761590872,1.145334042743942
process_disturbance,26,0.9200168006967392,0.9406272540674961,0.9219201124421398,0.020610453370756954,0.0019033117454005932,0.918001171836264,0.006463801489780829,0.002442172602510923,0.06463801489780828,0.04884345205021846,0.17943362518669237,0.10831750724317936,0.7747432885805942,0.037364443629016454,4.671533153651016,0.7205358676918283
process_disturbance,27,0.9192107584319062,0.9392428058903786,0.9218734818704224,0.020032047458472313,0.002662723438516146,0.9227478295183249,0.005174067596007221,0.0038022319946246575,0.05174067596007221,0.07604463989249316,0.16837628153083473,0.13581806392986942,0.47474238007896125,0.1441649559199911,3.106964121080779,1.4601533666285105
process_disturbance,28,0.92118315235543,0.9392476534689285,0.9226247459240399,0.018064501113498443,0.0014415935686098447,0.9214276506480854,0.005264395221684091,0.00225279427684209,0.05264395221684091,0.045055885536841804,0.17050221164188306,0.08711119003746241,0.33358816693803983,0.03580933048248987,2.4634989862856793,0.6761888242780397
process_disturbance,29,0.920139758955633,0.9371719094405275,0.9230126367712863,0.01703215048489448,0.002872877815653263,0.9199293296528986,0.006172958446573786,0.0023292277764548025,0.061729584465737855,0.04658455552909604,0.1644937198542149,0.1143473004500345,0.4413104558606233,0.057978818486204814,2.9898548887259584,0.8695354142218074
process_disturbance,30,0.9208384590467518,0.9432372004527043,0.9200356147756142,0.02239874140595255,-0.0008028442711375261,0.9227307720247414,0.0067401484397932206,0.0028600583718627033,0.06740148439793221,0.057201167437254063,0.17689493157890102,0.12393238295528718,0.7468513201084128,0.06125532400410948,4.61378284759859,0.8414803436277802
process_disturbance,31,0.9201366846984308,0.9362838677559333,0.9207198024215631,0.016147183057502512,0.0005831177231323537,0.918309486542982,0.006552161779611412,0.0033916529975386057,0.06552161779611412,0.06783305995077211,0.17483772858004917,0.14569708035956494,0.6876375083989725,0.14254071836342383,4.097789387443678,1.2767787263037844
process_disturbance,32,0.9193993473225878,0.9337947983322035,0.9205144780874832,0.0143954510096157,0.0011151307648954445,0.9192565849979706,0.003582063253444354,0.0029765224962536798,0.03582063253444354,0.0595304499250736,0.14674001928877323,0.1252700204162464,0.16305844437382033,0.1102661497715628,1.264873404074943,1.0931774404677677
process_disturbance,33,0.9198659082624719,0.9365301279545953,0.9209588512388381,0.016664219692123394,0.0010929429763661958,0.9180718786733693,0.005434119682351032,0.002579353847089735,0.05434119682351032,0.05158707694179471,0.15561267738480156,0.12283277498678641,0.40945738241705887,0.09731065201974683,2.766686758510355,0.9844402306613393
