context_index,optimal_persistence,selected_persistence,direction,best_loss,selected_loss,regret,consequential_regret,absolute_margin,total_spread
30,1,3,excessive_persistence,0.12222206248927192,0.12222206248927192,0.0,0,0.0,0.0
31,1,1,optimal,0.05380587597129231,0.05380587597129231,0.0,0,0.0,0.0
31,1,2,excessive_persistence,0.05380587597129231,0.05380587597129231,0.0,0,0.0,0.0
31,1,3,excessive_persistence,0.05380587597129231,0.05380587597129231,0.0,0,0.0,0.0
32,3,1,insufficient_persistence,0.2679627999381253,0.2874488554530787,0.019486055514953415,1,0.019486055514953415,0.029538998337833355
32,3,2,insufficient_persistence,0.2679627999381253,0.29750179827595863,0.029538998337833355,1,0.019486055514953415,0.029538998337833355
32,3,3,optimal,0.2679627999381253,0.2679627999381253,0.0,0,0.019486055514953415,0.029538998337833355
33,2,1,insufficient_persistence,0.2171140598363671,0.2466530581742005,0.029538998337833383,1,0.0,0.029538998337833383
33,2,2,optimal,0.2171140598363671,0.2171140598363671,0.0,0,0.0,0.029538998337833383
33,2,3,excessive_persistence,0.2171140598363671,0.2171140598363671,0.0,0,0.0,0.029538998337833383
34,1,1,optimal,0.14312873011806204,0.14312873011806204,0.0,0,0.0,0.0
34,1,2,excessive_persistence,0.14312873011806204,0.14312873011806204,0.0,0,0.0,0.0
34,1,3,excessive_persistence,0.14312873011806204,0.14312873011806204,0.0,0,0.0,0.0
35,1,1,optimal,0.07384285211568681,0.07384285211568681,0.0,0,0.0,0.0
35,1,2,excessive_persistence,0.07384285211568681,0.07384285211568681,0.0,0,0.0,0.0
35,1,3,excessive_persistence,0.07384285211568681,0.07384285211568681,0.0,0,0.0,0.0
36,1,1,optimal,0.23982834593236033,0.23982834593236033,0.0,0,0.0,0.0
36,1,2,excessive_persistence,0.23982834593236033,0.23982834593236033,0.0,0,0.0,0.0
36,1,3,excessive_persistence,0.23982834593236033,0.23982834593236033,0.0,0,0.0,0.0
37,1,1,optimal,0.13977093762877835,0.13977093762877835,0.0,0,0.0,0.0
37,1,2,excessive_persistence,0.13977093762877835,0.13977093762877835,0.0,0,0.0,0.0
37,1,3,excessive_persistence,0.13977093762877835,0.13977093762877835,0.0,0,0.0,0.0
38,1,1,optimal,0.09021913669139045,0.09021913669139045,0.0,0,0.0,0.0
38,1,2,excessive_persistence,0.09021913669139045,0.09021913669139045,0.0,0,0.0,0.0
38,1,3,excessive_persistence,0.09021913669139045,0.09021913669139045,0.0,0,0.0,0.0
39,1,1,optimal,0.04415604968643508,0.04415604968643508,0.0,0,0.0,0.0
39,1,2,excessive_persistence,0.04415604968643508,0.04415604968643508,0.0,0,0.0,0.0
39,1,3,excessive_persistence,0.04415604968643508,0.04415604968643508,0.0,0,0.0,0.0
