condition,true_class,run_index,evidence_time,scheme,candidate_exists,benefit_probability,release_probability,predicted_release,selected_persistence,persistence_distance_1,persistence_distance_2,persistence_distance_3,adopted_event_memory,release_evidence_run,release_count,transition_count,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,A_mae,C_mae,S_mae,marginal_mae
measurement_noise_0.850,measurement_noise,105,60,fixed_2,True,0.23658299876000627,0.788158325342617,True,2,,,,False,0,0,0,0.2248189318646328,0.7396530871737136,0.06135715690963247,0.004818931864632808,0.06034691282628646,0.0013571569096324718,0.02217433386685058
measurement_noise_0.850,measurement_noise,105,70,fixed_2,True,0.22746732987787774,0.7549098994123001,True,2,,,,False,0,0,0,0.22135738355910817,0.7636621957000148,0.0605700612427634,0.0013573835591081662,0.03633780429998523,0.0005700612427634033,0.012755083033952267
measurement_noise_0.850,measurement_noise,105,80,fixed_2,True,0.19472579017895322,0.656163285582435,True,2,,,,False,0,0,0,0.22038810760588498,0.7685048663477301,0.06037748629425746,0.0003881076058849797,0.03149513365226997,0.00037748629425746194,0.010753575850804137
measurement_noise_0.850,measurement_noise,105,100,fixed_2,True,0.31009204674430113,0.6663769762663664,True,2,,,,False,0,0,0,0.2204186342532336,0.7427659579596794,0.059662603504405845,0.0004186342532336018,0.057234042040320676,0.00033739649559415275,0.019330024263049476
measurement_noise_0.850,measurement_noise,105,60,fixed_3,True,0.23658299876000627,0.788158325342617,True,3,,,,False,0,0,0,0.2248189318646328,0.7396530871737136,0.06135715690963247,0.004818931864632808,0.06034691282628646,0.0013571569096324718,0.02217433386685058
measurement_noise_0.850,measurement_noise,105,70,fixed_3,True,0.22746732987787774,0.7549098994123001,True,3,,,,False,0,0,0,0.22135738355910817,0.7636621957000148,0.0605700612427634,0.0013573835591081662,0.03633780429998523,0.0005700612427634033,0.012755083033952267
measurement_noise_0.850,measurement_noise,105,80,fixed_3,True,0.19472579017895322,0.656163285582435,True,3,,,,False,0,0,0,0.22038810760588498,0.7685048663477301,0.06037748629425746,0.0003881076058849797,0.03149513365226997,0.00037748629425746194,0.010753575850804137
measurement_noise_0.850,measurement_noise,105,100,fixed_3,True,0.31009204674430113,0.6663769762663664,True,3,,,,False,0,0,0,0.2204186342532336,0.7427659579596794,0.059662603504405845,0.0004186342532336018,0.057234042040320676,0.00033739649559415275,0.019330024263049476
measurement_noise_0.850,measurement_noise,105,60,adaptive_persistence,True,0.23658299876000627,0.788158325342617,True,,,,,False,0,0,0,0.2248189318646328,0.7396530871737136,0.06135715690963247,0.004818931864632808,0.06034691282628646,0.0013571569096324718,0.02217433386685058
measurement_noise_0.850,measurement_noise,105,70,adaptive_persistence,True,0.22746732987787774,0.7549098994123001,True,,,,,False,0,0,0,0.22135738355910817,0.7636621957000148,0.0605700612427634,0.0013573835591081662,0.03633780429998523,0.0005700612427634033,0.012755083033952267
measurement_noise_0.850,measurement_noise,105,80,adaptive_persistence,True,0.19472579017895322,0.656163285582435,True,,,,,False,0,0,0,0.22038810760588498,0.7685048663477301,0.06037748629425746,0.0003881076058849797,0.03149513365226997,0.00037748629425746194,0.010753575850804137
measurement_noise_0.850,measurement_noise,105,100,adaptive_persistence,True,0.31009204674430113,0.6663769762663664,True,,,,,False,0,0,0,0.2204186342532336,0.7427659579596794,0.059662603504405845,0.0004186342532336018,0.057234042040320676,0.00033739649559415275,0.019330024263049476
measurement_noise_0.850,measurement_noise,106,60,fixed_1,True,0.3870802676878026,0.6028510746078644,True,1,,,,False,0,0,0,0.23019768452357126,0.7178153868290036,0.06651376735742942,0.010197684523571254,0.08218461317099646,0.006513767357429423,0.03296535501733238
measurement_noise_0.850,measurement_noise,106,70,fixed_1,True,0.5647718620307176,0.5162622110353313,True,1,,,,True,0,0,1,0.19660391956509843,0.5584827610221055,0.0545717353939512,0.023396080434901573,0.24151723897789457,0.005428264606048797,0.09011386133961498
measurement_noise_0.850,measurement_noise,106,80,fixed_1,True,0.5830535991008786,0.45594664798006357,False,1,,,,True,0,0,1,0.18435227940692375,0.5737855375350875,0.0474928273885584,0.03564772059307625,0.2262144624649125,0.012507172611441596,0.09145645188981011
measurement_noise_0.850,measurement_noise,106,100,fixed_1,True,0.5989473026695638,0.3818754056079972,False,1,,,,True,0,0,1,0.19588965668539343,0.5965546813261671,0.05092303586706358,0.02411034331460657,0.20344531867383298,0.009076964132936419,0.07887754204045866
measurement_noise_0.850,measurement_noise,106,60,fixed_2,True,0.3870802676878026,0.6028510746078644,True,2,,,,False,0,0,0,0.23019768452357126,0.7178153868290036,0.06651376735742942,0.010197684523571254,0.08218461317099646,0.006513767357429423,0.03296535501733238
measurement_noise_0.850,measurement_noise,106,70,fixed_2,True,0.5647718620307176,0.5162622110353313,True,2,,,,True,0,0,1,0.19660391956509843,0.5584827610221055,0.0545717353939512,0.023396080434901573,0.24151723897789457,0.005428264606048797,0.09011386133961498
measurement_noise_0.850,measurement_noise,106,80,fixed_2,True,0.5830535991008786,0.45594664798006357,False,2,,,,True,0,0,1,0.18435227940692375,0.5737855375350875,0.0474928273885584,0.03564772059307625,0.2262144624649125,0.012507172611441596,0.09145645188981011
