condition,true_class,seed,policy,classification_correct,classification_margin,failure_mode,adaptation_scale,uncertainty_scale,abstain,incorrect_commitment_cost,unnecessary_abstention_cost,adaptation_exposure,uncertainty_cost,severe_failure_penalty,total_policy_cost
measurement_noise_boundary,measurement_noise,34029,generic_uncertainty,True,0.24522226684186954,C,0.25,1.5,True,0.0,0.25,0.0,0.05,0.0,0.3
measurement_noise_boundary,measurement_noise,34029,failure_aware,True,0.24522226684186954,C,0.5,1.15,True,0.0,0.25,0.0,0.014999999999999993,0.0,0.265
measurement_noise_boundary,measurement_noise,34030,baseline,True,0.6422527276321192,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34030,generic_uncertainty,True,0.6422527276321192,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34030,failure_aware,True,0.6422527276321192,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34031,baseline,True,0.46387469720198427,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34031,generic_uncertainty,True,0.46387469720198427,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34031,failure_aware,True,0.46387469720198427,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34032,baseline,True,0.5343669987748587,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34032,generic_uncertainty,True,0.5343669987748587,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34032,failure_aware,True,0.5343669987748587,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34033,baseline,True,0.5161542713717663,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34033,generic_uncertainty,True,0.5161542713717663,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34033,failure_aware,True,0.5161542713717663,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34034,baseline,True,0.5585947589374141,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34034,generic_uncertainty,True,0.5585947589374141,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34034,failure_aware,True,0.5585947589374141,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34035,baseline,True,0.6547365202064539,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34035,generic_uncertainty,True,0.6547365202064539,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34035,failure_aware,True,0.6547365202064539,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34036,baseline,True,0.5642531782925908,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34036,generic_uncertainty,True,0.5642531782925908,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34036,failure_aware,True,0.5642531782925908,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34037,baseline,True,0.8931736053127568,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34037,generic_uncertainty,True,0.8931736053127568,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34037,failure_aware,True,0.8931736053127568,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34038,baseline,True,0.41805408488803397,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34038,generic_uncertainty,True,0.41805408488803397,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34038,failure_aware,True,0.41805408488803397,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34039,baseline,True,0.920541582391292,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34039,generic_uncertainty,True,0.920541582391292,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34039,failure_aware,True,0.920541582391292,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34040,baseline,True,0.576583958924177,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34040,generic_uncertainty,True,0.576583958924177,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34040,failure_aware,True,0.576583958924177,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34041,baseline,False,0.3141053569350041,A_S,1.0,1.0,False,1.0,0.0,1.0,0.0,0.5,2.5
measurement_noise_boundary,measurement_noise,34041,generic_uncertainty,False,0.3141053569350041,A_S,0.25,1.5,True,0.0,0.0,0.25,0.05,0.0,0.3
measurement_noise_boundary,measurement_noise,34041,failure_aware,False,0.3141053569350041,A_S,0.1,2.0,True,0.0,0.0,0.1,0.1,0.0,0.2
measurement_noise_boundary,measurement_noise,34042,baseline,True,0.7199861435039648,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34042,generic_uncertainty,True,0.7199861435039648,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34042,failure_aware,True,0.7199861435039648,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34043,baseline,True,0.7542511486675679,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34043,generic_uncertainty,True,0.7542511486675679,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34043,failure_aware,True,0.7542511486675679,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34044,baseline,True,0.3331368017278957,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34044,generic_uncertainty,True,0.3331368017278957,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34044,failure_aware,True,0.3331368017278957,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34045,baseline,False,0.0335770019643426,A_C,1.0,1.0,False,1.0,0.0,1.0,0.0,0.5,2.5
measurement_noise_boundary,measurement_noise,34045,generic_uncertainty,False,0.0335770019643426,A_C,0.25,1.5,True,0.0,0.0,0.25,0.05,0.0,0.3
measurement_noise_boundary,measurement_noise,34045,failure_aware,False,0.0335770019643426,A_C,0.1,2.0,True,0.0,0.0,0.1,0.1,0.0,0.2
measurement_noise_boundary,measurement_noise,34046,baseline,True,0.09769852966330628,C,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34046,generic_uncertainty,True,0.09769852966330628,C,0.25,1.5,True,0.0,0.25,0.0,0.05,0.0,0.3
measurement_noise_boundary,measurement_noise,34046,failure_aware,True,0.09769852966330628,C,0.5,1.15,True,0.0,0.25,0.0,0.014999999999999993,0.0,0.265
measurement_noise_boundary,measurement_noise,34047,baseline,True,0.3611961462044906,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34047,generic_uncertainty,True,0.3611961462044906,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34047,failure_aware,True,0.3611961462044906,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34048,baseline,True,0.2774627262589471,C,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34048,generic_uncertainty,True,0.2774627262589471,C,0.25,1.5,True,0.0,0.25,0.0,0.05,0.0,0.3
measurement_noise_boundary,measurement_noise,34048,failure_aware,True,0.2774627262589471,C,0.5,1.15,True,0.0,0.25,0.0,0.014999999999999993,0.0,0.265
measurement_noise_boundary,measurement_noise,34049,baseline,True,0.5694573647120476,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34049,generic_uncertainty,True,0.5694573647120476,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34049,failure_aware,True,0.5694573647120476,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34050,baseline,True,0.6411130797995568,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
