generation_seed,test_index,primary_action,baseline_action,unconditional_action,hierarchical_action,true_responsive_action,baseline_expansion,baseline_outcome,state_harmful_probability,support_distance_baseline_action,unconditional_veto,hierarchical_veto,hierarchical_support_condition,current_mismatch_indicator,anchor_age,trigger_score,safety_score_baseline_action,downside_score_baseline_action,baseline_regret,unconditional_regret,hierarchical_regret
44041,45,1,1,1,1,1,0,none,0.40440502069415424,3.822727616220147,0,0,1,0.011123471196983883,15.0,6.363712579153624,0.9398422619047622,0.00196032035524618,0.07622889546310366,0.07622889546310366,0.07622889546310366
44041,46,1,1,1,1,1,0,none,0.3011224768427891,2.2434113779249834,0,0,1,0.18200106921108344,35.0,6.363712579153624,0.9541770833333334,0.00046491181276492837,0.07622889546310366,0.07622889546310366,0.07622889546310366
44041,47,1,1,1,1,1,0,none,0.6521253280764387,2.1795537205915188,0,0,1,0.08598769282553367,6.0,5.373191821002914,0.7976170634920635,0.0,0.0391516336820002,0.0391516336820002,0.0391516336820002
44041,48,1,1,1,1,2,0,none,0.510167527291104,2.0703329585320027,0,0,1,0.06750565624563001,16.0,5.373191821002914,0.7372410714285713,0.0,0.03915163368200017,0.03915163368200017,0.03915163368200017
44041,49,1,1,1,1,1,0,none,0.480579936528675,2.1097188480974136,0,0,1,0.18438567670017922,26.0,5.373191821002914,0.983625,0.0,0.03915163368200017,0.03915163368200017,0.03915163368200017
44041,50,1,1,1,1,1,0,none,0.174701435220881,2.656290402248661,0,0,1,0.061037142846652355,46.0,5.373191821002914,0.9610416666666669,0.00045558354115137216,0.03915163368200017,0.03915163368200017,0.03915163368200017
44041,51,1,1,1,1,1,0,none,0.6114495019289078,1.856606752605002,0,0,0,0.16614696885504554,14.0,5.491487455901677,0.4463571428571428,0.0003733833204722254,0.0,0.0,0.0
44041,52,2,2,2,2,2,0,none,0.5186687443069216,2.1279763000664182,0,0,1,0.20795013748010505,24.0,5.491487455901677,0.8049047619047617,2.1629265697153748e-05,0.0,0.0,0.0
44041,53,3,1,1,1,1,1,beneficial,0.24355531133209604,2.1545634848225887,0,0,1,0.010568392561994563,34.0,5.491487455901677,0.6617202380952378,0.00575244772755541,0.0,0.0,0.0
44041,54,1,1,1,1,1,0,none,0.26271232090597174,2.186826780485619,0,0,1,0.34185944803343543,54.0,5.491487455901677,0.9882083333333332,9.251694167273367e-05,0.0,0.0,0.0
44041,55,1,1,1,1,1,0,none,0.8741304320754343,1.641409277315212,0,0,0,0.35208186256624663,3.0,4.573310731251885,0.46919940476190464,0.0004930434450947377,0.0,0.0,0.0
44041,56,1,1,1,1,1,0,none,0.5556221481034695,1.604720082064332,0,0,0,0.008594037244655364,13.0,4.573310731251885,0.5683452380952378,0.0021731485814252254,0.0,0.0,0.0
44041,57,2,2,2,2,2,0,none,0.9681565036728095,3.083876539963776,0,0,1,1.0800102624138348,23.0,4.573310731251885,0.8194717261904763,0.017866125126612474,0.0,0.0,0.0
44041,58,1,1,1,1,1,0,none,0.20868073362344208,2.5066738882492134,0,0,1,0.012806625506335245,43.0,4.573310731251885,0.9750416666666666,0.002242787265224015,0.0,0.0,0.0
44041,59,1,1,1,1,1,0,none,0.9250391016077837,1.8236948304634517,0,0,0,0.9911926610886628,10.0,9.007481951895482,0.93780753968254,0.00013962967682332167,0.030371775012373592,0.030371775012373592,0.030371775012373592
44041,60,1,1,1,1,1,0,none,0.20877224459305066,2.3496846072724122,0,0,1,0.18421405788797252,30.0,9.007481951895482,0.9590148809523812,0.00040954528116213604,0.030371775012373606,0.030371775012373606,0.030371775012373606
44041,61,2,2,2,2,2,0,none,0.9645129540618667,2.9253862430333077,0,0,1,0.921262009291077,10.0,5.416766825340382,0.8633348214285717,0.004196340419900413,0.0,0.0,0.0
44041,62,2,2,2,2,2,0,none,0.8075508314116392,1.9900336597515456,0,0,0,0.533440822787545,20.0,5.416766825340382,0.8145659722222223,0.00011896096133434561,0.0,0.0,0.0
44041,63,1,1,1,1,1,0,none,0.44552962915424904,2.142953641261561,0,0,1,0.20773306882130982,30.0,5.416766825340382,0.8934940476190475,0.0,0.06727895086669473,0.06727895086669473,0.06727895086669473
44041,64,1,1,1,1,1,0,none,0.5288737020306553,2.66353612458206,0,0,1,0.6062276528434573,50.0,5.416766825340382,0.9029756944444445,0.013468391109139182,0.06727895086669473,0.06727895086669473,0.06727895086669473
44041,65,3,3,3,3,1,0,none,0.987967977623004,3.0819795003228223,0,0,1,1.1808731717242538,11.0,4.5195816768491,0.44710745851370853,0.0,0.017289078200590446,0.017289078200590446,0.017289078200590446
44041,66,1,1,1,1,1,0,none,0.5014955113493548,2.747812277033817,0,0,1,0.06225060441701618,21.0,4.5195816768491,0.9533125000000001,0.00024083755938655562,0.0,0.0,0.0
44041,67,1,1,1,1,1,0,none,0.4233592479980517,2.8170987316316713,0,0,1,0.12243159778235022,31.0,4.5195816768491,0.9579583333333332,0.0003499284563725253,0.0,0.0,0.0
44041,68,1,1,1,1,1,0,none,0.15859442057750245,2.788125325856324,0,0,1,0.032315356425834926,51.0,4.5195816768491,0.9351755952380953,0.0032327176752099456,0.0,0.0,0.0
44041,69,1,1,1,1,1,0,none,0.5694619982238444,2.5146635838730673,0,0,1,0.17387239695389184,17.0,5.642647683896675,0.8709374999999997,0.0006677038924754143,0.02488230959591653,0.02488230959591653,0.02488230959591653
44041,70,1,1,1,1,1,0,none,0.45289828723024417,3.259144348154094,0,0,1,0.18973971091357117,27.0,5.642647683896675,0.9226934523809525,6.608352976623835e-05,0.02488230959591653,0.02488230959591653,0.02488230959591653
44041,71,1,1,1,1,1,0,none,0.7243779149094132,2.624664718479709,0,0,1,0.6739635888540138,37.0,5.642647683896675,0.9524895833333333,0.0005309953425311667,0.02488230959591653,0.02488230959591653,0.02488230959591653
44041,72,1,1,1,1,1,0,none,0.5058624760199908,3.230460810180529,0,0,1,0.7040875832678659,57.0,5.642647683896675,0.9500818452380954,0.0009560261701992556,0.024882309595916544,0.024882309595916544,0.024882309595916544
44041,73,1,1,1,1,1,0,none,0.49312031478767016,2.262091030936374,0,0,1,0.22849514725200426,3.0,9.920887917563924,0.7396259920634921,0.00039336957956739307,0.0,0.0,0.0
44041,74,1,1,1,1,1,0,none,0.7236855499427888,1.585770190262781,0,0,0,0.6651552621497373,13.0,9.920887917563924,0.39836111111111094,0.0,0.0,0.0,0.0
