policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,safe_action_recall,safe_action_precision,responsive_action_retention,expansion_contexts,beneficial_expansions,harmful_expansions,neutral_expansions,generation_seed,veto_count,harmful_vetoed,beneficial_vetoed,harmful_veto_recall,beneficial_preservation
hierarchical_guard,0.4111111111111111,0.14186105981256517,0.020802094487553786,0.0,0.12686508074342384,0.6,0.35555555555555557,34,19,37,0.6676319466481605,0.7444444444444445,0.12222222222222222,0.9648148148148148,0.9388888888888889,0.9444444444444444,5,1,0,4,44041,1,0,1,0.0,0.5
support_baseline,0.48314606741573035,0.1512377866250472,0.025272897856356093,0.0,0.12887489679503905,0.5617977528089888,0.4157303370786517,38,8,43,0.2751450990781793,0.9101123595505618,0.033707865168539325,0.9887640449438202,0.9775280898876404,0.9887640449438202,0,0,0,0,44042,0,0,0,0.0,1.0
state_guard_0.50,0.48314606741573035,0.1512377866250472,0.025272897856356093,0.0,0.12887489679503905,0.5617977528089888,0.4157303370786517,38,8,43,0.2751450990781793,0.9101123595505618,0.033707865168539325,0.9887640449438202,0.9775280898876404,0.9887640449438202,0,0,0,0,44042,0,0,0,0.0,1.0
hierarchical_guard,0.48314606741573035,0.1512377866250472,0.025272897856356093,0.0,0.12887489679503905,0.5617977528089888,0.4157303370786517,38,8,43,0.2751450990781793,0.9101123595505618,0.033707865168539325,0.9887640449438202,0.9775280898876404,0.9887640449438202,0,0,0,0,44042,0,0,0,0.0,1.0
support_baseline,0.5,0.14413100251357008,0.017609871478697667,0.0,0.10425497535438784,0.6521739130434783,0.32608695652173914,31,15,46,0.4411170569161374,0.8369565217391305,0.021739130434782608,0.9836956521739131,0.9891304347826086,0.9782608695652174,0,0,0,0,44043,0,0,0,0.0,1.0
state_guard_0.50,0.5,0.14413100251357008,0.017609871478697667,0.0,0.10425497535438784,0.6521739130434783,0.32608695652173914,31,15,46,0.4411170569161374,0.8369565217391305,0.021739130434782608,0.9836956521739131,0.9891304347826086,0.9782608695652174,0,0,0,0,44043,0,0,0,0.0,1.0
hierarchical_guard,0.5,0.14413100251357008,0.017609871478697667,0.0,0.10425497535438784,0.6521739130434783,0.32608695652173914,31,15,46,0.4411170569161374,0.8369565217391305,0.021739130434782608,0.9836956521739131,0.9891304347826086,0.9782608695652174,0,0,0,0,44043,0,0,0,0.0,1.0
support_baseline,0.5161290322580645,0.1477350237392791,0.02137357443781827,0.0,0.1303026627134089,0.6236559139784946,0.3763440860215054,34,11,48,0.436992485824817,0.8602150537634409,0.0,0.956989247311828,0.9623655913978495,0.967741935483871,0,0,0,0,44044,0,0,0,0.0,1.0
state_guard_0.50,0.5161290322580645,0.1477350237392791,0.02137357443781827,0.0,0.1303026627134089,0.6236559139784946,0.3763440860215054,34,11,48,0.436992485824817,0.8602150537634409,0.0,0.956989247311828,0.9623655913978495,0.967741935483871,0,0,0,0,44044,0,0,0,0.0,1.0
hierarchical_guard,0.5161290322580645,0.1477350237392791,0.02137357443781827,0.0,0.1303026627134089,0.6236559139784946,0.3763440860215054,34,11,48,0.436992485824817,0.8602150537634409,0.0,0.956989247311828,0.9623655913978495,0.967741935483871,0,0,0,0,44044,0,0,0,0.0,1.0
support_baseline,0.48936170212765956,0.14890353623489425,0.02144402702342553,0.0,0.13150053378364956,0.6276595744680851,0.35106382978723405,34,14,46,0.5177713144642354,0.8297872340425532,0.07446808510638298,0.973404255319149,0.950354609929078,0.9680851063829787,4,0,1,3,44045,0,0,0,0.0,1.0
state_guard_0.50,0.48936170212765956,0.14890353623489425,0.02144402702342553,0.0,0.13150053378364956,0.6276595744680851,0.35106382978723405,34,14,46,0.5177713144642354,0.8297872340425532,0.07446808510638298,0.973404255319149,0.950354609929078,0.9680851063829787,4,0,1,3,44045,0,0,0,0.0,1.0
