generation_seed,test_index,primary_action,support_baseline_action,calibration_guard_action,support_changed_action,guard_changed_support_action,baseline_expansion_outcome,guarded_expansion_outcome,baseline_regret,guarded_regret,primary_regret,context_support_distance,calibration_probability_baseline_action,calibration_threshold,predicted_baseline_action_loss,realized_baseline_action_loss,baseline_action_loss_error,severe_underestimation,true_best_action,true_responsive_action,vetoed_actions,replication_class,predicted_action_loss,local_mean_error,local_error_std,local_underestimate_fraction,local_severe_underestimate_fraction,reconstructed_calibration_error,reconstructed_severe_underestimation
44084,26,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,1.8601191897993872,0.591229579250952,0.468010308717,0.17619617247585342,0.15647513488045822,0.019721037595395202,0,2,2,2,beneficial,0.17619617247585342,0.030806333677231974,0.04374524408970177,0.14285714285714285,0.0,0.019721037595395202,0
44084,29,3,1,3,1,1,beneficial,neutral,0.0,0.0,0.0,1.6928689903324365,0.4739075753253275,0.468010308717,0.18167942265294226,0.07755796300192773,0.10412145965101453,0,1,1,1,beneficial,0.18167942265294226,0.0627948085394293,0.05958912465007886,0.14285714285714285,0.0,0.10412145965101453,0
44085,3,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,2.1393790947394815,0.3795837079755137,0.468010308717,0.13017220961631593,0.03393794718792616,0.09623426242838977,0,1,1,,beneficial,0.13017220961631593,0.0651795648800914,0.02917649497815575,0.0,0.0,0.09623426242838977,0
44085,20,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,1.766839472610992,0.5104459702101587,0.468010308717,0.15943613198407683,0.15701579957917874,0.0024203324048980845,0,2,2,2,beneficial,0.15943613198407683,0.044732130459317045,0.07752332426103907,0.2857142857142857,0.14285714285714285,0.0024203324048980845,0
44085,26,3,2,2,1,0,beneficial,beneficial,0.0,0.0,0.0,1.9427407776830363,0.33004968861108297,0.468010308717,0.19478387491872237,0.09167458245953641,0.10310929245918596,0,2,2,,beneficial,0.19478387491872237,0.08941134818014833,0.08701645533026718,0.14285714285714285,0.14285714285714285,0.10310929245918596,0
44085,32,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.018132251978963,0.4804788225028755,0.468010308717,0.16500064724651647,0.029668754611699932,0.13533189263481654,0,1,2,2,beneficial,0.16500064724651647,0.05915258915786021,0.06208316493922913,0.14285714285714285,0.0,0.13533189263481654,0
44087,0,3,1,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.1521308211047114,0.5329303474326833,0.468010308717,0.11188584159878391,0.03601632773534559,0.07586951386343832,0,1,1,1,beneficial,0.11188584159878391,0.02701088282821895,0.08823795791099345,0.14285714285714285,0.14285714285714285,0.07586951386343832,0
44087,2,2,1,2,1,1,beneficial,neutral,0.0,0.0,0.0,1.2076908195486766,0.6215118255607103,0.468010308717,0.15119395923654896,0.0871039881519106,0.06408997108463836,0,1,1,1,beneficial,0.15119395923654896,0.0067488864277587745,0.07555748691251958,0.42857142857142855,0.2857142857142857,0.06408997108463836,0
44087,18,2,1,2,1,1,beneficial,neutral,0.0,0.0,0.0,1.2694707655538906,0.5487309973631037,0.468010308717,0.1362152272339735,0.07872986172370491,0.05748536551026859,0,1,2,1,beneficial,0.1362152272339735,0.01553451639936203,0.07714781727672529,0.2857142857142857,0.2857142857142857,0.05748536551026859,0
44087,44,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.15843190533922,0.5405178728329919,0.468010308717,0.11262538521367339,0.06580376093110368,0.04682162428256971,0,1,3,2,beneficial,0.11262538521367339,0.021353224544398083,0.07887738610139045,0.42857142857142855,0.2857142857142857,0.04682162428256971,0
