test_index,best_persistence,predicted_under_risk,selected_lambda,oracle_lambda,selected_action,oracle_lambda_action,selected_regret,oracle_lambda_regret,predicted_regret_lambda_0.00,predicted_regret_lambda_0.10,predicted_regret_lambda_0.25,predicted_regret_lambda_1.00
50,1,0.023520217346594405,1.0,0.0,3,3,0.0,0.0,0.0020420045829858333,0.0013517400697712154,0.0021489739832720894,0.0
51,1,0.02958356952205886,1.0,0.0,3,1,0.0,0.0,0.028948159499856786,0.02823573335554738,0.0018255313418692237,0.0
52,1,0.03759264192945932,1.0,0.0,3,1,0.0,0.0,0.04293712419644523,0.03795735377145268,0.03953395180826717,3.2499540950619273e-06
53,1,0.024715343027548062,1.0,0.0,3,1,0.0,0.0,0.01645364228077985,0.018471514792558517,0.0002589306514709241,9.993608842315427e-05
54,1,0.024536543970978028,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
55,1,0.04103390877169623,0.25,0.0,3,1,0.0,0.0,0.002001721780586386,0.0002655579077168058,0.0,0.0
56,3,0.03274480707504506,1.0,0.25,3,3,0.0,0.0,0.02699169774580175,0.011330868286964613,0.004773051311653395,0.0012531822990558762
57,3,0.03312817728570933,1.0,1.0,3,3,0.0,0.0,0.01306122891995487,0.012291336788219162,0.006257384537731287,0.00118460826765007
58,2,0.03188031448587982,1.0,0.1,3,2,0.0,0.0,0.03946145917529462,0.013642415502224876,0.006830211601965638,0.00047693076345033835
59,1,0.02450722746566402,1.0,0.0,3,2,0.0,0.0,0.0007914303544671524,5.3498270684466725e-05,0.00010946279645300112,0.0
60,1,0.025880579595396618,1.0,0.0,3,1,0.0,0.0,0.03053862639247551,0.036608940095025216,0.03246780657904433,0.0
61,1,0.013577055933409007,0.25,0.0,3,2,0.0,0.0,0.0005158609861461599,0.00042798616547573386,0.0,0.0
62,3,0.05077392905885838,1.0,1.0,3,3,0.0,0.0,0.020427711137483682,0.0046832786961296365,0.0037217949366551576,0.0004788807359073754
63,3,0.03441037613827375,1.0,1.0,3,3,0.0,0.0,0.018571735307029144,0.019636735150791704,0.020835170012592847,0.00047238082771725156
64,2,0.028331236741233785,1.0,0.25,3,3,0.0,0.0,0.0016933395023597008,0.001347010231779193,0.0005646828941241644,0.0
65,2,0.02666612018666824,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
66,2,0.024864527996219323,0.25,1.0,1,3,0.03138122831986774,0.0,0.0164477232661878,0.01871320055850579,0.0,0.0011103468165779057
67,3,0.03559728941070486,1.0,0.25,3,3,0.0,0.0,0.007444753267431728,0.004850989772137459,0.0028857353969822994,0.00045775603428947287
68,3,0.02766769465236672,1.0,0.0,1,1,0.057717810433482175,0.057717810433482175,0.03386458319593275,0.030622249865175713,0.033099530699393406,0.0010411227943530866
69,2,0.03267914010910429,1.0,1.0,3,3,0.0,0.0,0.010924536898567448,0.011573645138430356,0.0026432359153988993,0.0005966915718533704
70,2,0.02537222256577211,1.0,1.0,3,3,0.0,0.0,0.013343495480871938,0.01639182836862977,0.0027973783769248244,0.0
71,2,0.0203037311797933,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
72,2,0.031056467919537645,1.0,1.0,3,3,0.0,0.0,0.02916778666328417,0.03071180098665851,0.011458276848583717,0.00013731056051636647
73,1,0.012339921780130157,0.1,0.0,1,1,0.0,0.0,0.000148356024096776,0.0,0.0,0.0006755029586586225
74,1,0.01009082743405334,0.1,0.0,1,1,0.0,0.0,7.831396032117225e-05,0.0,0.0,0.0006755029586586225
