generation_seed,test_index,clean_action,poison_action,clean_unsafe,poison_unsafe,transition,clean_regret,poison_regret,delta_regret
44822,78,1,3,0,1,safe-to-unsafe,0.0,0.0187559509065837,0.0187559509065837
44822,79,1,3,0,1,safe-to-unsafe,0.0021019476032893,0.0117283397497769,0.009626392146487599
44822,80,1,3,0,1,safe-to-unsafe,0.0,0.0117283397497769,0.0117283397497769
44822,81,1,3,0,1,safe-to-unsafe,0.0,0.0188246420698495,0.0188246420698495
44822,82,1,3,0,0,safe-to-safe,0.0,0.0019540221000165,0.0019540221000165
44823,7,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44823,10,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44823,14,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44823,74,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44823,75,1,3,0,1,safe-to-unsafe,0.0,0.0242275285219299,0.0242275285219299
44823,76,1,3,0,1,safe-to-unsafe,0.0,0.0181548704403497,0.0181548704403497
44823,77,1,3,0,1,safe-to-unsafe,0.0,0.0246782258756408,0.0246782258756408
44823,78,1,3,0,1,safe-to-unsafe,0.0,0.0115217825382884,0.0115217825382884
44823,79,1,3,0,1,safe-to-unsafe,0.0,0.015816156638937,0.015816156638937
44823,80,1,3,0,0,safe-to-safe,0.0,0.0023513725680515,0.0023513725680515
44824,0,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44824,3,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44824,26,2,3,1,0,unsafe-to-safe,0.0147434203208661,0.0,-0.0147434203208661
44824,68,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44824,73,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44824,78,1,3,0,1,safe-to-unsafe,0.0,0.0237785864883323,0.0237785864883323
44824,79,2,3,1,1,unsafe-to-unsafe,0.0059281713811566,0.0177764471544172,0.0118482757732606
44824,80,1,3,0,1,safe-to-unsafe,0.0,0.0223029775044397,0.0223029775044397
44824,81,1,3,0,1,safe-to-unsafe,0.0,0.0104547017311791,0.0104547017311791
44824,82,1,3,0,1,safe-to-unsafe,0.0,0.0134397906195408,0.0134397906195408
44824,83,1,3,0,0,safe-to-safe,9.398881608660424e-05,0.0,-9.398881608660424e-05
44825,1,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44825,4,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44825,31,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44825,64,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44825,69,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44825,79,1,3,0,1,safe-to-unsafe,0.0,0.0132831110907556,0.0132831110907556
44825,80,1,3,0,1,safe-to-unsafe,0.0,0.0235241647128517,0.0235241647128517
44825,81,1,3,0,1,safe-to-unsafe,0.0,0.0175803271482563,0.0175803271482563
44825,82,1,3,0,1,safe-to-unsafe,0.0,0.0213106557485397,0.0213106557485397
44825,83,1,3,0,1,safe-to-unsafe,0.0,0.0099938762830093,0.0099938762830093
44826,0,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44826,20,2,3,1,0,unsafe-to-safe,0.0119165857632788,0.0,-0.0119165857632788
44826,30,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44826,63,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44826,80,1,3,0,1,safe-to-unsafe,0.0,0.0134037936338818,0.0134037936338818
44826,81,1,3,0,1,safe-to-unsafe,0.0,0.0229559815197,0.0229559815197
44826,82,1,3,0,1,safe-to-unsafe,0.0,0.0180507050012908,0.0180507050012908
44826,83,1,3,0,1,safe-to-unsafe,0.0,0.0219821480062175,0.0219821480062175
44826,84,1,3,0,1,safe-to-unsafe,0.0,0.0102462595242927,0.0102462595242927
44827,17,2,3,1,0,unsafe-to-safe,0.0106980595362017,0.0,-0.0106980595362017
44827,44,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44827,51,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44827,65,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44827,79,1,3,0,1,safe-to-unsafe,0.0,0.0226567259373412,0.0226567259373412
44827,80,1,3,0,1,safe-to-unsafe,0.0,0.0174906924208974,0.0174906924208974
44827,81,1,3,0,1,safe-to-unsafe,0.0,0.0212345145987425,0.0212345145987425
44827,82,1,3,0,1,safe-to-unsafe,0.0,0.0099627154493758,0.0099627154493758
44827,83,1,3,0,1,safe-to-unsafe,0.0,0.0131064835215556,0.0131064835215556
44827,84,1,3,0,0,safe-to-safe,0.0008928765600842,0.0,-0.0008928765600842
44828,13,2,3,1,0,unsafe-to-safe,0.011549150869409,0.0,-0.011549150869409
44828,28,2,3,1,0,unsafe-to-safe,0.0246070837229419,0.0,-0.0246070837229419
44828,59,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44828,68,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44828,76,1,3,0,1,safe-to-unsafe,0.0,0.0227454917005796,0.0227454917005796
44828,77,1,3,0,1,safe-to-unsafe,0.0,0.0179094054624627,0.0179094054624627
44828,78,1,3,0,1,safe-to-unsafe,0.0,0.0225908306925086,0.0225908306925086
44828,79,1,3,0,1,safe-to-unsafe,0.0,0.0107252354592751,0.0107252354592751
44828,80,1,3,0,1,safe-to-unsafe,0.0,0.013483456333393,0.013483456333393
44828,81,1,3,0,0,safe-to-safe,0.000864486727231,0.0,-0.000864486727231
44829,11,2,3,1,0,unsafe-to-safe,0.0116114013666876,0.0,-0.0116114013666876
44829,27,2,3,1,0,unsafe-to-safe,0.0251830887526892,0.0,-0.0251830887526892
44829,49,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44829,77,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44829,80,1,3,0,1,safe-to-unsafe,0.0,0.021765744484028,0.021765744484028
44829,81,1,3,0,1,safe-to-unsafe,0.0,0.0168921004052872,0.0168921004052872
44829,82,1,3,0,1,safe-to-unsafe,0.0,0.0204569616229481,0.0204569616229481
44829,83,1,3,0,1,safe-to-unsafe,0.0,0.0098766333743653,0.0098766333743653
44829,84,1,3,0,1,safe-to-unsafe,0.0,0.0171596233686528,0.0171596233686528
44829,85,1,3,0,0,safe-to-safe,0.0002263727825143,0.0,-0.0002263727825143
44830,25,2,3,1,0,unsafe-to-safe,0.0238509037718203,0.0,-0.0238509037718203
44830,47,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44830,74,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44830,78,1,3,0,1,safe-to-unsafe,0.0,0.0203573295213558,0.0203573295213558
44830,79,1,3,0,1,safe-to-unsafe,0.0,0.0164111316712154,0.0164111316712154
44830,80,1,3,0,1,safe-to-unsafe,0.0,0.0203755104061351,0.0203755104061351
44830,81,1,3,0,1,safe-to-unsafe,0.0,0.0094740594954898,0.0094740594954898
44830,82,1,3,0,1,safe-to-unsafe,0.0,0.0155289095237975,0.0155289095237975
44830,83,1,3,0,0,safe-to-safe,0.0003865855883814,0.0,-0.0003865855883814
