model,held_out_seed,test_rows,test_unsafe,test_safe,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc
context_plus_action_support,44774,216,41,175,0.6530313588850174,0.4146341463414634,0.4722222222222222,0.8914285714285715,0.6712195121951219
context_plus_action_support,44775,222,41,181,0.6442527961191213,0.36585365853658536,0.5172413793103449,0.9226519337016574,0.6257916722813637
context_plus_action_support,44776,216,44,172,0.601215644820296,0.29545454545454547,0.4482758620689655,0.9069767441860465,0.6819503171247357
context_plus_action_support,44777,234,42,192,0.6063988095238095,0.2857142857142857,0.46153846153846156,0.9270833333333334,0.6323164682539683
context_plus_action_support,44778,243,48,195,0.6022435897435897,0.2916666666666667,0.45161290322580644,0.9128205128205128,0.6072649572649572
context_plus_action_support,44779,243,40,203,0.5931650246305419,0.275,0.3793103448275862,0.9113300492610837,0.575615763546798
context_plus_action_support,44780,249,44,205,0.5770509977827051,0.22727272727272727,0.4,0.926829268292683,0.592350332594235
context_plus_action_support,44781,258,42,216,0.5532407407407407,0.16666666666666666,0.35,0.9398148148148148,0.5982142857142857
context_plus_action_support,44782,264,47,217,0.562947347779194,0.14893617021276595,0.5833333333333334,0.9769585253456221,0.6222178644965193
context_plus_action_support,44783,255,43,212,0.6112329969284774,0.27906976744186046,0.5,0.9433962264150944,0.6284554629223343
context_plus_action_support,44784,219,55,164,0.5967294900221729,0.2727272727272727,0.5357142857142857,0.9207317073170732,0.6145232815964523
context_plus_action_support,44785,216,54,162,0.5679012345679012,0.2037037037037037,0.5,0.9320987654320988,0.6711248285322359
context_plus_action_support,44786,225,49,176,0.5622680890538033,0.20408163265306123,0.4166666666666667,0.9204545454545454,0.6062152133580705
context_plus_action_support,44787,210,58,152,0.5533121597096189,0.1724137931034483,0.5,0.9342105263157895,0.5552404718693285
context_plus_action_support,44788,213,60,153,0.5274509803921569,0.13333333333333333,0.4,0.9215686274509803,0.5212418300653594
context_plus_action_support,44789,204,54,150,0.5533333333333333,0.16666666666666666,0.5,0.94,0.6465432098765432
context_plus_action_support,44790,222,56,166,0.5442125645438899,0.16071428571428573,0.42857142857142855,0.927710843373494,0.5614242685025818
context_loss_action_support,44751,201,39,162,0.5733618233618234,0.46153846153846156,0.2608695652173913,0.6851851851851852,0.6418170307059194
context_loss_action_support,44752,192,34,158,0.6338421444527178,0.5588235294117647,0.2923076923076923,0.7088607594936709,0.716120625465376
context_loss_action_support,44753,189,35,154,0.5461038961038961,0.37142857142857144,0.23214285714285715,0.7207792207792207,0.6280148423005566
context_loss_action_support,44754,189,38,151,0.5943708609271523,0.5,0.2878787878787879,0.6887417218543046,0.6462181944928547
context_loss_action_support,44755,189,37,152,0.5553876244665719,0.4594594594594595,0.24285714285714285,0.6513157894736842,0.593172119487909
