trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
491,164,8,217,10.620494866629736
492,164,8,217,10.620494866629736
493,164,10,217,10.620494866629736
494,164,8,217,10.620494866629736
495,164,5,217,10.620494866629736
496,164,3,217,10.620494866629736
497,164,5,217,10.620494866629736
498,164,6,217,10.620494866629736
499,164,4,217,10.620494866629736
500,164,5,217,10.620494866629736
501,164,6,217,10.620494866629736
502,164,12,217,10.620494866629736
503,164,7,217,10.620494866629736
504,164,7,217,10.620494866629736
505,164,6,217,10.620494866629736
506,164,6,217,10.620494866629736
507,164,3,217,10.620494866629736
508,164,4,217,10.620494866629736
509,164,8,217,10.620494866629736
510,164,8,217,10.620494866629736
511,164,3,217,10.620494866629736
512,164,5,217,10.620494866629736
513,164,0,217,10.620494866629736
514,164,6,217,10.620494866629736
515,164,7,217,10.620494866629736
516,164,6,217,10.620494866629736
517,164,7,217,10.620494866629736
518,164,10,217,10.620494866629736
519,164,6,217,10.620494866629736
520,164,5,217,10.620494866629736
521,164,4,217,10.620494866629736
522,164,6,217,10.620494866629736
523,164,5,217,10.620494866629736
524,164,3,217,10.620494866629736
525,164,5,217,10.620494866629736
526,164,3,217,10.620494866629736
527,164,7,217,10.620494866629736
528,164,7,217,10.620494866629736
529,164,7,217,10.620494866629736
530,164,5,217,10.620494866629736
531,164,7,217,10.620494866629736
532,164,5,217,10.620494866629736
533,164,5,217,10.620494866629736
534,164,4,217,10.620494866629736
535,164,6,217,10.620494866629736
536,164,5,217,10.620494866629736
537,164,11,217,10.620494866629736
538,164,4,217,10.620494866629736
539,164,8,217,10.620494866629736
540,164,10,217,10.620494866629736
541,164,7,217,10.620494866629736
542,164,8,217,10.620494866629736
543,164,6,217,10.620494866629736
544,164,4,217,10.620494866629736
545,164,3,217,10.620494866629736
546,164,4,217,10.620494866629736
547,164,3,217,10.620494866629736
548,164,8,217,10.620494866629736
549,164,8,217,10.620494866629736
550,164,10,217,10.620494866629736
551,164,7,217,10.620494866629736
552,164,9,217,10.620494866629736
553,164,4,217,10.620494866629736
554,164,5,217,10.620494866629736
555,164,5,217,10.620494866629736
556,164,6,217,10.620494866629736
557,164,5,217,10.620494866629736
558,164,8,217,10.620494866629736
559,164,5,217,10.620494866629736
560,164,8,217,10.620494866629736
561,164,8,217,10.620494866629736
562,164,8,217,10.620494866629736
563,164,5,217,10.620494866629736
564,164,11,217,10.620494866629736
565,164,12,217,10.620494866629736
566,164,7,217,10.620494866629736
567,164,2,217,10.620494866629736
568,164,7,217,10.620494866629736
569,164,13,217,10.620494866629736
570,164,7,217,10.620494866629736
571,164,4,217,10.620494866629736
572,164,13,217,10.620494866629736
573,164,5,217,10.620494866629736
574,164,5,217,10.620494866629736
575,164,9,217,10.620494866629736
576,164,6,217,10.620494866629736
577,164,1,217,10.620494866629736
578,164,9,217,10.620494866629736
579,164,4,217,10.620494866629736
580,164,8,217,10.620494866629736
581,164,6,217,10.620494866629736
582,164,8,217,10.620494866629736
583,164,7,217,10.620494866629736
584,164,4,217,10.620494866629736
585,164,4,217,10.620494866629736
586,164,7,217,10.620494866629736
587,164,7,217,10.620494866629736
588,164,5,217,10.620494866629736
589,164,8,217,10.620494866629736
590,164,6,217,10.620494866629736
591,164,5,217,10.620494866629736
592,164,7,217,10.620494866629736
593,164,8,217,10.620494866629736
594,164,9,217,10.620494866629736
595,164,10,217,10.620494866629736
596,164,8,217,10.620494866629736
597,164,9,217,10.620494866629736
598,164,6,217,10.620494866629736
599,164,7,217,10.620494866629736
600,164,10,217,10.620494866629736
601,164,5,217,10.620494866629736
602,164,4,217,10.620494866629736
603,164,4,217,10.620494866629736
604,164,5,217,10.620494866629736
605,164,6,217,10.620494866629736
606,164,7,217,10.620494866629736
607,164,12,217,10.620494866629736
608,164,6,217,10.620494866629736
609,164,6,217,10.620494866629736
610,164,8,217,10.620494866629736
611,164,9,217,10.620494866629736
612,164,5,217,10.620494866629736
613,164,12,217,10.620494866629736
614,164,10,217,10.620494866629736
615,164,11,217,10.620494866629736
616,164,9,217,10.620494866629736
617,164,4,217,10.620494866629736
618,164,8,217,10.620494866629736
619,164,5,217,10.620494866629736
