trial,unsafe_selected,total_regret
665,731,41.574821413016565
666,716,39.770003384629206
667,747,41.61685079597892
668,755,43.7193537385939
669,732,40.02380764858134
670,740,41.36199874870408
671,745,41.40704728837877
672,747,42.45888296299846
673,737,42.02827503513991
674,747,42.97635993296095
675,749,42.85245649570068
676,725,40.40304801104901
677,742,41.78938985289816
678,720,41.09914990865039
679,705,39.99794426045987
680,723,41.74842033037314
681,751,42.37649795700906
682,737,41.636514286132716
683,743,42.021831215681175
684,723,41.00335786158891
685,713,40.90274777904358
686,726,41.51328164204539
687,716,41.8058035870394
688,714,39.45341579842565
689,718,40.4868679610733
690,725,41.35501350587324
691,735,41.17163682362118
692,742,42.20814652213427
693,716,40.78144178730356
694,728,41.646221886358546
695,730,40.382846371873974
696,704,39.981967016470804
697,751,42.053254822640156
698,721,41.59233601086054
699,701,40.50445444431725
700,719,40.82130071081449
701,712,39.88802129130375
702,715,40.8125345335757
703,735,41.69374677460514
704,754,42.72658107556899
705,748,43.12311086266193
706,730,41.87167772721524
707,724,41.26727449564221
708,706,40.21920690837632
709,722,41.7917377785512
710,744,42.84553138206702
711,736,40.56459941197667
712,712,39.98428537391204
713,757,42.05199085263583
714,716,41.64756055365485
715,723,42.12441346215351
716,738,42.11362055270454
717,733,43.048733693322255
718,715,41.10030117964821
719,728,40.48286812770832
720,714,40.04011141077323
721,758,43.93764705115647
722,742,42.4103344076006
723,726,40.98629631279567
724,714,41.005162086309596
725,720,41.16219874774363
726,741,42.113150087654105
727,736,41.296577658401354
728,725,41.72980719782436
729,739,42.21319794179652
730,722,41.82045300861008
731,750,42.15900479729404
732,752,43.40597970675738
733,728,41.979300516637636
734,733,40.37235608974293
735,738,42.32069609225543
736,749,43.16164884863383
737,753,41.40089697281588
738,723,41.18164974805097
739,762,43.861471291797095
740,743,41.202525369256534
741,728,40.42884987671745
742,731,40.388127477462234
743,752,43.38622605181014
744,740,41.699298287518694
745,731,41.65591197206577
746,763,43.936209268025465
747,723,41.45814381501601
748,734,41.153342557712286
749,720,40.500783585994256
750,727,41.3592732143194
751,710,40.198960605411536
752,717,41.309599350478784
753,749,42.78997618785189
754,713,41.42637382666801
755,720,41.02215583321101
756,739,42.19495636914683
757,740,42.11148535132706
758,733,41.90573917254041
759,736,42.526537551054346
760,726,40.3951342725801
761,721,40.036062820701375
762,716,40.11036457651601
763,730,41.41468872311306
764,722,41.175609064066435
765,703,39.56225080664361
766,731,41.86837587526395
767,741,41.54557869596219
768,718,41.28511174506547
769,748,42.49547878196175
770,761,42.58467857839329
771,728,41.91850915885747
772,717,40.32939826676697
773,760,43.03451689111164
774,733,42.101955907321816
775,724,41.751234173281
776,712,40.526894640768944
777,718,41.66162607351892
778,714,40.92738457481513
779,751,42.71787193684815
780,726,41.728077723631486
781,716,41.58203044773647
782,731,41.377473249022565
783,721,40.95399339362559
784,733,42.215278139328696
785,737,42.73172687410739
786,719,40.67708943616308
787,715,41.3323254486317
788,741,43.765254838993236
789,719,41.36044152578047
790,695,39.511070039102286
791,751,42.71162433554042
792,710,39.365576912444766
793,725,41.441518868363566
794,697,39.78428322023629
795,716,40.710247333903666
796,722,40.949962860929844
797,706,40.5127960347945
798,699,40.65907156449293
799,736,41.106226557165265
800,724,41.35929614461219
801,715,40.91318993446997
802,705,40.9082166101779
803,731,41.29971180574646
804,691,39.50742630186535
805,725,41.77376221332619
806,746,42.51608050011878
807,717,40.197794851355646
808,720,42.31125239390037
809,747,42.67512184262575
810,730,41.49034332005436
811,713,40.315055344653004
812,730,41.5323073620171
813,741,42.57733267527545
814,743,42.81066351706459
815,758,43.42233467022606
816,706,40.081658077310216
817,747,42.474560127849664
818,753,42.684905549376964
819,725,40.63611295716503
820,731,41.27313241301581
821,735,41.56964519747661
822,713,40.36988173479369
