population,generation_seed,test_index,action,action2_indicator,harmful_target,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss
population_001_010,44007,10,2,1,1,1.3683015176867126,2.0167619220528836,0.648460404366171,0.1546460782544883,0.0
population_001_010,44007,56,2,1,0,1.4253318180877321,2.1329590687890834,0.7076272507013512,0.15350892608891414,0.0
population_001_010,44007,58,2,1,0,1.9056043876393087,2.183501144497256,0.27789675685794735,0.06039272948810806,0.0
population_001_010,44007,62,1,0,1,1.7471366785910512,1.8968973451550546,0.14976066656400344,0.1630897939329449,0.0
population_001_010,44007,67,1,0,0,1.4419554742184222,2.241431000755962,0.7994755265375397,0.0507298673290917,0.0
population_001_010,44008,22,2,1,0,1.3497550562795813,2.090039084383658,0.7402840281040766,0.20726151521926897,0.0
population_001_010,44008,54,2,1,0,1.8998273898874882,2.0318287107712143,0.13200132088372607,0.06062820925796863,0.0
population_001_010,44008,58,1,0,1,1.7326342409257773,2.0407568445980844,0.30812260367230704,0.1714990626418606,0.0
population_001_010,44010,4,2,1,0,1.750415674602364,1.9875922006243925,0.23717652602202843,0.08978690710964811,0.0
population_071_110,44077,46,1,0,0,1.8018529495693993,2.072993405283598,0.27114045571419876,0.12679361767594768,0.0
population_071_110,44077,57,1,0,0,1.1961520206603793,1.4535097498602823,0.25735772919990296,0.12590240049344367,0.0
population_071_110,44078,0,1,0,0,1.4167807937564993,1.6593733614207877,0.24259256766428838,0.20963619543041015,0.0
population_071_110,44078,7,1,0,0,1.2738827895260623,1.398607908647565,0.12472511912150264,0.2478217852970652,0.0
population_071_110,44078,11,2,1,0,1.9196114565132731,2.3812967674334593,0.46168531092018616,0.2227725365426295,0.0
population_071_110,44078,20,1,0,0,1.436342893914108,1.605641367304085,0.16929847338997694,0.21603683117694727,0.0
population_071_110,44078,31,1,0,0,1.2090070148998298,1.6851504739082468,0.47614345900841704,0.1630372342495885,0.0
population_071_110,44078,32,2,1,0,1.361950317372911,2.155812912293377,0.7938625949204658,0.30474998436781975,0.0
population_071_110,44078,46,1,0,0,1.6724135315221456,2.0380336850543195,0.3656201535321739,0.2200024156724256,0.0
population_071_110,44078,47,1,0,0,1.3787196806000837,1.6767530887369688,0.29803340813688517,0.2759999542679671,0.0
population_071_110,44078,49,2,1,0,1.6912677525627224,2.187898420488316,0.4966306679255934,0.20154641164606163,0.0
population_071_110,44078,53,1,0,0,1.5891659585337048,1.814547559242174,0.22538160070846924,0.16465285166561336,0.0
population_071_110,44078,61,1,0,0,1.4296606365147502,1.6788593077624543,0.24919867124770412,0.2102979691067517,0.0
population_071_110,44078,62,1,0,1,1.934786293991,2.043076590624332,0.10829029663333167,0.2782462562032576,0.0
population_071_110,44080,14,2,1,0,1.4491912922769183,1.9148527164968545,0.46566142421993617,0.1502365221516364,0.0
population_071_110,44080,43,2,1,0,1.5612571675692037,2.0686437404201143,0.5073865728509106,0.1757595191088069,0.0
population_071_110,44080,62,2,1,0,1.4403013667660567,2.001504919055338,0.5612035522892811,0.12498115671062514,0.0
population_071_110,44080,65,2,1,0,1.5695248257482348,2.5232822416715717,0.9537574159233368,0.12503653260065126,0.0
population_071_110,44081,2,1,0,0,1.7887137948222722,2.015282057404697,0.2265682625824248,0.08938817001940481,0.0
population_071_110,44081,12,1,0,0,1.4392012925955064,2.083956178187301,0.6447548855917946,0.1362042358927778,0.0
population_071_110,44081,29,1,0,0,1.5408882680232856,1.7061048179621963,0.16521654993891066,0.10331391023340374,0.0
