generation_seed,test_index,outcome,primary_action,expanded_action,true_responsive_action,action_step,safety_score,downside_score,support_distance,predicted_under_risk,predicted_loss_k1,predicted_loss_k2,predicted_loss_k3,predicted_loss_k1_minus_k2,predicted_loss_k1_minus_k3,predicted_loss_k2_minus_k3,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,primary_regret,expanded_regret,incremental_regret,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate
44095,13,beneficial,3,2,2,1,0.7858005952380952,0.003285545422963893,2.1071701334929505,0.013368402572994065,0.15294822998183147,0.15132731867184565,0.15553007016663675,0.0016209113099858175,-0.002581840184805284,-0.0042027514947911015,0.0,0.003766772994667688,0.003766772994667688,0.0,0.0,0.0,0.7636482181181828,0.20727920950243678,20.0,7.367193504614618,0.9041549880474832,0.15350600379660495,0.9193117632299074
44095,19,beneficial,3,2,2,1,0.6775074404761903,0.002348494197690693,1.8605694493857208,0.02580233917765774,0.11874420997699028,0.10323460534581053,0.10568543583314258,0.015509604631179758,0.013058774143847707,-0.0024508304873320508,0.0001268755559840013,0.0010863585870752477,0.0009594830310912465,0.0,0.0,0.0,0.7289959899239706,0.2425855249813502,26.0,4.519234471015013,0.8886133279083531,0.1345195858563242,0.9145699467247033
44095,25,neutral,3,2,3,1,0.6673556547619047,0.0011227271349081704,2.313670089467893,0.023732146401405793,0.15870615479069927,0.15978249196348127,0.15992998905004063,-0.0010763371727819937,-0.001223834259341361,-0.00014749708655936722,0.0,0.0,0.0,0.0,0.0,0.0,0.7609624634112316,0.20319865305755516,22.0,9.418440724546118,0.8559103603719077,0.17273981835244523,0.9212258998584302
44095,29,beneficial,3,2,2,1,0.7280699404761903,0.006670268598287751,2.0242441725274256,0.007810014192134018,0.14631043753186615,0.13850414818021775,0.145279402857835,0.007806289351648399,0.0010310346740311505,-0.006775254677617248,0.0,0.006956932863383446,0.006956932863383446,0.0,0.0,0.0,0.7384743169890576,0.23668653164006578,18.0,9.975228548743006,0.978844086973973,0.20376620473672524,0.9134100119090581
44095,33,beneficial,3,2,2,1,0.7739866071428573,0.003285545422963893,1.9486067380823342,0.0027307213600524633,0.13240675310373295,0.1285281033575394,0.13011369119928634,0.003878649746193563,0.002293061904446614,-0.0015855878417469493,0.0,0.003801315326067901,0.003801315326067901,0.0,0.0,0.0,0.7344607065558081,0.23421111871324124,5.0,8.075496584887205,1.1371257602247111,0.22077772984926475,0.919467538068176
44095,48,beneficial,3,2,2,1,0.7642261904761903,0.00387164877508088,1.7355372554910562,0.011665914069439289,0.12957887262928267,0.1195804919609403,0.1212735801322988,0.009998380668342369,0.008305292496983863,-0.001693088171358506,0.0,0.0024609137644146534,0.0024609137644146534,0.0,0.0,0.0,0.7862168560447687,0.15995011898458306,26.0,4.908399422722993,1.3984752346561902,0.1949073002007072,0.9136285882310544
44096,20,beneficial,3,1,1,2,0.650904761904762,0.00863565558589383,2.4493878075102704,0.025976618234204513,0.10390128756209825,0.10474716287563815,0.10667225715819345,-0.0008458753135398983,-0.002770969596095199,-0.0019250942825553008,0.000598754974645532,0.0013536548298778857,0.0007548998552323538,0.0,0.0,0.0,0.7318281565410628,0.24475320851790433,26.0,4.519234471015013,0.8886133279083531,0.1345195858563242,0.9145699467247033
44096,22,harmful,2,1,2,1,0.6471904761904761,0.009305776716571712,2.4673545050880064,0.01100118788989426,0.18945303023305818,0.1903485571640055,0.20613196173751813,-0.0008955269309473268,-0.016678931504459954,-0.015783404573512627,0.005386188412995344,0.009851759268664783,0.004465570855669439,0.0,0.0023762787710386313,0.0023762787710386313,0.7026370695785336,0.2947204995292511,6.0,5.661908699401517,0.8084766946058487,1.5027626816832995,0.9267439895441207
44097,18,neutral,3,2,3,1,0.81721875,9.511468383542151e-05,2.3759265831800205,0.015510219048096458,0.18855471055190595,0.19457324947730384,0.2007466638743045,-0.006018538925397887,-0.012191953322398558,-0.0061734143970006705,0.004249519811259501,0.004249519811259501,0.0,0.0,0.0,0.0,0.6998144025258609,0.309677904408025,6.0,5.661908699401517,0.8084766946058487,1.5027626816832995,0.9267439895441207
44097,22,harmful,3,1,3,2,0.6685922619047617,0.0010933559034353364,2.482999544312695,0.014266145086151918,0.13788336446865274,0.16373161725839339,0.16000791743889897,-0.02584825278974065,-0.022124552970246236,0.0037236998194944138,0.01738325343878183,0.0235352260270684,0.006151972588286567,0.0,0.08779151747751225,0.08779151747751225,0.7581469645743659,0.24589267045298555,22.0,9.418440724546118,0.8559103603719077,0.17273981835244523,0.9212258998584302
