policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
two_stage_0.25,0.31645569620253167,0.15465805651841855,0.011990086302482628,0.0,0.12057013574886033,0.7721518987341772,0.20253164556962025,15,39,25,0.9925584326808131,0.3924050632911392,0.22784810126582278,5,eb0ba2083c84d1046303fca0f3fc267796cac52777b5a5582b775a1353289cda,261,182,79,1
two_stage_1.00,0.13924050632911392,0.14797895962237217,0.005310989406436248,0.0,0.12057013574886033,0.8354430379746836,0.11392405063291139,7,61,11,0.6322479294586466,0.7721518987341772,0.569620253164557,5,eb0ba2083c84d1046303fca0f3fc267796cac52777b5a5582b775a1353289cda,261,182,79,1
fixed_k3,0.0759493670886076,0.143588212556267,0.0009202423403310601,0.0,0.01709360806867538,0.8987341772151899,0.05063291139240506,0,73,6,0.0,1.0,0.7721518987341772,5,eb0ba2083c84d1046303fca0f3fc267796cac52777b5a5582b775a1353289cda,261,182,79,0
oracle,1.0,0.14266797021593594,0.0,0.0,0.0,1.0,0.0,0,0,79,0.8212411036401795,0.5189873417721519,0.6329113924050633,5,eb0ba2083c84d1046303fca0f3fc267796cac52777b5a5582b775a1353289cda,261,182,79,0
direct_loss,0.24050632911392406,0.15056662708532817,0.018594108255487365,0.0,0.11764787534201532,0.7088607594936709,0.2911392405063291,22,38,19,0.8967249327800813,0.4430379746835443,0.0,6,e267ec73a16946eb07ca4ef00d51bc56f242910d41cba5e45526eb362c45c1b3,261,182,79,1
fixed_risk_0.010,0.1518987341772152,0.14431604320269756,0.012343524372856738,0.0,0.11764787534201532,0.7848101265822784,0.20253164556962025,15,52,12,0.6947901320687857,0.6835443037974683,0.3037974683544304,6,e267ec73a16946eb07ca4ef00d51bc56f242910d41cba5e45526eb362c45c1b3,261,182,79,1
two_stage_0.10,0.22784810126582278,0.14818179815138816,0.01620927932154735,0.0,0.11764787534201532,0.7341772151898734,0.26582278481012656,20,41,18,0.8588748477124034,0.5063291139240507,0.12658227848101267,6,e267ec73a16946eb07ca4ef00d51bc56f242910d41cba5e45526eb362c45c1b3,261,182,79,1
two_stage_0.25,0.20253164556962025,0.14820897269058436,0.016236453860743544,0.0,0.11764787534201532,0.7215189873417721,0.26582278481012656,20,43,16,0.8358872442995171,0.5316455696202531,0.1518987341772152,6,e267ec73a16946eb07ca4ef00d51bc56f242910d41cba5e45526eb362c45c1b3,261,182,79,0
two_stage_1.00,0.12658227848101267,0.14097778988056522,0.009005271050724408,0.0,0.11764787534201532,0.8227848101265823,0.16455696202531644,11,58,10,0.5819365014742302,0.7721518987341772,0.35443037974683544,6,e267ec73a16946eb07ca4ef00d51bc56f242910d41cba5e45526eb362c45c1b3,261,182,79,1
fixed_k3,0.0759493670886076,0.1327891378114274,0.0008166189815865753,0.0,0.01769760863704367,0.9367088607594937,0.05063291139240506,0,73,6,0.0,1.0,0.569620253164557,6,e267ec73a16946eb07ca4ef00d51bc56f242910d41cba5e45526eb362c45c1b3,261,182,79,0
oracle,1.0,0.13197251882984082,0.0,0.0,0.0,1.0,0.0,0,0,79,0.8212411036401795,0.5189873417721519,0.759493670886076,6,e267ec73a16946eb07ca4ef00d51bc56f242910d41cba5e45526eb362c45c1b3,261,182,79,0
direct_loss,0.24675324675324675,0.1430223108454902,0.01923801225559007,0.0,0.11922684703389602,0.7012987012987013,0.2987012987012987,22,36,19,0.9904665324266001,0.4025974025974026,0.0,7,182d84dae8ddb8e32cdfcfa6b3b896f34ec4e7135fa6e6e617989e169d0d0ea3,255,178,77,1
fixed_risk_0.010,0.15584415584415584,0.13898048328368934,0.015196184693789222,0.0,0.11922684703389602,0.7662337662337663,0.23376623376623376,17,48,12,0.7777042007697836,0.6233766233766234,0.36363636363636365,7,182d84dae8ddb8e32cdfcfa6b3b896f34ec4e7135fa6e6e617989e169d0d0ea3,255,178,77,1
two_stage_0.10,0.2597402597402597,0.1405972041086619,0.016812905518761766,0.0,0.11922684703389602,0.7272727272727273,0.2727272727272727,20,37,20,0.983832880687384,0.37662337662337664,0.1038961038961039,7,182d84dae8ddb8e32cdfcfa6b3b896f34ec4e7135fa6e6e617989e169d0d0ea3,255,178,77,1
two_stage_0.25,0.2077922077922078,0.1405972041086619,0.016812905518761766,0.0,0.11922684703389602,0.7272727272727273,0.2727272727272727,20,41,16,0.9317571373274735,0.4675324675324675,0.18181818181818182,7,182d84dae8ddb8e32cdfcfa6b3b896f34ec4e7135fa6e6e617989e169d0d0ea3,255,178,77,0
two_stage_1.00,0.15584415584415584,0.13395200388288672,0.010167705292986612,0.0,0.11922684703389602,0.8181818181818182,0.18181818181818182,12,53,12,0.7370107146741445,0.7012987012987013,0.4805194805194805,7,182d84dae8ddb8e32cdfcfa6b3b896f34ec4e7135fa6e6e617989e169d0d0ea3,255,178,77,1
fixed_k3,0.07792207792207792,0.1245944692046662,0.000810170614766085,0.0,0.018160540948138126,0.948051948051948,0.05194805194805195,0,71,6,0.0,1.0,0.7012987012987013,7,182d84dae8ddb8e32cdfcfa6b3b896f34ec4e7135fa6e6e617989e169d0d0ea3,255,178,77,0
oracle,1.0,0.12378429858990012,0.0,0.0,0.0,1.0,0.0,0,0,77,0.8241055247706487,0.5194805194805194,0.7532467532467533,7,182d84dae8ddb8e32cdfcfa6b3b896f34ec4e7135fa6e6e617989e169d0d0ea3,255,178,77,0
direct_loss,0.25,0.14858142534030366,0.021497842089070678,0.0,0.14077600273274116,0.7236842105263158,0.27631578947368424,20,37,19,0.9304485166197782,0.5,0.0,8,d795ed18f2c2faf1e6ef46c739c14f313075e36a5b768ce0f1ac8491af085026,252,176,76,1
fixed_risk_0.010,0.06578947368421052,0.14117897537774857,0.014095392126515595,0.0,0.14077600273274116,0.7894736842105263,0.21052631578947367,14,57,5,0.6258562447207624,0.7368421052631579,0.5657894736842105,8,d795ed18f2c2faf1e6ef46c739c14f313075e36a5b768ce0f1ac8491af085026,252,176,76,1
two_stage_0.10,0.19736842105263158,0.14700634379296415,0.01992276054173118,0.0,0.14077600273274116,0.7368421052631579,0.2631578947368421,19,42,15,0.9979247454188067,0.35526315789473684,0.15789473684210525,8,d795ed18f2c2faf1e6ef46c739c14f313075e36a5b768ce0f1ac8491af085026,252,176,76,1
two_stage_0.25,0.11842105263157894,0.14378860755198677,0.01670502430075379,0.0,0.14077600273274116,0.7631578947368421,0.23684210526315788,16,51,9,0.8784132835806353,0.5789473684210527,0.40789473684210525,8,d795ed18f2c2faf1e6ef46c739c14f313075e36a5b768ce0f1ac8491af085026,252,176,76,1
