population,generation_seed,test_index,action,action2_indicator,harmful_target,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate,predicted_under_risk,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,late_state_source
population_001_010,44005,3,2,1,0,0.6670922371516733,0.5023217881546801,30.0,4.912692563952169,0.8968154843212621,0.39183085443051147,0.9243225843361633,0.03212192086926166,0.00044041595243781356,0.006316886244599848,0.005876470292162034,
population_001_010,44005,7,1,0,1,0.6937573060430987,0.3853185898104787,20.0,5.09200706575872,1.0338854872651193,0.04331431148233018,0.9202543015684178,0.025854687370717364,8.917493861506043e-05,0.0030954640342225974,0.003006289095607537,
population_001_010,44005,8,2,1,0,0.701556377430124,0.3778971638936522,30.0,5.09200706575872,0.8301000588488668,0.046034465889978185,0.9201791612646568,0.02113382812028151,8.917493861506043e-05,0.001719102747101572,0.0016299278084865114,
population_001_010,44005,10,1,0,0,0.668536452056517,0.3400722735042459,6.0,6.278590399769532,1.6430894354230037,0.9167732590097775,0.9143665448752145,0.013425575547269662,0.0,0.0021251308390450494,0.0021251308390450494,
population_001_010,44005,11,2,1,0,0.7738304203539252,0.2837894412053646,16.0,6.278590399769532,1.3939125975940017,0.009824826729866152,0.9198936378884486,0.021509859449312912,0.00013254208146300958,0.0007744985591928062,0.0006419564777297966,
population_001_010,44005,15,2,1,0,0.7589035124670329,0.3097893547071884,23.0,8.861221010077193,1.1352981109622844,0.21967958517753605,0.9228339308318991,0.0172029496044868,9.669571657054745e-06,0.002143878838024619,0.002134209266367564,
population_001_010,44005,16,2,1,0,0.7338521533916256,0.2795807830008556,33.0,8.861221010077193,0.9122447434999887,0.00021453084489993755,0.9194148373660839,0.013553321215483341,0.0,0.0036410499841582856,0.0036410499841582856,
population_001_010,44005,24,2,1,0,0.6938477313627395,0.47535030330052735,26.0,7.920617905254036,0.6780691664179239,0.542534396943952,0.9199061602788218,0.01765494307446348,2.4711127568028794e-05,0.00500232422951469,0.004977613101946662,
population_001_010,44005,36,1,0,0,0.6610479737226101,0.36729935684611964,40.0,5.622785264913806,0.7797343993379826,0.2288110763443333,0.9176689192949017,0.01507552656045602,0.0,0.004313306461372074,0.004313306461372074,
population_001_010,44005,37,2,1,0,0.608906189308097,0.3996134873983795,5.0,6.520510802879969,1.535201204366009,0.061870846002411245,0.916537342730825,0.01813764362682263,1.611595276175791e-05,0.00404124303500705,0.004025127082245292,
population_001_010,44005,38,1,0,0,0.7793406093134447,0.3652784482879071,15.0,6.520510802879969,1.2701589126436537,0.12895660555512053,0.9253963027765264,0.02485113729207863,0.0009452105271085787,0.009404046247635101,0.008458835720526522,
population_001_010,44005,50,2,1,0,0.7240221613815789,0.4328715367383697,25.0,7.045171433748348,0.7211837165789058,0.2600189912063255,0.9209888033631027,0.02165639763523371,1.611595276175791e-05,0.005576257703624715,0.005560141750862957,
population_001_010,44005,56,2,1,0,0.7857285123597636,0.3034993590637277,18.0,6.361122938861032,0.9260361803148511,0.05350831711322684,0.9151117046032828,0.01219229705167079,4.286353599332388e-05,0.0005587974673076417,0.0005159339313143178,
population_001_010,44006,5,2,1,0,0.6894713712298739,0.347441128031355,46.0,6.278590399769532,0.9910637876398563,0.11065100638352011,0.9120392470706489,0.021899301314023765,0.0,0.0012250645206662706,0.0012250645206662706,
population_001_010,44006,13,2,1,1,0.666068666475078,0.5165645199022698,21.0,6.49123797439421,0.8457780606580698,0.2952545676721676,0.9206813980601712,0.060761272815963045,0.0,0.002604928530142201,0.002604928530142201,
population_001_010,44006,30,2,1,0,0.6632884812261902,0.4505472701563194,40.0,5.622785264913806,0.7797343993379826,0.2288110763443333,0.9176689192949017,0.042127627813545086,0.0,0.004585826652841915,0.004585826652841915,
population_001_010,44006,32,2,1,0,0.7860702267903716,0.33712418689365997,15.0,6.520510802879969,1.2701589126436537,0.12895660555512053,0.9253963027765264,0.019658532075652456,0.0,0.0009541279266506709,0.0009541279266506709,
population_001_010,44006,62,2,1,0,0.6331672018029448,0.44876531583508655,51.0,7.114455379828495,0.8061606461948218,0.24658768736238285,0.916145410401794,0.04295939304858391,0.0,0.0036904710847785937,0.0036904710847785937,
