population,generation_seed,test_index,action,action2_indicator,harmful_target,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate,predicted_under_risk,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,late_state_source
population_001_010,44006,66,1,0,1,0.8058414256242139,0.3850101288546659,2.0,4.783886377017327,1.283138567580822,0.6100800033445343,0.9248411706086843,0.027087746795092328,0.0003460786663552186,0.001366174702121651,0.0010200960357664322,
population_001_010,44007,10,2,1,1,0.6742783061650293,0.42855758336991495,21.0,6.49123797439421,0.8457780606580698,0.2952545676721676,0.9206813980601712,0.04630703246686746,0.0,0.004475915739652991,0.004475915739652991,
population_001_010,44007,56,2,1,0,0.7571355714988438,0.2897488534115963,21.0,7.114455379828495,1.0427932668309827,0.3726537429871935,0.9248167963671985,0.019461311767258977,0.0,0.0014807009049658652,0.0014807009049658652,
population_001_010,44007,58,2,1,0,0.6325793893299415,0.49840789588715323,51.0,7.114455379828495,0.8061606461948218,0.24658768736238285,0.916145410401794,0.04406144789903045,0.0,0.001002603971028704,0.001002603971028704,
population_001_010,44007,62,1,0,1,0.8067385965719852,0.3132745942558223,2.0,4.783886377017327,1.283138567580822,0.6100800033445343,0.9248411706086843,0.04164244844607737,0.0,0.004689341814363297,0.004689341814363297,
population_001_010,44007,67,1,0,0,0.6878056176097161,0.3428271599044813,36.0,5.164998282601772,0.972937623987973,0.406528794257458,0.9167682944996732,0.03855158508534,0.0,0.002472295888547259,0.002472295888547259,
population_001_010,44008,22,2,1,0,0.6190301079655308,0.3866939408169078,5.0,6.520510802879969,1.535201204366009,0.061870846002411245,0.916537342730825,0.0334440598139342,0.0,0.002050868999971426,0.002050868999971426,
population_001_010,44008,54,2,1,0,0.6282711737951223,0.5128779233332751,51.0,7.114455379828495,0.8061606461948218,0.24658768736238285,0.916145410401794,0.05633189008245389,1.720401743612408e-05,0.004091249012338582,0.004074044994902458,
population_001_010,44008,58,1,0,1,0.8119656178649106,0.31581624734427843,2.0,4.783886377017327,1.283138567580822,0.6100800033445343,0.9248411706086843,0.025062308055856356,0.00036681682874049074,0.01250713918564761,0.01214032235690712,
population_001_010,44010,4,2,1,0,0.5675869833993444,0.6552945276391021,46.0,7.920617905254036,0.5104616453561625,0.21879723107468446,0.9243018799850267,0.05383014318522995,0.0014737030999510889,0.013048844494658991,0.011575141394707902,
population_071_110,44077,46,1,0,0,0.717443812640793,0.26242389860393944,14.0,4.811280977798958,1.0214793499994494,0.0008353391484577535,0.9173379421895846,0.018690576592650315,0.0004078321797114572,0.0017122002348366953,0.0013043680551252381,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44077,57,1,0,0,0.756177616811919,0.21023122806601507,15.0,4.799626694340233,1.0914883195618925,0.002754411180271547,0.9180443483374685,0.01048935813986384,0.0006073334282747593,0.0014336514797944724,0.000826318051519713,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,0,1,0,0,0.715450838402951,0.2424147351248854,23.0,4.757771453374785,0.9134347343595703,0.012741163484892813,0.9199816163352651,0.03825824499208795,3.9059935077744015e-05,0.0015291297677289277,0.0014900698326511836,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,7,1,0,0,0.5911160788476132,0.3166191642949903,8.0,5.999897567246371,1.489906977712457,0.1394568818235459,0.9187294303389012,0.03546497159365616,0.0005097873127427115,0.0032069053894474217,0.0026971180767047104,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,11,2,1,0,0.7222144718186686,0.30569348110330086,5.0,4.735736565303267,0.785911509355408,0.361536434799519,0.9209545852326482,0.04581800270034364,0.0001724180435683268,0.003559229012982797,0.0033868109694144702,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,20,1,0,0,0.6724087452159525,0.31684855940718193,37.0,5.704021002269784,0.7016742897632661,0.13825397449026183,0.9251861524370621,0.025889021329892063,0.001525842178016939,0.005840208135893049,0.00431436595787611,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,31,1,0,0,0.687592127811785,0.32376617045510275,35.0,4.849717130894902,0.7599571719882081,0.07254441791398811,0.9194247167029725,0.032638371929815994,2.2726114837602222e-05,0.0006256137987214473,0.000602887683883845,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,32,2,1,0,0.5979697795531314,0.29434875058791016,5.0,4.659891511747577,1.4496039094967015,0.09499252380003453,0.9245227827889538,0.0336183039947803,0.001990847281225239,0.019580359895663552,0.017589512614438314,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,46,1,0,0,0.7851815703324082,0.21904061884397133,3.0,4.830122287629284,1.2899147171630385,0.20723555862913887,0.9160600360059503,0.018066823886125877,7.562870293838297e-05,0.0006090299929575715,0.0005334012900191885,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,47,1,0,0,0.7108057958562283,0.23401559596339472,23.0,4.830122287629284,0.8852716130645549,0.0014425063662738108,0.923558637842768,0.04031228156999769,0.0026297709905624455,0.009149575817348304,0.006519804826785858,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,49,2,1,0,0.6872446906865073,0.3314378425501381,16.0,4.806755693104525,0.7034855632934344,0.4021527048890447,0.9205225658358677,0.04280309179150128,0.0014121631487164657,0.002221172581029059,0.0008090094323125933,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,53,1,0,0,0.7058246615831897,0.3293307485256047,35.0,4.799626694340233,0.8464688322446767,0.0066324676426336975,0.9140627280680249,0.02454237696897826,9.954082752551786e-05,0.001815176633485543,0.0017156358059600251,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,61,1,0,0,0.6911380454942447,0.2852663223976598,21.0,5.047572358895003,0.7940185118251766,0.3489229291215289,0.9195562928835308,0.03651615660371857,2.2749990422006326e-05,0.0011876029553448836,0.0011648529649228771,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44078,62,1,0,1,0.6159140613683529,0.23215490675027978,11.0,5.114680301612628,1.3438302578644257,0.45377421931729867,0.9307063881860766,0.027550801496386966,0.0009114675625761618,0.008134861566720495,0.0072233940041443335,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
