test_index,outcome,primary_actions,expanded_actions,true_safe_actions,primary_action,expanded_action,true_responsive_action,primary_regret,expanded_regret,incremental_regret,selected_safety_mean,selected_safety_std,selected_downside_mean,selected_downside_std,selected_realized_regret,safety_lcb_k_0.00,downside_ucb_k_0.00,safety_lcb_k_0.25,downside_ucb_k_0.25,safety_lcb_k_0.50,downside_ucb_k_0.50,safety_lcb_k_0.75,downside_ucb_k_0.75,safety_lcb_k_1.00,downside_ucb_k_1.00,safety_lcb_k_1.25,downside_ucb_k_1.25,safety_lcb_k_1.50,downside_ucb_k_1.50,safety_lcb_k_2.00,downside_ucb_k_2.00
10,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.8780245535714286,0.30044914362817055,0.002023937603550473,0.004971988395813358,0.0,0.8780245535714286,0.002023937603550473,0.802912267664386,0.0032669347025038125,0.7277999817573433,0.004509931801457152,0.6526876958503007,0.005752928900410492,0.5775754099432581,0.006995925999363831,0.5024631240362154,0.00823892309831717,0.4273508381291728,0.00948192019727051,0.2771262663150875,0.01196791439517719
11,beneficial,3,1|3,1|3,3,1,1,0.0,0.0,0.0,0.8801815476190477,0.27356131540776657,0.008707973886357245,0.022559970412344987,0.0,0.8801815476190477,0.008707973886357245,0.811791218767106,0.014347966489443493,0.7434008899151644,0.01998795909252974,0.6750105610632227,0.025627951695615984,0.606620232211281,0.031267944298702235,0.5382299033593394,0.03690793690178848,0.4698395745073978,0.042547929504874724,0.3330589168035145,0.05382791471104722
12,neutral,2|3,2|3,1|2|3,2,2,1,0.0,0.0,0.0,0.37270238095238095,0.4451161424210137,4.33950606841204e-05,0.0008668156582685954,0.0,0.37270238095238095,4.33950606841204e-05,0.2614233453471275,0.00026009897525126923,0.1501443097418741,0.0004768028898184181,0.038865274136620664,0.0006935068043855669,-0.07241376146863276,0.0009102107189527158,-0.1836927970738862,0.0011269146335198647,-0.2949718326791396,0.0013436185480870135,-0.5175299038896465,0.0017770263772213112
13,neutral,1|2|3,1|2|3,1|2|3,1,1,1,0.0,0.0,0.0,0.8469166666666667,0.32532282044148086,0.001488691686413017,0.009623661007401583,0.0,0.8469166666666667,0.001488691686413017,0.7655859615562964,0.003894606938263413,0.6842552564459262,0.006300522190113809,0.602924551335556,0.008706437441964204,0.5215938462251858,0.0111123526938146,0.44026314111481557,0.013518267945664996,0.35893243600444535,0.01592418319751539,0.19627102578370492,0.020736013701216183
14,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.7928154761904762,0.3701340551549274,5.7363297440541584e-05,0.0015055765871369463,0.0,0.7928154761904762,5.7363297440541584e-05,0.7002819624017443,0.00043375744422477817,0.6077484486130125,0.0008101515910090147,0.5152149348242807,0.0011865457377932512,0.4226814210355488,0.0015629398845774878,0.3301479072468169,0.0019393340313617244,0.2376143934580851,0.002315728178145961,0.052547365880621366,0.0030685164717144343
15,neutral,3,3,1|3,3,3,1,0.0,0.0,0.0,0.9420213293650793,0.20836400188511142,0.0004225184313286665,0.0013421937033212524,0.0,0.9420213293650793,0.0004225184313286665,0.8899303288938014,0.0007580668571589796,0.8378393284225236,0.0010936152829892926,0.7857483279512457,0.0014291637088196059,0.7336573274799679,0.001764712134649919,0.68156632700869,0.0021002605604802317,0.6294753265374122,0.002435808986310545,0.5252933255948564,0.0031069058379711713
16,neutral,3,3,1|3,3,3,1,0.0,0.0,0.0,0.6592033730158731,0.43526267867742136,0.0022129655551221704,0.005151999996337901,0.0,0.6592033730158731,0.0022129655551221704,0.5503877033465178,0.003500965554206646,0.44157203367716236,0.0047889655532911204,0.33275636400780706,0.006076965552375596,0.2239406943384517,0.007364965551460071,0.11512502466909635,0.008652965550544546,0.006309354999741057,0.009940965549629022,-0.21132198433896965,0.012516965547797972
17,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.9396458333333333,0.23093126589089713,0.002023937603550473,0.004971988395813358,0.0,0.9396458333333333,0.002023937603550473,0.881913016860609,0.0032669347025038125,0.8241802003878848,0.004509931801457152,0.7664473839151604,0.005752928900410492,0.7087145674424362,0.006995925999363831,0.6509817509697119,0.00823892309831717,0.5932489344969876,0.00948192019727051,0.47778330155153903,0.01196791439517719
18,beneficial,3,2|3,2|3,3,2,2,0.0,0.0,0.0,0.8304107142857143,0.3386806488134049,0.00011952308575422093,0.001987012111126363,0.0,0.8304107142857143,0.00011952308575422093,0.7457405520823631,0.0006162761135358117,0.6610703898790119,0.0011130291413174024,0.5764002276756606,0.0016097821690989932,0.4917300654723094,0.002106535196880584,0.4070599032689582,0.0026032882246621748,0.3223897410656069,0.0031000412524437655,0.15304941665890448,0.0040935473080069475
19,neutral,1|2|3,1|2|3,2|3,1,1,2,0.09518820021482474,0.09518820021482474,0.0,0.8397708333333334,0.3373361993197999,0.008468220588418287,0.022325832524659747,0.09518820021482474,0.8397708333333334,0.008468220588418287,0.7554367835033834,0.014049678719583222,0.6711027336734334,0.01963113685074816,0.5867686838434834,0.025212594981913097,0.5024346340135335,0.030794053113078035,0.4181005841835835,0.03637551124424297,0.33376653435363346,0.0419569693754079,0.16509843469373353,0.05311988563773778
