generation_seed,test_index,state_threshold,primary_specification,state_harmful_probability,current_mismatch_indicator,anchor_age,trigger_score,primary_action,baseline_action,guarded_action,true_responsive_action,baseline_outcome,baseline_expansion,vetoed,baseline_regret,guarded_regret,regret_difference_guard_minus_baseline,support_distance_baseline_action,safety_score_baseline_action,downside_score_baseline_action,selectivity_class
44029,31,0.5,1,0.4522794460191581,0.06684140308736354,18.0,5.8084761013265025,3,2,2,1,neutral,1,0,0.0,0.0,0.0,1.835679355168494,0.6486289682539685,0.00010993471783941803,neutral_preserved
44029,37,0.5,1,0.046747337698923475,0.09640566040917425,11.0,17.264514668744685,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.3435645269170067,0.8259538690476192,1.8190438310044208e-05,beneficial_preserved
44029,38,0.5,1,0.6821330544118172,1.3372876601253636,21.0,17.264514668744685,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.2986448519971177,0.6153303571428573,3.0317397183407015e-05,beneficial_vetoed
44029,41,0.5,1,0.5723911414539045,0.2966733897956209,13.0,7.811138833663312,3,2,3,3,neutral,1,1,0.0,0.0,0.0,1.9320605605573224,0.8322901785714286,3.0317397183407015e-05,neutral_vetoed
44029,55,0.5,1,0.22512796709105043,0.0582428845495889,10.0,10.79649297110075,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.761349086956256,0.9016622023809524,2.4253917746725613e-05,beneficial_preserved
44029,61,0.5,1,0.4315379933663926,0.6676232221339767,7.0,15.35241468980229,3,1,1,1,beneficial,1,0,0.0,0.0,0.0,2.111495175028209,0.6479404761904761,0.013782540686575598,beneficial_preserved
44029,62,0.5,1,0.08612213456960896,0.2169064304004015,17.0,15.35241468980229,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.046072822571585,0.7412986111111114,2.4253917746725613e-05,beneficial_preserved
44029,64,0.5,1,0.45079277322658673,0.01837793865890355,12.0,6.337855453748655,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.112634007734581,0.8970967261904762,0.0001804892483143202,beneficial_preserved
44029,65,0.5,1,0.3389747633563465,0.03373340765553464,22.0,6.337855453748655,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.170257535197404,0.8706116071428572,0.0035469950407665003,beneficial_preserved
44029,69,0.5,1,0.316151539490939,0.03925734127395693,30.0,5.307625746477998,2,1,1,1,beneficial,1,0,0.0,0.0,0.0,2.107079781002585,0.6753779761904761,0.003328725482586811,beneficial_preserved
44029,72,0.5,1,0.20743142462222083,0.012900906530676133,9.0,10.795117494348787,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.7264468049833517,0.9484166666666667,0.00017876238487079637,beneficial_preserved
