context_index,best_persistence,second_persistence,worst_persistence,loss_k1,loss_k2,loss_k3,best_loss,second_loss,worst_loss,absolute_margin,relative_margin,total_spread,relative_spread,benefit_probability,release_probability,anchor_age,trigger_score,feature_distance,current_mismatch_indicator,current_parameter_estimate
60,1,2,3,0.06734456731108437,0.06734456731108437,0.06734456731108437,0.06734456731108437,0.06734456731108437,0.06734456731108437,0.0,0.0,0.0,0.0,0.6348403719850392,0.31934284663798507,50.0,19.791358046058896,0.9318339517263458,1.280228725524206,0.9104828390429017
61,1,2,3,0.13355562574991597,0.13355562574991597,0.13355562574991597,0.13355562574991597,0.13355562574991597,0.13355562574991597,0.0,0.0,0.0,0.0,0.6047730203825675,0.4945838699559279,30.0,16.32911410767001,0.43872823320908044,0.047332930566372534,0.9107934252990101
62,1,2,3,0.06237232922530689,0.06237232922530689,0.06237232922530689,0.06237232922530689,0.06237232922530689,0.06237232922530689,0.0,0.0,0.0,0.0,0.6375621884254985,0.39190306692145876,50.0,16.32911410767001,0.5685745862510321,0.6371832138497308,0.9142875017360258
63,3,1,2,0.31512973873163685,0.3315957770600653,0.31048065888362714,0.31048065888362714,0.31512973873163685,0.3315957770600653,0.004649079848009718,0.014973814680473513,0.021115118176438186,0.06800783743596875,0.7198328099256369,0.5925707612848753,10.0,28.758383138140047,0.5083858832597257,1.6833208068352639,0.9245392929568392
64,2,3,1,0.23472492756266822,0.21360980938623003,0.21360980938623003,0.21360980938623003,0.21360980938623003,0.23472492756266822,0.0,0.0,0.021115118176438186,0.09884900996358684,0.651734637256413,0.6463863490320907,20.0,28.758383138140047,0.4934714030691668,0.0913264092789924,0.9220744448144329
65,1,2,3,0.13804891576332434,0.13804891576332434,0.13804891576332434,0.13804891576332434,0.13804891576332434,0.13804891576332434,0.0,0.0,0.0,0.0,0.7176372165898087,0.360716540079693,30.0,28.758383138140047,0.6110464001662173,0.023098838141266703,0.9154417381826422
66,1,2,3,0.06592533804746765,0.06592533804746765,0.06592533804746765,0.06592533804746765,0.06592533804746765,0.06592533804746765,0.0,0.0,0.0,0.0,0.7041932997370826,0.3490854763746241,50.0,28.758383138140047,0.7787537197612104,0.2840717779624097,0.9231858768964717
67,1,2,3,0.23542522174091302,0.23542522174091302,0.23542522174091302,0.23542522174091302,0.23542522174091302,0.23542522174091302,0.0,0.0,0.0,0.0,0.8630537207345707,0.4374984998725334,10.0,47.03806337219937,1.0225762386964206,1.0337464908819745,0.9300236544196462
68,1,2,3,0.17899497460818137,0.17899497460818137,0.17899497460818137,0.17899497460818137,0.17899497460818137,0.17899497460818137,0.0,0.0,0.0,0.0,0.7792954841011153,0.4609703310308108,20.0,47.03806337219937,0.9436632192710553,1.0977637285390642,0.9296863303845979
69,1,2,3,0.11294663593777557,0.11294663593777557,0.11294663593777557,0.11294663593777557,0.11294663593777557,0.11294663593777557,0.0,0.0,0.0,0.0,0.7637361324662584,0.24867347907844664,30.0,47.03806337219937,1.0540139716250116,0.5373643352969605,0.9140544261244715
70,1,2,3,0.056106360578076095,0.056106360578076095,0.056106360578076095,0.056106360578076095,0.056106360578076095,0.056106360578076095,0.0,0.0,0.0,0.0,0.7263706794880779,0.25563598180287184,50.0,47.03806337219937,1.2677996952462016,0.10827702946110994,0.9218912619090235
71,1,2,3,0.38522809254394097,0.42655032161830797,0.43654667439756967,0.38522809254394097,0.42655032161830797,0.43654667439756967,0.041322229074367,0.10726691504085031,0.0513185818536287,0.1332160941706032,0.5895350277744951,0.583466417857635,20.0,7.4264004896122735,0.769366199331116,3.860024175017075,0.9286015650574349
72,1,3,2,0.2786012040168875,0.2885975567961493,0.28159697784769955,0.2786012040168875,0.28159697784769955,0.2885975567961493,0.002995773830812065,0.010752910567535533,0.009996352779261808,0.035880508178349424,0.3431504607520124,0.7487827600491296,30.0,7.4264004896122735,0.43498993825726967,0.0037695548584151125,0.9219874491190863
73,1,2,3,0.22285220703043623,0.22285220703043623,0.22285220703043623,0.22285220703043623,0.22285220703043623,0.22285220703043623,0.0,0.0,0.0,0.0,0.8491574891280139,0.4059769827919289,10.0,61.91883039015616,1.134358787714551,0.6304845771444171,0.9282261580784711
74,1,2,3,0.15928385565482156,0.15928385565482156,0.15928385565482156,0.15928385565482156,0.15928385565482156,0.15928385565482156,0.0,0.0,0.0,0.0,0.7740902558786322,0.32394935255277213,20.0,61.91883039015616,1.0535202412362157,0.3034207885161704,0.917557575458772
75,1,2,3,0.10379114125660753,0.10379114125660753,0.10379114125660753,0.10379114125660753,0.10379114125660753,0.10379114125660753,0.0,0.0,0.0,0.0,0.7533589323215405,0.27720017675712744,30.0,61.91883039015616,1.1581199859488884,0.16422657826295778,0.9161762414590315
76,1,2,3,0.051148187878207706,0.051148187878207706,0.051148187878207706,0.051148187878207706,0.051148187878207706,0.051148187878207706,0.0,0.0,0.0,0.0,0.7065551845344338,0.26793746967093984,50.0,61.91883039015616,1.2955653606892736,0.5804921152207221,0.9190386956021838
77,1,2,3,0.3064098621988008,0.3064098621988008,0.3064098621988008,0.3064098621988008,0.3064098621988008,0.3064098621988008,0.0,0.0,0.0,0.0,0.8814615489830581,0.42703549704618105,10.0,65.28234027810512,1.700494766879363,1.6410167514228584,0.9403170895444303
78,1,2,3,0.2310250170161113,0.2310250170161113,0.2310250170161113,0.2310250170161113,0.2310250170161113,0.2310250170161113,0.0,0.0,0.0,0.0,0.8053632292312587,0.2870857574773511,20.0,65.28234027810512,1.5500386666073924,1.3772386295608965,0.9174132549788848
79,1,2,3,0.15013953755496873,0.15013953755496873,0.15013953755496873,0.15013953755496873,0.15013953755496873,0.15013953755496873,0.0,0.0,0.0,0.0,0.7663393543130684,0.2852729734758494,30.0,65.28234027810512,1.6411980335350789,1.2887250928023883,0.9216683494094052
80,1,2,3,0.06943919234587595,0.06943919234587595,0.06943919234587595,0.06943919234587595,0.06943919234587595,0.06943919234587595,0.0,0.0,0.0,0.0,0.7274114010596932,0.29401423835733637,50.0,65.28234027810512,1.9203034163106254,0.22194906625961694,0.929408222950407
81,1,2,3,0.20637473887541907,0.20637473887541907,0.20637473887541907,0.20637473887541907,0.20637473887541907,0.20637473887541907,0.0,0.0,0.0,0.0,0.8677893589075206,0.40170671529891067,10.0,45.40795435286919,1.1418784218468645,0.7681476650328761,0.9286430610965974
82,1,2,3,0.15221702277798393,0.15221702277798393,0.15221702277798393,0.15221702277798393,0.15221702277798393,0.15221702277798393,0.0,0.0,0.0,0.0,0.7924947066802533,0.3480926897872086,20.0,45.40795435286919,1.0217357244883452,0.9960127154408015,0.9218887208540775
83,1,2,3,0.09549394722782668,0.09549394722782668,0.09549394722782668,0.09549394722782668,0.09549394722782668,0.09549394722782668,0.0,0.0,0.0,0.0,0.7738681466375219,0.2343487521624039,30.0,45.40795435286919,1.1203725824343458,0.4983085067221808,0.9130110345145961
84,1,2,3,0.046522037604750446,0.046522037604750446,0.046522037604750446,0.046522037604750446,0.046522037604750446,0.046522037604750446,0.0,0.0,0.0,0.0,0.7296415295540956,0.213028353490343,50.0,45.40795435286919,1.3471885064531324,0.3711293476270099,0.9165054756741485
85,1,2,3,0.23848851081140704,0.23848851081140704,0.23848851081140704,0.23848851081140704,0.23848851081140704,0.23848851081140704,0.0,0.0,0.0,0.0,0.8619309112441577,0.3478025357713225,10.0,50.57251444728801,2.5617113996438614,0.13639018861345772,0.9384692770700351
86,1,2,3,0.17224305925964314,0.17224305925964314,0.17224305925964314,0.17224305925964314,0.17224305925964314,0.17224305925964314,0.0,0.0,0.0,0.0,0.8458546497821098,0.21966728205898534,20.0,50.57251444728801,2.355301864214971,0.07931990305926882,0.9163627041055328
87,1,2,3,0.11183368655213771,0.11183368655213771,0.11183368655213771,0.11183368655213771,0.11183368655213771,0.11183368655213771,0.0,0.0,0.0,0.0,0.8095867693406517,0.22979112583852532,30.0,50.57251444728801,2.4654063070453955,0.05444104891211745,0.9227573751711048
88,1,2,3,0.05509062031070399,0.05509062031070399,0.05509062031070399,0.05509062031070399,0.05509062031070399,0.05509062031070399,0.0,0.0,0.0,0.0,0.7329615745160324,0.26612120760721175,50.0,50.57251444728801,2.7409055122078283,0.512426876961204,0.9305407851451003
89,1,2,3,0.2274660100248771,0.2274660100248771,0.2274660100248771,0.2274660100248771,0.2274660100248771,0.2274660100248771,0.0,0.0,0.0,0.0,0.857944668626791,0.3477078398505195,10.0,37.185612215508726,1.5195680599683337,0.2739442553808966,0.9281439516567911
90,1,2,3,0.16174804084126237,0.16174804084126237,0.16174804084126237,0.16174804084126237,0.16174804084126237,0.16174804084126237,0.0,0.0,0.0,0.0,0.8367846814591641,0.2477841169803265,20.0,37.185612215508726,1.4207585111895882,0.017373449852919196,0.9193630079293011
91,1,2,3,0.10470218394718137,0.10470218394718137,0.10470218394718137,0.10470218394718137,0.10470218394718137,0.10470218394718137,0.0,0.0,0.0,0.0,0.8094488405295002,0.2003072849068715,30.0,37.185612215508726,1.5301828144684266,0.034292619455065995,0.9170714346508994
92,1,2,3,0.05072090845458969,0.05072090845458969,0.05072090845458969,0.05072090845458969,0.05072090845458969,0.05072090845458969,0.0,0.0,0.0,0.0,0.7356388500120068,0.2181582829336845,50.0,37.185612215508726,1.7162642462538504,0.4249715644554907,0.9223315752780423
93,1,2,3,0.23169181426792118,0.23169181426792118,0.23169181426792118,0.23169181426792118,0.23169181426792118,0.23169181426792118,0.0,0.0,0.0,0.0,0.8443376706726383,0.453272510314778,10.0,59.29961130160822,0.8923349900475782,1.468853224922151,0.9281174945995122
94,1,2,3,0.1674149859018832,0.1674149859018832,0.1674149859018832,0.1674149859018832,0.1674149859018832,0.1674149859018832,0.0,0.0,0.0,0.0,0.7519085056826983,0.47843668624606667,20.0,59.29961130160822,0.8047309688048028,0.8133886938063408,0.9278313084657536
95,1,2,3,0.10923619511087038,0.10923619511087038,0.10923619511087038,0.10923619511087038,0.10923619511087038,0.10923619511087038,0.0,0.0,0.0,0.0,0.729628382520314,0.29839352356965215,30.0,59.29961130160822,0.9239438560184736,0.5104023954648564,0.9091599614695511
96,1,2,3,0.05319977257412605,0.05319977257412605,0.05319977257412605,0.05319977257412605,0.05319977257412605,0.05319977257412605,0.0,0.0,0.0,0.0,0.7129206853086277,0.2672822734325173,50.0,59.29961130160822,1.1853164915900183,0.11807647535554067,0.9181840160138115
97,1,2,3,0.5502429333376259,0.5957675809262645,0.6246822563289547,0.5502429333376259,0.5957675809262645,0.6246822563289547,0.04552464758863861,0.08273554248559921,0.07443932299132883,0.13528446887934498,0.5730296215151436,0.7717321634786736,11.0,27.56869886537584,0.23232162231719447,0.824341239367245,0.9243925855673796
98,1,2,3,0.4258854586667634,0.45480013406945374,0.4798448147793146,0.4258854586667634,0.45480013406945374,0.4798448147793146,0.028914675402690326,0.06789307973355083,0.053959356112551204,0.12669922162016178,0.5076184461204702,0.7176522714703581,21.0,27.56869886537584,0.19380532696797026,0.5998285637355529,0.9160658172724279
99,2,3,1,0.1676160357481792,0.14677695976006122,0.14677695976006122,0.14677695976006122,0.14677695976006122,0.1676160357481792,0.0,0.0,0.02083907598811799,0.14197784190408358,0.5811011839048867,0.6191971265666051,51.0,27.56869886537584,0.2599700237838019,0.16078550612061238,0.9241328514114804
100,2,3,1,0.16136264729922223,0.07894270036718287,0.07894270036718287,0.07894270036718287,0.07894270036718287,0.16136264729922223,0.0,0.0,0.08241994693203936,1.0440477276257192,0.5704720705458037,0.5742204923418675,50.0,13.601646453122344,0.5027760251887615,0.5267508456432365,0.9217373508068228
