generation_seed,test_index,current_distance_k1,current_distance_k2,current_distance_k3,current_max_pairwise_difference,shared_distance_k1,shared_distance_k2,shared_distance_k3,shared_max_pairwise_difference
44011,16,6.702734496014156,6.702734496014156,6.702734496014156,0.0,6.702734496014156,6.702734496014156,6.702734496014156,0.0
44011,17,5.252263176259769,5.252263176259769,5.252263176259769,0.0,5.25226317625977,5.25226317625977,5.25226317625977,0.0
44011,18,3.1264751347118036,3.1264751347118036,3.1264751347118036,0.0,3.126475134711803,3.126475134711803,3.126475134711803,0.0
44011,19,3.050182737886336,3.050182737886336,3.050182737886336,0.0,3.050182737886336,3.050182737886336,3.050182737886336,0.0
44011,20,3.8863487818106583,3.8863487818106583,3.8863487818106583,0.0,3.886348781810658,3.886348781810658,3.886348781810658,0.0
44011,21,2.9037614925634463,2.9037614925634463,2.9037614925634463,0.0,2.9037614925634454,2.9037614925634454,2.9037614925634454,0.0
44011,22,2.5937756601278816,2.5937756601278816,2.5937756601278816,0.0,2.593775660127881,2.593775660127881,2.593775660127881,0.0
44011,23,2.658735785389875,2.658735785389875,2.658735785389875,0.0,2.6587357853898745,2.6587357853898745,2.6587357853898745,0.0
44011,24,2.067357590990343,2.067357590990343,2.067357590990343,0.0,2.067357590990343,2.067357590990343,2.067357590990343,0.0
44011,25,1.8789142883044334,1.8789142883044334,1.8789142883044334,0.0,1.8789142883044334,1.8789142883044334,1.8789142883044334,0.0
44011,26,2.5110009431072773,2.5110009431072773,2.5110009431072773,0.0,2.5110009431072773,2.5110009431072773,2.5110009431072773,0.0
44011,27,3.864826742821537,3.864826742821537,3.864826742821537,0.0,3.864826742821536,3.864826742821536,3.864826742821536,0.0
44011,28,5.681618817832347,5.681618817832347,5.681618817832347,0.0,5.681618817832349,5.681618817832349,5.681618817832349,0.0
44011,29,3.0625071737030196,3.0625071737030196,3.0625071737030196,0.0,3.0625071737030196,3.0625071737030196,3.0625071737030196,0.0
44011,30,2.2400016752681062,2.2400016752681062,2.2400016752681062,0.0,2.2400016752681062,2.2400016752681062,2.2400016752681062,0.0
44011,31,2.1053276599216715,2.1053276599216715,2.1053276599216715,0.0,2.1053276599216715,2.1053276599216715,2.1053276599216715,0.0
44011,32,3.251454733343482,3.251454733343482,3.251454733343482,0.0,3.2514547333434813,3.2514547333434813,3.2514547333434813,0.0
44011,33,3.1149835668286263,3.1149835668286263,3.1149835668286263,0.0,3.1149835668286254,3.1149835668286254,3.1149835668286254,0.0
44011,34,2.8384582931753735,2.8384582931753735,2.8384582931753735,0.0,2.8384582931753735,2.8384582931753735,2.8384582931753735,0.0
44011,35,3.3914720237102776,3.3914720237102776,3.3914720237102776,0.0,3.3914720237102776,3.3914720237102776,3.3914720237102776,0.0
44011,36,2.6307292217983345,2.6307292217983345,2.6307292217983345,0.0,2.630729221798334,2.630729221798334,2.630729221798334,0.0
44011,37,14.657324645892322,14.657324645892322,14.657324645892322,0.0,14.657324645892317,14.657324645892317,14.657324645892317,0.0
44011,38,14.080749925303788,14.080749925303788,14.080749925303788,0.0,14.080749925303781,14.080749925303781,14.080749925303781,0.0
44011,39,13.818396870487891,13.818396870487891,13.818396870487891,0.0,13.818396870487884,13.818396870487884,13.818396870487884,0.0
44011,40,14.051458504473292,14.051458504473292,14.051458504473292,0.0,14.051458504473285,14.051458504473285,14.051458504473285,0.0
44011,41,3.219735802573362,3.219735802573362,3.219735802573362,0.0,3.219735802573362,3.219735802573362,3.219735802573362,0.0
44011,42,1.9251938408665303,1.9251938408665303,1.9251938408665303,0.0,1.92519384086653,1.92519384086653,1.92519384086653,0.0
44011,43,1.848751198426028,1.848751198426028,1.848751198426028,0.0,1.848751198426028,1.848751198426028,1.848751198426028,0.0
44011,44,2.253937469599836,2.253937469599836,2.253937469599836,0.0,2.253937469599836,2.253937469599836,2.253937469599836,0.0
44011,45,8.85037500316801,8.85037500316801,8.85037500316801,0.0,8.850375003168008,8.850375003168008,8.850375003168008,0.0
44011,46,5.2872528082076595,5.2872528082076595,5.2872528082076595,0.0,5.287252808207657,5.287252808207657,5.287252808207657,0.0
44011,47,6.3309125516544045,6.3309125516544045,6.3309125516544045,0.0,6.330912551654403,6.330912551654403,6.330912551654403,0.0
44011,48,2.847483241520499,2.847483241520499,2.847483241520499,0.0,2.8474832415205,2.8474832415205,2.8474832415205,0.0
44011,49,2.792761488460996,2.792761488460996,2.792761488460996,0.0,2.792761488460997,2.792761488460997,2.792761488460997,0.0
44011,50,5.75596239234595,5.75596239234595,5.75596239234595,0.0,5.75596239234595,5.75596239234595,5.75596239234595,0.0
44011,51,2.685748163665701,2.685748163665701,2.685748163665701,0.0,2.685748163665701,2.685748163665701,2.685748163665701,0.0
44011,52,5.406721332837828,5.406721332837828,5.406721332837828,0.0,5.4067213328378285,5.4067213328378285,5.4067213328378285,0.0
44011,53,2.6424648951298586,2.6424648951298586,2.6424648951298586,0.0,2.6424648951298586,2.6424648951298586,2.6424648951298586,0.0
44011,54,4.697442993459774,4.697442993459774,4.697442993459774,0.0,4.697442993459772,4.697442993459772,4.697442993459772,0.0
44011,55,4.552860657638805,4.552860657638805,4.552860657638805,0.0,4.552860657638803,4.552860657638803,4.552860657638803,0.0
44011,56,3.566809109264878,3.566809109264878,3.566809109264878,0.0,3.566809109264878,3.566809109264878,3.566809109264878,0.0
