condition,true_class,run_index,seed,evidence_time,predicted_condition,condition_correct,target_p_fail_A,target_p_fail_C,target_p_fail_S,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,marginal_mae
measurement_noise_0.850,measurement_noise,185,41185,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21984794235939606,0.7424863659810292,0.0602305970858738,0.019298762915149516
measurement_noise_0.850,measurement_noise,186,41186,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2156968426827303,0.7374816512111203,0.06070519655082643,0.022508900885658628
measurement_noise_0.850,measurement_noise,187,41187,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2107433362545375,0.7098949998768546,0.06353555747935663,0.03429907378265487
measurement_noise_0.850,measurement_noise,188,41188,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.17735420246931788,0.7087859862068047,0.04555959556025027,0.04943340525454241
measurement_noise_0.850,measurement_noise,189,41189,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20679138919157075,0.7147724525009935,0.060532454026462644,0.0329895374446328
measurement_noise_0.850,measurement_noise,190,41190,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.215312774791982,0.75423241852047,0.06015266084743817,0.01686915584499542
measurement_noise_0.850,measurement_noise,191,41191,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2146384483483985,0.7324373190500709,0.06065265824826442,0.02452563028326502
measurement_noise_0.850,measurement_noise,192,41192,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22053973831576273,0.7231621084065364,0.06573497013396092,0.02770420001439577
measurement_noise_0.850,measurement_noise,193,41193,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.203731493054244,0.6600505562033714,0.05903860454920938,0.052393115397725086
measurement_noise_0.850,measurement_noise,194,41194,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21319190253727657,0.7589522816609339,0.06010330737634412,0.01598637439271124
measurement_noise_0.850,measurement_noise,195,41195,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20487313608084254,0.7572736374309448,0.05528515692142684,0.020856023188928628
measurement_noise_0.850,measurement_noise,196,41196,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.15911986884272938,0.6842878938455543,0.03884798060858928,0.06591475223437568
measurement_noise_0.850,measurement_noise,197,41197,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.1589308001905449,0.6581387756605638,0.040598470221525074,0.0741106513091221
measurement_noise_0.850,measurement_noise,198,41198,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2746370596239887,0.48530761131361083,0.09478954816579177,0.13470633215872324
measurement_noise_0.850,measurement_noise,199,41199,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2174414917818444,0.7164035125024528,0.06410574746726264,0.030086914394321818
process_disturbance_2.70,process_disturbance,100,41300,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4198352436817622,0.13159168612754696,0.0751076242294545,0.04228802222507975
process_disturbance_2.70,process_disturbance,101,41301,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.36298168031132777,0.22408142063419248,0.10266219960967565,0.10125397997751347
process_disturbance_2.70,process_disturbance,102,41302,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4361570761490477,0.10190359632613849,0.06887571225088995,0.02487407747599359
process_disturbance_2.70,process_disturbance,103,41303,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4401760920451611,0.09420852339659326,0.06615124783088999,0.020061226394107387
process_disturbance_2.70,process_disturbance,104,41304,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.31776380747048444,0.288023950997216,0.0602929404444007,0.1235176946570441
process_disturbance_2.70,process_disturbance,105,41305,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.41785851959383014,0.13132485559847895,0.06946023302844177,0.040975523011030204
process_disturbance_2.70,process_disturbance,106,41306,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4261282143553103,0.11499194970631803,0.07029148791242587,0.03305174108781121
process_disturbance_2.70,process_disturbance,107,41307,60,parameter_mismatch_delta_0.520,False,0.46,0.06,0.06,0.1890096525447585,0.4809729774663547,0.0616858709762905,0.2312163986326289
process_disturbance_2.70,process_disturbance,108,41308,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.39606896171727285,0.16604035830418037,0.0787682796067734,0.06291322539789365
process_disturbance_2.70,process_disturbance,109,41309,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.44290099952538836,0.08828792248045902,0.06661201901075192,0.017332980655274204
process_disturbance_2.70,process_disturbance,110,41310,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4449650973657893,0.08521890710179952,0.06492315413076466,0.01505898795559163
process_disturbance_2.70,process_disturbance,111,41311,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4179485256153417,0.12990124408620768,0.0770672451507873,0.04300665454055111
process_disturbance_2.70,process_disturbance,112,41312,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.43895434593688315,0.09541661789629544,0.06523925763098465,0.02056717653013232
process_disturbance_2.70,process_disturbance,113,41313,60,parameter_mismatch_delta_0.520,False,0.46,0.06,0.06,0.20788973659212062,0.441825179635995,0.05165320445636175,0.21409407952917087
process_disturbance_2.70,process_disturbance,114,41314,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4397835900157826,0.0937523306775367,0.06555262390118835,0.019840454854314158
process_disturbance_2.70,process_disturbance,115,41315,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.3673123436619272,0.21725410753814553,0.08497904946338716,0.09164027111320183
process_disturbance_2.70,process_disturbance,116,41316,60,parameter_mismatch_delta_0.520,False,0.46,0.06,0.06,0.1946652131023025,0.4824554971963292,0.05744473753982911,0.23011518218473254
process_disturbance_2.70,process_disturbance,117,41317,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.3983153140816687,0.1591811395623118,0.07569218950538138,0.05885267166200817
process_disturbance_2.70,process_disturbance,118,41318,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.38558846409416586,0.18380105884963796,0.07642969379953674,0.07154742951833629
process_disturbance_2.70,process_disturbance,119,41319,60,process_disturbance_2.70,True,0.46,0.06,0.06,0.4391471929997865,0.09513100373309238,0.06713433867226015,0.02103938313518869
