condition,true_class,seed,policy,classification_correct,classification_margin,adaptation_scale,uncertainty_scale,post_event_state_proxy_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,recovery_time,recovered,intervened
process_disturbance_boundary,process_disturbance,37110,baseline,True,0.35138115635838474,1.0,1.0,0.7197574957435018,0.009047609507781981,0.0011608705673804565,0.6630324023110127,0,True,False
process_disturbance_boundary,process_disturbance,37110,generic_uncertainty,True,0.35138115635838474,0.25,1.5,0.5876795343716716,0.3139783463313132,0.31529021764184495,0.16575810057775317,,False,True
process_disturbance_boundary,process_disturbance,37110,probabilistic_failure_aware,True,0.35138115635838474,0.1,1.25,0.6437706751189942,0.3775896128847008,0.37811608705673816,0.06630324023110128,,False,True
process_disturbance_boundary,process_disturbance,37111,baseline,True,1.0768651609684967,1.0,1.0,0.6646680437108747,0.009378982589396309,0.004390967936094503,0.6396787130460536,0,True,False
process_disturbance_boundary,process_disturbance,37111,generic_uncertainty,True,1.0768651609684967,0.25,1.5,0.5426991851418497,0.3138796345661452,0.31390225801597627,0.1599196782615134,,False,True
process_disturbance_boundary,process_disturbance,37111,probabilistic_failure_aware,True,1.0768651609684967,0.1,1.25,0.594497171283727,0.3775500558753672,0.3775609032063908,0.06396787130460532,,False,True
process_disturbance_boundary,process_disturbance,37112,baseline,True,4.809590657615338,1.0,1.0,0.8048001269540505,0.011254486829118296,0.0025358056322346556,0.6479480656200594,0,True,False
process_disturbance_boundary,process_disturbance,37112,generic_uncertainty,True,4.809590657615338,0.25,1.5,0.6571165519881821,0.31386998333254384,0.3143660485919414,0.16198701640501484,,False,True
process_disturbance_boundary,process_disturbance,37112,probabilistic_failure_aware,True,4.809590657615338,0.1,1.25,0.719835116867887,0.37754517957506295,0.37774641943677645,0.06479480656200592,,False,True
process_disturbance_boundary,process_disturbance,37113,baseline,True,3.037975386008661,1.0,1.0,0.7080440403798974,0.010721976648059548,0.011681799417588068,0.6316837629888509,0,True,False
process_disturbance_boundary,process_disturbance,37113,generic_uncertainty,True,3.037975386008661,0.25,1.5,0.5781155381164389,0.3136361339510905,0.3120795501456025,0.15792094074721272,,False,True
process_disturbance_boundary,process_disturbance,37113,probabilistic_failure_aware,True,3.037975386008661,0.1,1.25,0.6332938421412224,0.377452196382314,0.37683182005824145,0.06316837629888508,,False,True
