generation_seed,test_index,action,unsafe_action,realized_action_regret,clean_score,poison_score,delta_score,clean_excluded,poison_excluded,membership_switch,clean_cutoff_score,abs_clean_cutoff_margin,near_cutoff_primary
44791,9,1,0,0.0,0.6718088320937868,0.7397161585465963,0.0679073264528095,1,1,0,0.2801911160011875,0.3916177160925993,0
44791,9,2,1,0.0231102779456275,0.2663266500637082,0.3321249873047054,0.0657983372409972,0,0,0,0.2801911160011875,0.013864465937479309,1
44791,9,3,1,0.0231102779456275,0.16059473580929864,0.16095528552906915,0.00036054971977050876,0,0,0,0.2801911160011875,0.11959638019188887,0
44791,10,1,0,0.0,0.6388630962541981,0.7364378844972848,0.09757478824308663,1,1,0,0.2801911160011875,0.3586719802530106,0
44791,10,2,0,0.0,0.2387972591748635,0.32837416830176414,0.08957690912690064,0,0,0,0.2801911160011875,0.041393856826324016,0
44791,10,3,0,0.0,0.1418810016825851,0.15867827777032223,0.016797276087737123,0,0,0,0.2801911160011875,0.1383101143186024,0
44791,11,1,0,0.0,0.6411012933618102,0.736656911326366,0.0955556179645558,1,1,0,0.2801911160011875,0.3609101773606227,0
44791,11,2,0,0.0,0.2405675195178111,0.32862315412177795,0.08805563460396684,0,0,0,0.2801911160011875,0.039623596483376405,0
44791,11,3,0,0.0,0.143067833896733,0.15882902211476163,0.015761188218028632,0,0,0,0.2801911160011875,0.1371232821044545,0
44791,12,1,0,0.0,0.6514818981848296,0.7376792694384703,0.08619737125364069,1,1,0,0.2801911160011875,0.3712907821836421,0
44791,12,2,0,0.0,0.24896153633552498,0.3297883938155692,0.0808268574800442,0,0,0,0.2801911160011875,0.031229579665662532,0
44791,12,3,0,0.0,0.14872608210218716,0.15953526571220314,0.010809183610015982,0,0,0,0.2801911160011875,0.13146503389900036,0
44791,13,1,1,0.175083952060207,0.6522039428400759,0.7377508004965864,0.08554685765651049,1,1,0,0.2801911160011875,0.37201282683888837,0
44791,13,2,1,0.1033393025049751,0.24955690650463178,0.3298701098450025,0.0803132033403707,0,0,0,0.2801911160011875,0.030634209496555737,0
44791,13,3,0,0.0,0.14912934450529552,0.1595848407982558,0.010455496292960276,0,0,0,0.2801911160011875,0.131061771495892,0
44791,14,1,1,0.175083952060207,0.6434859693757661,0.7368908058968019,0.09340483652103582,1,1,0,0.2801911160011875,0.36329485337457856,0
44791,14,2,1,0.1033393025049751,0.24246887611248785,0.3288892947480023,0.08642041863551447,0,0,0,0.2801911160011875,0.03772223988869966,0
44791,14,3,0,0.0,0.14434505701115358,0.1589902164435721,0.014645159432418536,0,0,0,0.2801911160011875,0.13584605899003394,0
44791,15,1,1,0.175083952060207,0.6541318570685325,0.737942073110942,0.08381021604240946,1,1,0,0.2801911160011875,0.373940741067345,0
44791,15,2,1,0.1033393025049751,0.25115409355394736,0.33008873797868565,0.0789346444247383,0,0,0,0.2801911160011875,0.029037022447240157,0
44791,15,3,0,0.0,0.15021244113406212,0.15971750775075821,0.00950506661669609,0,0,0,0.2801911160011875,0.1299786748671254,0
44791,16,1,1,0.1179515551791548,0.6576381632856807,0.7382910052349989,0.08065284194931821,1,1,0,0.2801911160011875,0.3774470472844932,0
44791,16,2,0,0.0,0.25408719791679274,0.3304880285794323,0.07640083066263959,0,0,0,0.2801911160011875,0.026103918084394773,0
44791,16,3,0,0.0,0.15220630398004106,0.1599599188862406,0.007753614906199524,0,0,0,0.2801911160011875,0.12798481202114645,0
44791,17,1,1,0.1179515551791548,0.6368365771405193,0.7362399803892911,0.09940340324877173,1,1,0,0.2801911160011875,0.3566454611393318,0
44791,17,2,0,0.0,0.237206233181645,0.32814939153413375,0.09094315835248876,0,0,0,0.2801911160011875,0.04298488281954252,0
44791,17,3,0,0.0,0.14081624320783728,0.15854223999566033,0.01772599678782305,0,0,0,0.2801911160011875,0.13937487279335023,0
44791,18,1,1,0.1179515551791548,0.6617011972876128,0.7386971139309787,0.07699591664336591,1,1,0,0.2801911160011875,0.3815100812864253,0
44791,18,2,0,0.0,0.2575324677308227,0.33095348877549463,0.07342102104467191,0,0,0,0.2801911160011875,0.02265864827036479,0
44791,18,3,0,0.0,0.1545563711964178,0.1602426902806003,0.0056863190841824895,0,0,0,0.2801911160011875,0.12563474480476972,0
44791,19,1,1,0.0412415661490971,0.6531070997660052,0.7378403538125134,0.08473325404650822,1,1,0,0.2801911160011875,0.3729159837648177,0
44791,19,2,0,0.0,0.25030376668934595,0.3299724489856026,0.07966868229625662,0,0,0,0.2801911160011875,0.02988734931184156,0
44791,19,3,0,0.0,0.14963557997961346,0.1596469362172827,0.010011356237669244,0,0,0,0.2801911160011875,0.13055553602157405,0
44791,20,1,1,0.0412415661490971,0.6452064142227796,0.7370599008675497,0.09185348664477011,1,1,0,0.2801911160011875,0.36501529822159207,0
44791,20,2,0,0.0,0.24385049920156596,0.3290818653548826,0.08523136615331664,0,0,0,0.2801911160011875,0.036340616799621556,0
44791,20,3,0,0.0,0.14527478166480917,0.15910689254893137,0.0138321108841222,0,0,0,0.2801911160011875,0.13491633433637834,0
44791,21,1,1,0.0412415661490971,0.6584916698488411,0.7383761546902657,0.07988448484142463,1,1,0,0.2801911160011875,0.3783005538476536,0
44791,21,2,0,0.0,0.2548067632702783,0.3305855562347262,0.0757787929644479,0,0,0,0.2801911160011875,0.02538435273090922,0
44791,21,3,0,0.0,0.15269641023166472,0.16001915104100398,0.0073227408093392565,0,0,0,0.2801911160011875,0.1274947057695228,0
44791,22,1,1,0.0412415661490971,0.6546576968621882,0.7379943141340527,0.08333661727186448,1,1,0,0.2801911160011875,0.3744665808610007,0
44791,22,2,0,0.0,0.25159163305041793,0.3301484811041978,0.07855684805377988,0,0,0,0.2801911160011875,0.028599482950769584,0
44791,22,3,0,0.0,0.15050947284153457,0.15975376858434492,0.009244295742810354,0,0,0,0.2801911160011875,0.12968164315965294,0
