trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
369,1576,63,393,16.21321524468546
370,1576,69,393,16.21321524468546
371,1576,69,392,16.196789766255822
372,1576,55,392,16.20742687464437
373,1576,58,392,16.20742687464437
374,1576,64,391,16.182071902179747
375,1576,57,392,16.20742687464437
376,1576,62,392,16.20742687464437
377,1576,64,392,16.20742687464437
378,1576,59,392,16.20742687464437
379,1576,55,392,16.20742687464437
380,1576,67,393,16.21321524468546
381,1576,67,392,16.20742687464437
382,1576,70,391,16.182071902179747
383,1576,68,392,16.20742687464437
384,1576,66,393,16.21321524468546
385,1576,63,392,16.20742687464437
386,1576,61,392,16.20742687464437
387,1576,73,392,16.20742687464437
388,1576,60,393,16.21321524468546
389,1576,78,390,16.156156092332473
390,1576,59,392,16.20742687464437
391,1576,85,391,16.162842348245647
392,1576,71,392,16.19915509217374
393,1576,65,392,16.20742687464437
394,1576,73,393,16.21321524468546
395,1576,62,392,16.20742687464437
396,1576,79,391,16.188885873708163
397,1576,55,392,16.20742687464437
398,1576,64,392,16.20742687464437
399,1576,60,392,16.20742687464437
400,1576,66,392,16.20742687464437
401,1576,73,391,16.159398391655873
402,1576,56,392,16.20742687464437
403,1576,63,392,16.20742687464437
404,1576,64,392,16.20742687464437
405,1576,62,392,16.20742687464437
406,1576,55,392,16.20742687464437
407,1576,61,392,16.20742687464437
408,1576,65,392,16.20742687464437
409,1576,69,393,16.21321524468546
410,1576,82,387,16.03369966020824
411,1576,68,392,16.19915509217374
412,1576,58,392,16.20742687464437
413,1576,71,391,16.182071902179747
414,1576,74,393,16.21321524468546
415,1576,64,393,16.21321524468546
416,1576,69,390,16.14141297430834
417,1576,58,392,16.20742687464437
418,1576,61,392,16.20742687464437
419,1576,72,392,16.20742687464437
420,1576,61,393,16.21321524468546
421,1576,60,392,16.20742687464437
422,1576,77,393,16.21321524468546
423,1576,64,393,16.21321524468546
424,1576,55,392,16.20742687464437
425,1576,66,393,16.21321524468546
426,1576,62,393,16.21321524468546
427,1576,67,391,16.182071902179747
428,1576,53,392,16.20742687464437
429,1576,60,392,16.20742687464437
430,1576,76,392,16.19915509217374
431,1576,73,393,16.21321524468546
432,1576,82,390,16.156156092332473
433,1576,76,391,16.186015936602143
434,1576,60,393,16.21321524468546
435,1576,65,392,16.19915509217374
436,1576,75,391,16.188885873708163
437,1576,66,392,16.20742687464437
438,1576,51,392,16.20742687464437
439,1576,64,392,16.20742687464437
440,1576,65,393,16.21321524468546
441,1576,64,392,16.20742687464437
442,1576,73,392,16.196789766255822
443,1576,53,392,16.20742687464437
444,1576,63,392,16.20742687464437
445,1576,54,392,16.20742687464437
446,1576,75,391,16.182071902179747
447,1576,67,393,16.21321524468546
448,1576,70,393,16.21321524468546
449,1576,65,393,16.21321524468546
450,1576,63,392,16.20742687464437
451,1576,60,393,16.21321524468546
452,1576,63,392,16.20742687464437
453,1576,76,391,16.188885873708163
454,1576,56,392,16.20742687464437
455,1576,76,391,16.182071902179747
456,1576,57,392,16.20742687464437
457,1576,61,392,16.20742687464437
458,1576,61,392,16.20742687464437
459,1576,67,392,16.20742687464437
460,1576,44,392,16.20742687464437
461,1576,71,392,16.20742687464437
462,1576,56,392,16.20742687464437
463,1576,63,393,16.21321524468546
464,1576,74,391,16.186015936602143
465,1576,72,392,16.19915509217374
466,1576,69,391,16.182071902179747
467,1576,65,391,16.182071902179747
468,1576,58,392,16.20742687464437
469,1576,58,392,16.20742687464437
470,1576,68,393,16.21321524468546
471,1576,61,392,16.20742687464437
472,1576,64,392,16.20742687464437
473,1576,74,391,16.182071902179747
474,1576,75,391,16.188885873708163
475,1576,69,393,16.21321524468546
476,1576,50,392,16.20742687464437
