generation_seed,test_index,primary_action,support_baseline_action,calibration_guard_action,support_changed_action,guard_changed_support_action,baseline_expansion_outcome,guarded_expansion_outcome,baseline_regret,guarded_regret,primary_regret,context_support_distance,calibration_probability_baseline_action,calibration_threshold,predicted_baseline_action_loss,realized_baseline_action_loss,baseline_action_loss_error,severe_underestimation,true_best_action,true_responsive_action,vetoed_actions
44103,6,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,2.97383274359685,nan,0.468010308717,0.18889370306626557,0.2587380706421768,-0.06984436757591123,0,2,2,
44103,7,1,1,1,0,0,neutral,neutral,0.0070236085740996435,0.0070236085740996435,0.0070236085740996435,3.5912626939629133,nan,0.468010308717,0.08765348936491205,0.19428977818397836,-0.10663628881906631,0,2,1,
44103,8,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.750813786598633,nan,0.468010308717,0.18728741239516125,0.09577426687714824,0.09151314551801301,0,2,3,
44103,9,1,1,1,0,0,neutral,neutral,0.09012711514696652,0.09012711514696652,0.09012711514696652,3.2612334599087034,nan,0.468010308717,0.12806080152013044,0.21076583199756693,-0.08270503047743649,0,2,3,
44103,10,1,1,1,0,0,neutral,neutral,0.09012711514696653,0.09012711514696653,0.09012711514696653,3.013275628935358,nan,0.468010308717,0.17078720693977645,0.15327790715909653,0.017509299780679916,0,2,3,
44103,11,1,1,1,0,0,neutral,neutral,0.09012711514696652,0.09012711514696652,0.09012711514696652,4.3911487614327696,nan,0.468010308717,0.08348237237015844,0.11631717430788936,-0.03283480193773092,0,2,3,
44103,12,1,1,1,0,0,neutral,neutral,0.1653983188138807,0.1653983188138807,0.1653983188138807,3.1385747345888895,nan,0.468010308717,0.16664175246744659,0.387563164113654,-0.2209214116462074,0,3,3,
44103,13,1,1,1,0,0,neutral,neutral,0.16539831881388065,0.16539831881388065,0.16539831881388065,4.643676792878111,nan,0.468010308717,0.06881625062197293,0.3079828623847827,-0.23916661176280973,0,3,1,
44103,14,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,3.4135788138472862,nan,0.468010308717,0.11480220926520752,0.029442110640118476,0.08536009862508905,0,1,1,
44103,15,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,1.977152570036893,nan,0.468010308717,0.18093175193860256,0.11695496493036334,0.06397678700823922,0,2,3,
