population,performance_weight,responsiveness_weight,weight_ratio,policy,multiplier,weighted_distance,selected
seed_100_139,1.65,1.0,1.65,two_stage_0.30,0.3,0.5880395606797933,0
seed_100_139,1.65,1.0,1.65,two_stage_0.35,0.35,0.5004411850700592,0
seed_100_139,1.65,1.0,1.65,two_stage_0.40,0.4,0.4489539267424591,1
seed_100_139,1.65,1.0,1.65,two_stage_0.45,0.45,0.5005264168858251,0
seed_100_139,1.65,1.0,1.65,two_stage_0.50,0.5,0.6142951168339512,0
seed_100_139,1.7,1.0,1.7,two_stage_0.25,0.25,0.7934920476158722,0
seed_100_139,1.7,1.0,1.7,two_stage_0.30,0.3,0.5907434692112997,0
seed_100_139,1.7,1.0,1.7,two_stage_0.35,0.35,0.5008660152446277,0
seed_100_139,1.7,1.0,1.7,two_stage_0.40,0.4,0.44644430631273085,1
seed_100_139,1.7,1.0,1.7,two_stage_0.45,0.45,0.49643642078539746,0
seed_100_139,1.7,1.0,1.7,two_stage_0.50,0.5,0.6085806194501846,0
seed_100_139,1.75,1.0,1.75,two_stage_0.25,0.25,0.7977240352174656,0
seed_100_139,1.75,1.0,1.75,two_stage_0.30,0.3,0.5933373958444176,0
seed_100_139,1.75,1.0,1.75,two_stage_0.35,0.35,0.501275056406799,0
seed_100_139,1.75,1.0,1.75,two_stage_0.40,0.4,0.4440125246212996,1
seed_100_139,1.75,1.0,1.75,two_stage_0.45,0.45,0.49246301504413,0
seed_100_139,1.75,1.0,1.75,two_stage_0.50,0.5,0.6030226891555273,0
seed_100_139,1.8,1.0,1.8,two_stage_0.25,0.25,0.8017837257372732,0
seed_100_139,1.8,1.0,1.8,two_stage_0.30,0.3,0.5958279874823138,0
seed_100_139,1.8,1.0,1.8,two_stage_0.35,0.35,0.5016691730944068,0
seed_100_139,1.8,1.0,1.8,two_stage_0.40,0.4,0.4416549116625126,1
seed_100_139,1.8,1.0,1.8,two_stage_0.45,0.45,0.4886009154583877,0
seed_100_139,1.8,1.0,1.8,two_stage_0.50,0.5,0.5976143046671968,0
seed_100_139,1.85,1.0,1.85,two_stage_0.25,0.25,0.8056815791722831,0
seed_100_139,1.85,1.0,1.85,two_stage_0.30,0.3,0.5982213602329414,0
seed_100_139,1.85,1.0,1.85,two_stage_0.35,0.35,0.5020491678315685,0
seed_100_139,1.85,1.0,1.85,two_stage_0.40,0.4,0.4393680294124559,1
seed_100_139,1.85,1.0,1.85,two_stage_0.45,0.45,0.48484516516478793,0
seed_100_139,1.85,1.0,1.85,two_stage_0.50,0.5,0.5923488777590924,0
seed_100_139,1.9,1.0,1.9,two_stage_0.25,0.25,0.8094272134003795,0
seed_100_139,1.9,1.0,1.9,two_stage_0.30,0.3,0.6005231519306774,0
seed_100_139,1.9,1.0,1.9,two_stage_0.35,0.35,0.5024157865934382,0
seed_100_139,1.9,1.0,1.9,two_stage_0.40,0.4,0.4371486535020229,1
seed_100_139,1.9,1.0,1.9,two_stage_0.45,0.45,0.4811911090716859,0
seed_100_139,1.9,1.0,1.9,two_stage_0.50,0.5,0.5872202195147035,0
seed_100_139,1.95,1.0,1.95,two_stage_0.25,0.25,0.8130294884889122,0
seed_100_139,1.95,1.0,1.95,two_stage_0.30,0.3,0.602738568475298,0
seed_100_139,1.95,1.0,1.95,two_stage_0.35,0.35,0.5027697237028481,0
seed_100_139,1.95,1.0,1.95,two_stage_0.40,0.4,0.43499375662037293,1
seed_100_139,1.95,1.0,1.95,two_stage_0.45,0.45,0.47763437068800224,0
seed_100_139,1.95,1.0,1.95,two_stage_0.50,0.5,0.582222509739582,0
seed_100_139,2.0,1.0,2.0,two_stage_0.25,0.25,0.816496580927726,0
seed_100_139,2.0,1.0,2.0,two_stage_0.30,0.3,0.60487242483005,0
seed_100_139,2.0,1.0,2.0,two_stage_0.35,0.35,0.5031116262266013,0
seed_100_139,2.0,1.0,2.0,two_stage_0.40,0.4,0.4329004934594566,1
seed_100_139,2.0,1.0,2.0,two_stage_0.45,0.45,0.4741708310883108,0
seed_100_139,2.0,1.0,2.0,two_stage_0.50,0.5,0.5773502691896257,0
seed_200_239,0.25,1.0,0.25,two_stage_0.25,0.25,0.4472135954999579,0
seed_200_239,0.25,1.0,0.25,two_stage_0.30,0.3,0.40089279428865104,1
seed_200_239,0.25,1.0,0.25,two_stage_0.35,0.35,0.4683337117185761,0
seed_200_239,0.25,1.0,0.25,two_stage_0.40,0.4,0.5635895308014386,0
seed_200_239,0.25,1.0,0.25,two_stage_0.45,0.45,0.7155951502784981,0
seed_200_239,0.25,1.0,0.25,two_stage_0.50,0.5,0.8944271909999159,0
seed_200_239,0.3,1.0,0.3,two_stage_0.25,0.25,0.48038446141526137,0
seed_200_239,0.3,1.0,0.3,two_stage_0.30,0.3,0.42246372013785277,1
seed_200_239,0.3,1.0,0.3,two_stage_0.35,0.35,0.47466538415154824,0
seed_200_239,0.3,1.0,0.3,two_stage_0.40,0.4,0.5557766743823391,0
seed_200_239,0.3,1.0,0.3,two_stage_0.45,0.45,0.7027350228125184,0
seed_200_239,0.3,1.0,0.3,two_stage_0.50,0.5,0.8770580193070292,0
seed_200_239,0.35,1.0,0.35,two_stage_0.25,0.25,0.5091750772173156,0
seed_200_239,0.35,1.0,0.35,two_stage_0.30,0.3,0.44149808600260687,1
seed_200_239,0.35,1.0,0.35,two_stage_0.35,0.35,0.4804536498671454,0
seed_200_239,0.35,1.0,0.35,two_stage_0.40,0.4,0.548443320013647,0
seed_200_239,0.35,1.0,0.35,two_stage_0.45,0.45,0.6906140091838701,0
seed_200_239,0.35,1.0,0.35,two_stage_0.50,0.5,0.8606629658238704,0
seed_200_239,0.4,1.0,0.4,two_stage_0.25,0.25,0.5345224838248488,0
seed_200_239,0.4,1.0,0.4,two_stage_0.30,0.3,0.45846579446031427,1
seed_200_239,0.4,1.0,0.4,two_stage_0.35,0.35,0.48576671438453745,0
seed_200_239,0.4,1.0,0.4,two_stage_0.40,0.4,0.5415448655063171,0
seed_200_239,0.4,1.0,0.4,two_stage_0.45,0.45,0.679165112559555,0
seed_200_239,0.4,1.0,0.4,two_stage_0.50,0.5,0.8451542547285166,0
seed_200_239,0.45,1.0,0.45,two_stage_0.25,0.25,0.5570860145311556,0
seed_200_239,0.45,1.0,0.45,two_stage_0.30,0.3,0.4737173034539968,1
seed_200_239,0.45,1.0,0.45,two_stage_0.35,0.35,0.4906616463199696,0
seed_200_239,0.45,1.0,0.45,two_stage_0.40,0.4,0.535042218241582,0
seed_200_239,0.45,1.0,0.45,two_stage_0.45,0.45,0.668329514154826,0
seed_200_239,0.45,1.0,0.45,two_stage_0.50,0.5,0.8304547985373997,0
seed_200_239,0.5,1.0,0.5,two_stage_0.25,0.25,0.5773502691896257,0
seed_200_239,0.5,1.0,0.5,two_stage_0.30,0.3,0.48752176283035664,1
seed_200_239,0.5,1.0,0.5,two_stage_0.35,0.35,0.49518659598566034,0
seed_200_239,0.5,1.0,0.5,two_stage_0.40,0.4,0.5289009551096019,0
seed_200_239,0.5,1.0,0.5,two_stage_0.45,0.45,0.6580553342270383,0
seed_200_239,0.5,1.0,0.5,two_stage_0.50,0.5,0.816496580927726,0
seed_200_239,0.55,1.0,0.55,two_stage_0.25,0.25,0.5956833971812706,0
seed_200_239,0.55,1.0,0.55,two_stage_0.30,0.3,0.5000907572416087,0
seed_200_239,0.55,1.0,0.55,two_stage_0.35,0.35,0.4993824963252979,1
seed_200_239,0.55,1.0,0.55,two_stage_0.40,0.4,0.5230906334601398,0
seed_200_239,0.55,1.0,0.55,two_stage_0.45,0.45,0.6482966149358863,0
seed_200_239,0.55,1.0,0.55,two_stage_0.50,0.5,0.8032193289024988,0
seed_200_239,0.6,1.0,0.6,two_stage_0.25,0.25,0.6123724356957945,0
seed_200_239,0.6,1.0,0.6,two_stage_0.30,0.3,0.5115938141811562,0
seed_200_239,0.6,1.0,0.6,two_stage_0.35,0.35,0.5032843837024877,1
seed_200_239,0.6,1.0,0.6,two_stage_0.40,0.4,0.5175842220407167,0
seed_200_239,0.6,1.0,0.6,two_stage_0.45,0.45,0.6390124796065855,0
seed_200_239,0.6,1.0,0.6,two_stage_0.50,0.5,0.7905694150420949,0
seed_200_239,0.65,1.0,0.65,two_stage_0.25,0.25,0.6276459144608478,0
seed_200_239,0.65,1.0,0.65,two_stage_0.30,0.3,0.5221689334069338,0
seed_200_239,0.65,1.0,0.65,two_stage_0.35,0.35,0.5069224353292361,1
seed_200_239,0.65,1.0,0.65,two_stage_0.40,0.4,0.5123576280213814,0
seed_200_239,0.65,1.0,0.65,two_stage_0.45,0.45,0.6301664333523337,0
seed_200_239,0.65,1.0,0.65,two_stage_0.50,0.5,0.778498944161523,0
seed_200_239,0.7,1.0,0.7,two_stage_0.25,0.25,0.6416889479197478,0
seed_200_239,0.7,1.0,0.7,two_stage_0.30,0.3,0.5319299679784965,0
seed_200_239,0.7,1.0,0.7,two_stage_0.35,0.35,0.5103227926267031,0
seed_200_239,0.7,1.0,0.7,two_stage_0.40,0.4,0.5073893015310057,1
seed_200_239,0.7,1.0,0.7,two_stage_0.45,0.45,0.6217257778060304,0
seed_200_239,0.7,1.0,0.7,two_stage_0.50,0.5,0.7669649888473704,0
seed_200_239,0.75,1.0,0.75,two_stage_0.25,0.25,0.6546536707079771,0
seed_200_239,0.75,1.0,0.75,two_stage_0.30,0.3,0.5409719385692767,0
seed_200_239,0.75,1.0,0.75,two_stage_0.35,0.35,0.5135082208920315,0
seed_200_239,0.75,1.0,0.75,two_stage_0.40,0.4,0.5026599031502686,1
seed_200_239,0.75,1.0,0.75,two_stage_0.45,0.45,0.6136611185971546,0
seed_200_239,0.75,1.0,0.75,two_stage_0.50,0.5,0.7559289460184544,0
seed_200_239,0.8,1.0,0.8,two_stage_0.25,0.25,0.6666666666666667,0
seed_200_239,0.8,1.0,0.8,two_stage_0.30,0.3,0.5493749477061166,0
seed_200_239,0.8,1.0,0.8,two_stage_0.35,0.35,0.5164986424025446,0
seed_200_239,0.8,1.0,0.8,two_stage_0.40,0.4,0.4981520228687578,1
seed_200_239,0.8,1.0,0.8,two_stage_0.45,0.45,0.6059459486951948,0
seed_200_239,0.8,1.0,0.8,two_stage_0.50,0.5,0.7453559924999299,0
seed_200_239,0.85,1.0,0.85,two_stage_0.25,0.25,0.677834389404565,0
seed_200_239,0.85,1.0,0.85,two_stage_0.30,0.3,0.5572071196954005,0
seed_200_239,0.85,1.0,0.85,two_stage_0.35,0.35,0.5193115706741743,0
seed_200_239,0.85,1.0,0.85,two_stage_0.40,0.4,0.493849941366005,1
seed_200_239,0.85,1.0,0.85,two_stage_0.45,0.45,0.5985562941883406,0
seed_200_239,0.85,1.0,0.85,two_stage_0.50,0.5,0.7352146220938077,0
seed_200_239,0.9,1.0,0.9,two_stage_0.25,0.25,0.6882472016116853,0
seed_200_239,0.9,1.0,0.9,two_stage_0.30,0.3,0.5645268465875821,0
seed_200_239,0.9,1.0,0.9,two_stage_0.35,0.35,0.5219624668029198,0
seed_200_239,0.9,1.0,0.9,two_stage_0.40,0.4,0.4897394262977429,1
seed_200_239,0.9,1.0,0.9,two_stage_0.45,0.45,0.5914704117366969,0
seed_200_239,0.9,1.0,0.9,two_stage_0.50,0.5,0.7254762501100116,0
seed_200_239,0.95,1.0,0.95,two_stage_0.25,0.25,0.6979824404521128,0
seed_200_239,0.95,1.0,0.95,two_stage_0.30,0.3,0.5713845297468031,0
seed_200_239,0.95,1.0,0.95,two_stage_0.35,0.35,0.5244650338602743,0
seed_200_239,0.95,1.0,0.95,two_stage_0.40,0.4,0.48580755768965145,1
seed_200_239,0.95,1.0,0.95,two_stage_0.45,0.45,0.5846685290236524,0
seed_200_239,0.95,1.0,0.95,two_stage_0.50,0.5,0.716114874039433,0
seed_200_239,1.0,1.0,1.0,two_stage_0.25,0.25,0.7071067811865476,0
seed_200_239,1.0,1.0,1.0,two_stage_0.30,0.3,0.5778239482178272,0
