threshold,test_index,best_persistence,primary_actions,expanded_actions,true_safe_actions,selected_action,true_responsive_action,selected_regret,responsive_retained,responsive_recovered_by_expansion,safe_action_recall,safe_action_precision,false_safe_actions,score_action_1,score_action_2,score_action_3
0.6,44,1,3,3,1,3,1,0.006622848127195047,0,0,0.0,0.0,3,0.42008333333333303,0.1528154761904761,0.3089756399646106
0.6,45,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.16768154761904752,0.7426547619047618,0.6812539821289819
0.6,46,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.061729166666666675,0.8367946428571429,0.7798889027639027
0.6,47,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.10235416666666666,0.8249603174603173,0.8211420818764565
0.6,48,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8936577380952379,0.10269246031746032,0.6599674561549559
0.6,49,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.853458333333333,0.04435416666666667,0.7602356150793648
0.6,50,1,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.09273809523809523,0.19989087301587305,0.8846644483988234
0.6,51,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8577648809523807,0.029333333333333333,0.9480570436507937
0.6,52,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.6550967261904762,0.11875892857142858,0.7475069895382397
0.6,53,1,1|3,1|3,1|3,1,1,0.0,1,0,1.0,1.0,,0.7118095238095239,0.05633333333333334,0.6811175421800418
0.6,54,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.08210416666666667,0.8460446428571428,0.8261678755272502
0.6,55,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.7655937500000002,0.3816106150793653,0.925409902597403
0.6,56,3,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.3275654761904762,0.1353749999999999,0.7112175404252606
0.6,57,3,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.5979166666666665,0.13485416666666666,0.7833823131525338
0.6,58,2,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.25093303571428577,0.6097351190476191,0.751781746031746
0.6,59,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.09879166666666667,0.8970863095238093,0.8180183219558218
0.6,60,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.603017857142857,0.08381249999999998,0.7689419330669329
0.6,61,1,3,3,2|3,3,2,0.0,0,0,0.5,1.0,,0.21116666666666664,0.5577564484126988,0.8426969835719835
0.6,62,3,3,2|3,3,2,3,0.03676296772801363,1,0,1.0,0.5,2,0.08749305555555557,0.8773244047619048,0.8382778679653679
0.6,63,3,3,1|3,3,1,3,0.07518529648577918,1,0,1.0,0.5,1,0.6991220238095235,0.12714583333333335,0.6646400162337662
0.6,64,2,3,1|3,3,1,3,0.03138122831986773,1,0,1.0,0.5,1,0.6905520833333334,0.09790922619047619,0.7644247835497837
0.6,65,2,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.058395833333333334,0.6276835317460318,0.9089112103174604
0.6,66,2,1,1|3,3,1,3,0.03138122831986774,1,1,1.0,0.5,1,0.6971041666666664,0.115860119047619,0.6637871791198995
0.6,67,3,3,1|3,3,1,3,0.05771781043348215,1,0,1.0,0.5,1,0.607186011904762,0.14168154761904758,0.7841066468253969
0.6,68,3,1,1,1,1,1,0.057717810433482175,1,0,1.0,1.0,,0.46729464285714306,0.058416666666666665,0.400325224407945
0.6,69,2,3,1|3,3,1,3,0.06960889750293561,1,0,1.0,0.5,1,0.6491874999999999,0.1405535714285714,0.7892260180587385
0.6,70,2,3,1|3,3,1,3,0.0605707328558652,1,0,1.0,0.5,1,0.7268958333333333,0.08574999999999999,0.7884196255133753
0.6,71,2,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.13404166666666664,0.34210416666666665,0.8012914325258076
0.6,72,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.5904970238095237,0.06591666666666667,0.830152560266531
0.6,73,1,1|3,1|3,1|3,1,1,0.0,1,0,1.0,1.0,,0.7564895833333333,0.11050297619047621,0.592674918831168
0.6,74,1,1|3,1|3,1|3,1,1,0.0,1,0,1.0,1.0,,0.7851354166666665,0.1613958333333333,0.5464482774170264
0.7,0,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.2266964285714286,0.7041666666666666,0.7201162205849707
0.7,1,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.3953020833333331,0.5549895833333334,0.49287465312465245
0.7,2,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.15877083333333333,0.806540674603174,0.7435141056859801
0.7,3,1,3,3,2|3,3,2,0.0,0,0,0.5,1.0,,0.21929166666666663,0.5484280753968256,0.9007276924464425
0.7,4,1,1,1,1,1,1,0.0,1,0,1.0,1.0,,0.3826294642857141,0.1486488095238095,0.5006719505984206
0.7,5,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.49937500000000007,0.10806249999999996,0.715982187950938
0.7,6,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.4764032738095237,0.15684672619047618,0.7329811958874457
0.7,7,2,3,3,2|3,3,2,0.0,0,0,0.5,1.0,,0.5331116071428572,0.41267906746031763,0.8429954534844241
0.7,8,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.7634082341269839,0.09911011904761902,0.788214285714286
0.7,9,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.09441666666666666,0.8166478174603178,0.8809841269841269
0.7,10,1,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.05820833333333333,0.49079662698412696,0.8780245535714286
0.7,11,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8801815476190477,0.10020238095238093,0.8348859126984128
0.7,12,1,2|3,1|2|3,1|2|3,1,1,0.0,1,1,1.0,1.0,,0.7601235119047621,0.3727023809523811,0.76071626984127
