bootstrap,primary_auc,action_only_auc,difference
212,0.8215087316862719,0.7692956375974023,0.05221309408886965
213,0.8297510208248582,0.7726337017580933,0.05711731906676487
214,0.8275671439812777,0.7746078141795207,0.052959329801756994
215,0.8300623200178818,0.7821630065266816,0.047899313491200246
216,0.830066697491005,0.7782132512768185,0.05185344621418653
217,0.8415387587759176,0.7921065225831281,0.04943223619278947
218,0.8360889936061207,0.7872094029657761,0.04887959064034453
219,0.828871623127678,0.7817915799074614,0.04708004322021664
220,0.8343970765438321,0.7888551109290951,0.045541965614737
221,0.8158513814442014,0.7701630302952929,0.04568835114890857
222,0.8340433530805551,0.7853297398227703,0.04871361325778478
223,0.8316778081884935,0.7858097844728018,0.04586802371569165
224,0.8385056526883133,0.7911224501460326,0.04738320254228079
225,0.8351792075968627,0.7875528177976889,0.047626389799173774
226,0.8289687799110876,0.7868843097614929,0.04208447014959471
227,0.8244207349101919,0.7790035917929989,0.045417143117192915
228,0.8270413760318076,0.7742546177449328,0.052786758286874846
229,0.8224572021301154,0.7801542109538591,0.042302991176256355
230,0.8382519490562225,0.7920696389110062,0.04618231014521623
231,0.8216799703932791,0.7797480047115374,0.041931965681741734
232,0.8316625666757372,0.7883505278169611,0.0433120388587761
233,0.8257837064983783,0.7784796965035393,0.04730400999483897
234,0.8260544523825468,0.7705389896104599,0.055515462772086965
235,0.8370419997451708,0.7890102097909846,0.04803178995418622
236,0.8252295023281793,0.7836772763994246,0.04155222592875463
237,0.8300165559424881,0.774637135980387,0.05537941996210116
238,0.833045331093571,0.7842505029812198,0.04879482811235125
239,0.8290062024493021,0.778516045966597,0.05049015648270516
240,0.8273163314197587,0.7809976957035744,0.04631863571618433
241,0.8367260747306128,0.7932235193140884,0.04350255541652437
242,0.8269912612502708,0.7873490630241402,0.039642198226130576
243,0.8267768399723999,0.79059780230974,0.03617903766265995
244,0.8307380328060672,0.7796628474313749,0.051075185374692245
245,0.8249833739581187,0.7774774750474505,0.047505898910668254
246,0.8299387915519578,0.7823308042540499,0.04760798729790794
247,0.8279912153545913,0.7733622782469927,0.05462893710759864
248,0.8301222744125203,0.7873265983978669,0.042795676014653394
249,0.8358061427486392,0.7835394300331187,0.052266712715520525
250,0.8278675742715342,0.7769068581772876,0.05096071609424668
251,0.8290108114139436,0.7812888154714959,0.04772199594244775
