threshold,rows,harmful,beneficial,harmful_recall,harmful_precision,beneficial_specificity,balanced_accuracy,flagged,flagged_fraction,tp,fp,fn,tn,qualifies_recall_constraint,selected_threshold,transfer,training_block,test_block
0.6042552063282551,39,2,37,1.0,0.2222222222222222,0.8108108108108109,0.9054054054054055,9,0.23076923076923078,2,7,0,30,1,1,block_071_090_to_block_091_110,block_071_090,block_091_110
0.604516414318168,39,2,37,0.5,0.125,0.8108108108108109,0.6554054054054055,8,0.20512820512820512,1,7,1,30,0,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.6304632239196827,39,2,37,0.5,0.14285714285714285,0.8378378378378378,0.6689189189189189,7,0.1794871794871795,1,6,1,31,0,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.6430539353708926,39,2,37,0.5,0.16666666666666666,0.8648648648648649,0.6824324324324325,6,0.15384615384615385,1,5,1,32,0,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.6461372510821879,39,2,37,0.5,0.2,0.8918918918918919,0.6959459459459459,5,0.1282051282051282,1,4,1,33,0,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.6876152032015671,39,2,37,0.5,0.25,0.918918918918919,0.7094594594594594,4,0.10256410256410256,1,3,1,34,0,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.6881861957353187,39,2,37,0.5,0.3333333333333333,0.9459459459459459,0.722972972972973,3,0.07692307692307693,1,2,1,35,0,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.7089969162764341,39,2,37,0.0,0.0,0.9459459459459459,0.47297297297297297,2,0.05128205128205128,0,2,2,35,0,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.7174834483795925,39,2,37,0.0,0.0,0.972972972972973,0.4864864864864865,1,0.02564102564102564,0,1,2,36,0,0,block_071_090_to_block_091_110,block_071_090,block_091_110
0.19046922345019734,49,6,43,1.0,0.12244897959183673,0.0,0.5,49,1.0,6,43,0,0,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.2676860294322664,49,6,43,1.0,0.125,0.023255813953488372,0.5116279069767442,48,0.9795918367346939,6,42,0,1,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.2763075860296312,49,6,43,1.0,0.1276595744680851,0.046511627906976744,0.5232558139534884,47,0.9591836734693877,6,41,0,2,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.29335312993758783,49,6,43,1.0,0.13043478260869565,0.06976744186046512,0.5348837209302325,46,0.9387755102040817,6,40,0,3,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.3061838623996136,49,6,43,1.0,0.13333333333333333,0.09302325581395349,0.5465116279069767,45,0.9183673469387755,6,39,0,4,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
