generation_seed,test_index,outcome,primary_action,expanded_action,true_responsive_action,action_step,safety_score,downside_score,support_distance,predicted_under_risk,predicted_loss_k1,predicted_loss_k2,predicted_loss_k3,predicted_loss_k1_minus_k2,predicted_loss_k1_minus_k3,predicted_loss_k2_minus_k3,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,primary_regret,expanded_regret,incremental_regret,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate,expanded_action_reconstructed,context_support_distance,action_support_distance,epistemic_excess,predicted_action_loss,predicted_relative_loss,harmful_target
44004,25,harmful,3,2,3,1,0.7759394841269841,0.0,2.3388539700693474,0.042182616859069946,0.18018080267884848,0.17871614991748752,0.18144636239210407,0.0014646527613609572,-0.001265559713255593,-0.00273021247461655,0.0,0.037723330710989225,0.037723330710989225,0.0,0.042564203508683146,0.042564203508683146,0.7041531827139099,0.43297047814575573,16.0,7.920617905254036,0.8047131602587925,0.3282792702227417,0.9168004065842508,2,1.3991714885880073,1.8975250173210814,0.49835352873307404,0.17871614991748752,0.0,1
44004,26,harmful,3,2,3,1,0.9288784722222218,0.0002503282384365895,2.3558711136512374,0.03829999542075395,0.1561188587245747,0.12146285414414956,0.12934441919190123,0.03465600458042514,0.026774439532673472,-0.00788156504775167,0.00036195782101409454,0.005878066719198073,0.005516108898183978,0.0,0.042564203508683146,0.042564203508683146,0.6858370133812849,0.5010939294133804,26.0,7.920617905254036,0.6780691664179239,0.542534396943952,0.9199061602788218,2,1.4339513565774333,1.6286018419781634,0.19465048540073004,0.12146285414414956,0.0,1
44004,27,beneficial,3,2,2,1,0.6454107142857143,0.0031801113489683674,2.4346468698763846,0.047808482597669025,0.09700259812843079,0.08635719107524052,0.0887955674785419,0.010645407053190267,0.008207030649888883,-0.0024383764033013844,0.00023269661180907902,0.019375576474870808,0.019142879863061728,0.0,0.0,0.0,0.5685481289144001,0.6453549793058344,46.0,7.920617905254036,0.5104616453561625,0.21879723107468446,0.9243018799850267,2,2.1294811622118934,2.5631976794170788,0.43371651720518534,0.08635719107524052,0.0,0
44004,36,beneficial,3,1,1,2,0.9884999999999999,0.0023714316295461173,2.157033649315138,0.03197641157802774,0.1347632695674113,0.2026515489615235,0.19678810263822197,-0.06788827939411218,-0.062024833070810664,0.005863446323301519,0.0009834762892028822,0.001984938321059661,0.0010014620318567788,0.0,0.0,0.0,0.7596223831448576,0.37121971587303715,10.0,5.622785264913806,1.0968505567749078,0.0738432048619085,0.9187538953088877,1,1.1364042116142372,1.5476835334464363,0.41127932183219906,0.1347632695674113,0.0,0
44004,40,beneficial,3,1,1,2,0.6045505952380948,0.004678499048271863,2.2039687266020724,0.033548414531423335,0.16003787680466883,0.16901943684576134,0.17143181322977485,-0.008981560041092518,-0.011393936425106027,-0.0024123763840135093,0.0005994924770428106,0.003317332586634764,0.002717840109591953,0.0,0.0,0.0,0.7894891370861197,0.36114630395165886,15.0,6.520510802879969,1.2701589126436537,0.12895660555512053,0.9253963027765264,1,1.3611159799247399,1.8428635754342442,0.4817475955095043,0.16003787680466883,0.0,0
44004,54,beneficial,3,2,2,1,0.9453144841269838,6.093566010338288e-06,1.558571326666731,0.035715217017265495,0.13772201210211088,0.1131273917497574,0.11442894801680285,0.024594620352353477,0.023293064085308027,-0.0013015562670454506,0.0,0.009604465579232628,0.009604465579232628,0.0,0.0,0.0,0.7166480834864812,0.45026607303887145,25.0,7.045171433748348,0.7211837165789058,0.2600189912063255,0.9209888033631027,2,1.1774714540591213,1.2427104935352773,0.06523903947615595,0.1131273917497574,0.0,0
44005,0,beneficial,3,2,2,1,0.9263303571428573,0.0,2.3865564589502575,0.015032631930135472,0.12671851236694265,0.10930532217687736,0.11740374944284288,0.017413190190065292,0.009314762924099773,-0.008098427265965519,0.000139681987747588,0.0024292275547425314,0.0022895455669949432,0.0,0.0,0.0,0.7969640540676497,0.3102192969868765,24.0,7.879384310189478,1.1588516836149225,0.31428929144583806,0.9243830131046038,2,1.7373593630171569,2.0669456614968835,0.32958629847972665,0.10930532217687736,0.0,0
44005,3,beneficial,3,2,2,1,0.7651011904761907,0.0003249087286261108,2.485458475790383,0.03212192086926166,0.11963569331247685,0.10886658822152724,0.12281480312432366,0.01076910509094961,-0.0031791098118468114,-0.013948214902796421,0.00044041595243781356,0.006316886244599848,0.005876470292162034,0.0,0.0,0.0,0.6670922371516733,0.5023217881546801,30.0,4.912692563952169,0.8968154843212621,0.39183085443051147,0.9243225843361633,2,1.562240373894253,1.8338331768983234,0.2715928030040704,0.10886658822152724,0.0,0
44005,7,harmful,3,1,3,2,0.8890357142857142,0.004193980657108394,1.8602602355723143,0.025854687370717364,0.12124167874909836,0.15822087077217092,0.16046863085970844,-0.036979192023072566,-0.039226952110610086,-0.0022477600875375203,8.917493861506043e-05,0.0030954640342225974,0.003006289095607537,0.0,0.05007643767911593,0.05007643767911593,0.6937573060430987,0.3853185898104787,20.0,5.09200706575872,1.0338854872651193,0.04331431148233018,0.9202543015684178,1,1.198941788160871,1.6079770513798384,0.4090352632189673,0.12124167874909836,0.0,1
44005,8,beneficial,3,2,2,1,0.7399999999999998,0.00019394353901985598,2.018632943291915,0.02113382812028151,0.11319471339686749,0.10937606102036293,0.11028539339096732,0.0038186523765045555,0.0029093200059001623,-0.0009093323706043932,8.917493861506043e-05,0.001719102747101572,0.0016299278084865114,0.0,0.0,0.0,0.701556377430124,0.3778971638936522,30.0,5.09200706575872,0.8301000588488668,0.046034465889978185,0.9201791612646568,2,1.3557658643211288,1.7649583048883806,0.4091924405672518,0.10937606102036293,0.0,0
