trial,unsafe_recall,unsafe_precision,balanced_accuracy,true_positives,alert_coverage
267,0.6273792093704246,0.2384529771841959,0.6392250457866911,857,0.390228013029316
268,0.6339677891654466,0.2409571508069004,0.6430930225786438,866,0.390228013029316
269,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
270,0.6361639824304539,0.2417918753478019,0.6443823481759613,869,0.390228013029316
271,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
272,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
273,0.636896046852123,0.24207011686143573,0.6448121233750671,870,0.390228013029316
274,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
275,0.6295754026354319,0.2392877017250974,0.6405143713840087,860,0.390228013029316
276,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
277,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
278,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
279,0.6383601756954612,0.2426265998887034,0.6456716737732788,872,0.390228013029316
280,0.636896046852123,0.24207011686143573,0.6448121233750671,870,0.390228013029316
281,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
282,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
283,0.6339677891654466,0.2409571508069004,0.6430930225786438,866,0.390228013029316
284,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
285,0.6244509516837482,0.23734001112966055,0.6375059449902678,853,0.390228013029316
286,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
287,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
288,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
289,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
290,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
291,0.6259150805270863,0.2378964941569282,0.6383654953884794,855,0.390228013029316
292,0.6339677891654466,0.2409571508069004,0.6430930225786438,866,0.390228013029316
293,0.6361639824304539,0.2417918753478019,0.6443823481759613,869,0.390228013029316
294,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
295,0.623718887262079,0.2370617696160267,0.6370761697911619,852,0.390228013029316
296,0.637628111273792,0.24234835837506957,0.6452418985741729,871,0.390228013029316
297,0.623718887262079,0.2370617696160267,0.6370761697911619,852,0.390228013029316
298,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
299,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
300,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
301,0.623718887262079,0.2370617696160267,0.6370761697911619,852,0.390228013029316
302,0.6383601756954612,0.2426265998887034,0.6456716737732788,872,0.390228013029316
303,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
304,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
305,0.6281112737920937,0.2387312186978297,0.6396548209857971,858,0.390228013029316
306,0.6259150805270863,0.2378964941569282,0.6383654953884794,855,0.390228013029316
307,0.6251830161054173,0.2376182526432944,0.6379357201893736,854,0.390228013029316
308,0.6346998535871157,0.24123539232053423,0.6435227977777496,867,0.390228013029316
309,0.6295754026354319,0.2392877017250974,0.6405143713840087,860,0.390228013029316
310,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
311,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
312,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
313,0.6251830161054173,0.2376182526432944,0.6379357201893736,854,0.390228013029316
314,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
315,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
316,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
317,0.6346998535871157,0.24123539232053423,0.6435227977777496,867,0.390228013029316
