policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,train_count,test_count,pareto_efficient
fixed_risk_0.010,0.13333333333333333,0.1333411858645186,0.004210569798737753,0.0,0.07568233978693295,0.88,0.12,5,60,10,0.48747721338793804,0.8266666666666667,0.36,7,174,75,0
two_stage_0.10,0.28,0.1333411858645186,0.004210569798737753,0.0,0.07568233978693295,0.88,0.12,5,49,21,0.8618845414767519,0.5866666666666667,0.12,7,174,75,0
two_stage_0.25,0.25333333333333335,0.1333411858645186,0.004210569798737753,0.0,0.07568233978693295,0.88,0.12,5,51,19,0.7578920214829882,0.6533333333333333,0.18666666666666668,7,174,75,0
two_stage_1.00,0.12,0.13449839821432213,0.005367782148541293,0.0,0.07568233978693296,0.8533333333333334,0.13333333333333333,2,64,9,0.34559759029777126,0.8933333333333333,0.4266666666666667,7,174,75,1
fixed_k3,0.06666666666666667,0.13519040391408546,0.006059787848304618,0.0,0.07568233978693296,0.8533333333333334,0.13333333333333333,0,70,5,0.0,1.0,0.5333333333333333,7,174,75,0
oracle,1.0,0.12913061606578086,0.0,0.0,0.0,1.0,0.0,0,0,75,0.7517827971951534,0.64,0.6666666666666666,7,174,75,0
direct_loss,0.36,0.14550340596547123,0.007090612401718508,0.0,0.18820447819337066,0.8666666666666667,0.13333333333333333,5,43,27,0.9629700009184334,0.4666666666666667,0.0,8,174,75,1
fixed_risk_0.010,0.10666666666666667,0.14603893641304236,0.007626142849289652,0.0,0.18820447819337066,0.84,0.14666666666666667,4,63,8,0.37209199914326385,0.88,0.41333333333333333,8,174,75,0
two_stage_0.10,0.29333333333333333,0.14550340596547123,0.007090612401718508,0.0,0.18820447819337066,0.8666666666666667,0.13333333333333333,5,48,22,0.8537612189036671,0.5866666666666667,0.12,8,174,75,0
two_stage_0.25,0.24,0.1453131979114569,0.00690040434770417,0.0,0.18820447819337066,0.84,0.14666666666666667,4,53,18,0.6638273425666013,0.72,0.25333333333333335,8,174,75,1
two_stage_1.00,0.18666666666666668,0.1459205270904443,0.007507733526691595,0.0,0.18820447819337066,0.8533333333333334,0.13333333333333333,1,60,14,0.4201329332447409,0.8533333333333334,0.4,8,174,75,1
fixed_k3,0.06666666666666667,0.14743147308019555,0.009018679516442848,0.0,0.18820447819337066,0.84,0.14666666666666667,0,70,5,0.0,1.0,0.5333333333333333,8,174,75,0
oracle,1.0,0.13841279356375272,0.0,0.0,0.0,1.0,0.0,0,0,75,0.7517827971951534,0.64,0.64,8,174,75,0
direct_loss,0.36,0.1525059374501172,0.00722620771159951,0.0,0.08356387856799662,0.84,0.16,5,43,27,0.9672184950350251,0.41333333333333333,0.0,9,174,75,1
fixed_risk_0.010,0.04,0.15757224483860507,0.012292515100087368,0.0,0.16188178406892417,0.7866666666666666,0.21333333333333335,3,69,3,0.2537468173658883,0.92,0.5066666666666667,9,174,75,0
two_stage_0.10,0.24,0.15622887069252267,0.010949140954004975,0.0,0.16188178406892417,0.8,0.2,5,52,18,0.7322257506505512,0.64,0.22666666666666666,9,174,75,0
two_stage_0.25,0.17333333333333334,0.15662017313809323,0.011340443399575541,0.0,0.16188178406892417,0.7866666666666666,0.21333333333333335,5,57,13,0.6442544780072551,0.72,0.32,9,174,75,0
two_stage_1.00,0.06666666666666667,0.15723669485948247,0.011956965120964778,0.0,0.16188178406892417,0.7866666666666666,0.21333333333333335,1,69,5,0.37324877217164215,0.8933333333333333,0.5066666666666667,9,174,75,1
fixed_k3,0.013333333333333334,0.157856040178158,0.012576310439640286,0.0,0.16188178406892417,0.7866666666666666,0.21333333333333335,0,74,1,0.0,1.0,0.5866666666666667,9,174,75,0
oracle,1.0,0.1452797297385177,0.0,0.0,0.0,1.0,0.0,0,0,75,0.6110011292657223,0.6933333333333334,0.64,9,174,75,0
