dose,trial,flipped_source_unsafe_rows,unsafe_selected,total_regret
0.1,66,164,325,15.195242320632861
0.1,67,164,324,15.178820427483283
0.1,68,164,323,15.161576106369107
0.1,69,164,327,15.227445119461581
0.1,70,164,324,15.178820427483283
0.1,71,164,323,15.161576106369107
0.1,72,164,323,15.161576106369107
0.1,73,164,325,15.195242320632861
0.1,74,164,323,15.161576106369107
0.1,75,164,323,15.161576106369107
0.1,76,164,325,15.195242320632861
0.1,77,164,323,15.161576106369107
0.1,78,164,327,15.227445119461581
0.1,79,164,323,15.161576106369107
0.1,80,164,323,15.161576106369107
0.1,81,164,327,15.227445119461581
0.1,82,164,325,15.195242320632861
0.1,83,164,328,15.242029730777546
0.1,84,164,321,15.12671251805837
0.1,85,164,324,15.178820427483283
0.1,86,164,322,15.144049682330769
0.1,87,164,327,15.227445119461581
0.1,88,164,328,15.242029730777546
0.1,89,164,328,15.242029730777546
0.1,90,164,321,15.12671251805837
0.1,91,164,323,15.161576106369107
0.1,92,164,323,15.161576106369107
0.1,93,164,321,15.12671251805837
0.1,94,164,327,15.227445119461581
0.1,95,164,321,15.12671251805837
0.1,96,164,325,15.195242320632861
0.1,97,164,323,15.161576106369107
0.1,98,164,325,15.195242320632861
0.1,99,164,323,15.161576106369107
0.1,100,164,323,15.161576106369107
0.1,101,164,321,15.12671251805837
0.1,102,164,328,15.242029730777546
0.1,103,164,326,15.210417058450277
0.1,104,164,323,15.161576106369107
0.1,105,164,321,15.12671251805837
0.1,106,164,323,15.161576106369107
0.1,107,164,322,15.144049682330769
0.1,108,164,323,15.161576106369107
0.1,109,164,322,15.144049682330769
0.1,110,164,323,15.161576106369107
0.1,111,164,327,15.227445119461581
0.1,112,164,323,15.161576106369107
0.1,113,164,324,15.178820427483283
0.1,114,164,327,15.227445119461581
0.1,115,164,324,15.178820427483283
0.1,116,164,328,15.242029730777546
0.1,117,164,327,15.227445119461581
0.1,118,164,327,15.227445119461581
0.1,119,164,325,15.195242320632861
0.1,120,164,328,15.242029730777546
0.1,121,164,325,15.195242320632861
0.1,122,164,327,15.227445119461581
0.1,123,164,325,15.195242320632861
0.1,124,164,322,15.144049682330769
0.1,125,164,323,15.161576106369107
0.1,126,164,327,15.227445119461581
0.1,127,164,326,15.210417058450277
0.1,128,164,327,15.227445119461581
0.1,129,164,323,15.161576106369107
0.1,130,164,323,15.161576106369107
0.1,131,164,323,15.161576106369107
0.1,132,164,323,15.161576106369107
0.1,133,164,324,15.178820427483283
0.1,134,164,323,15.161576106369107
0.1,135,164,321,15.12671251805837
0.1,136,164,328,15.242029730777546
0.1,137,164,328,15.242029730777546
0.1,138,164,321,15.12671251805837
0.1,139,164,323,15.161576106369107
0.1,140,164,325,15.195242320632861
0.1,141,164,326,15.210417058450277
0.1,142,164,329,15.25890516955716
0.1,143,164,322,15.144049682330769
0.1,144,164,323,15.161576106369107
0.1,145,164,322,15.144049682330769
0.1,146,164,322,15.144049682330769
0.1,147,164,325,15.195242320632861
0.1,148,164,324,15.178820427483283
0.1,149,164,325,15.195242320632861
0.1,150,164,323,15.161576106369107
0.1,151,164,323,15.161576106369107
0.1,152,164,323,15.161576106369107
0.1,153,164,323,15.161576106369107
0.1,154,164,321,15.12671251805837
0.1,155,164,323,15.161576106369107
0.1,156,164,323,15.161576106369107
0.1,157,164,324,15.178820427483283
0.1,158,164,328,15.242029730777546
0.1,159,164,325,15.195242320632861
0.1,160,164,325,15.195242320632861
0.1,161,164,327,15.227445119461581
0.1,162,164,327,15.227445119461581
0.1,163,164,325,15.195242320632861
0.1,164,164,323,15.161576106369107
0.1,165,164,323,15.161576106369107
0.1,166,164,322,15.144049682330769
0.1,167,164,327,15.227445119461581
0.1,168,164,322,15.144049682330769
0.1,169,164,325,15.195242320632861
0.1,170,164,326,15.210417058450277
0.1,171,164,328,15.242029730777546
0.1,172,164,328,15.242029730777546
0.1,173,164,322,15.144049682330769
0.1,174,164,325,15.195242320632861
0.1,175,164,323,15.161576106369107
0.1,176,164,324,15.178820427483283
0.1,177,164,325,15.195242320632861
0.1,178,164,323,15.161576106369107
0.1,179,164,324,15.178820427483283
0.1,180,164,325,15.195242320632861
0.1,181,164,321,15.12671251805837
0.1,182,164,324,15.178820427483283
0.1,183,164,323,15.161576106369107
0.1,184,164,325,15.195242320632861
0.1,185,164,323,15.161576106369107
0.1,186,164,322,15.144049682330769
0.1,187,164,328,15.242029730777546
0.1,188,164,325,15.195242320632861
0.1,189,164,327,15.227445119461581
0.1,190,164,322,15.144049682330769
0.1,191,164,325,15.195242320632861
0.1,192,164,328,15.242029730777546
0.1,193,164,321,15.12671251805837
0.1,194,164,325,15.195242320632861
0.1,195,164,328,15.242029730777546
0.1,196,164,325,15.195242320632861
0.1,197,164,322,15.144049682330769
0.1,198,164,324,15.178820427483283
0.1,199,164,321,15.12671251805837
0.1,200,164,326,15.210417058450277
0.2,1,328,327,15.227445119461581
0.2,2,328,328,15.242029730777546
0.2,3,328,325,15.195242320632861
0.2,4,328,328,15.242029730777546
0.2,5,328,329,15.25890516955716
0.2,6,328,324,15.178820427483283
0.2,7,328,323,15.161576106369107
0.2,8,328,328,15.242029730777546
0.2,9,328,328,15.242029730777546
0.2,10,328,324,15.178820427483283
0.2,11,328,321,15.12671251805837
0.2,12,328,328,15.242029730777546
0.2,13,328,328,15.242029730777546
0.2,14,328,325,15.195242320632861
0.2,15,328,323,15.161576106369107
0.2,16,328,328,15.242029730777546
0.2,17,328,322,15.144049682330769
0.2,18,328,323,15.161576106369107
0.2,19,328,328,15.242029730777546
0.2,20,328,321,15.12671251805837
0.2,21,328,323,15.161576106369107
0.2,22,328,325,15.195242320632861
0.2,23,328,321,15.12671251805837
0.2,24,328,323,15.161576106369107
0.2,25,328,322,15.144049682330769
0.2,26,328,326,15.210417058450277
0.2,27,328,321,15.12671251805837
0.2,28,328,322,15.144049682330769
0.2,29,328,324,15.178820427483283
0.2,30,328,328,15.242029730777546
0.2,31,328,328,15.242029730777546
0.2,32,328,321,15.12671251805837
0.2,33,328,328,15.242029730777546
0.2,34,328,330,15.27377231189507
0.2,35,328,323,15.161576106369107
0.2,36,328,325,15.195242320632861
0.2,37,328,328,15.242029730777546
0.2,38,328,325,15.195242320632861
0.2,39,328,321,15.12671251805837
0.2,40,328,321,15.12671251805837
0.2,41,328,328,15.242029730777546
0.2,42,328,325,15.195242320632861
0.2,43,328,323,15.161576106369107
0.2,44,328,329,15.25890516955716
0.2,45,328,328,15.242029730777546
0.2,46,328,321,15.12671251805837
0.2,47,328,321,15.12671251805837
0.2,48,328,321,15.12671251805837
0.2,49,328,323,15.161576106369107
0.2,50,328,328,15.242029730777546
0.2,51,328,323,15.161576106369107
0.2,52,328,329,15.25890516955716
0.2,53,328,321,15.12671251805837
0.2,54,328,328,15.242029730777546
0.2,55,328,323,15.161576106369107
0.2,56,328,328,15.242029730777546
0.2,57,328,321,15.12671251805837
0.2,58,328,328,15.242029730777546
0.2,59,328,328,15.242029730777546
0.2,60,328,323,15.161576106369107
0.2,61,328,329,15.25890516955716
0.2,62,328,321,15.12671251805837
0.2,63,328,327,15.227445119461581
0.2,64,328,322,15.144049682330769
0.2,65,328,328,15.242029730777546
0.2,66,328,323,15.161576106369107
0.2,67,328,328,15.242029730777546
0.2,68,328,327,15.227445119461581
0.2,69,328,329,15.25890516955716
0.2,70,328,328,15.242029730777546
0.2,71,328,321,15.12671251805837
0.2,72,328,328,15.242029730777546
0.2,73,328,329,15.25890516955716
0.2,74,328,328,15.242029730777546
0.2,75,328,323,15.161576106369107
0.2,76,328,321,15.12671251805837
0.2,77,328,321,15.12671251805837
0.2,78,328,321,15.12671251805837
0.2,79,328,329,15.25890516955716
0.2,80,328,321,15.12671251805837
0.2,81,328,328,15.242029730777546
0.2,82,328,323,15.161576106369107
0.2,83,328,327,15.227445119461581
0.2,84,328,328,15.242029730777546
0.2,85,328,327,15.227445119461581
0.2,86,328,322,15.144049682330769
0.2,87,328,321,15.12671251805837
0.2,88,328,328,15.242029730777546
0.2,89,328,328,15.242029730777546
0.2,90,328,329,15.25890516955716
0.2,91,328,328,15.242029730777546
0.2,92,328,322,15.144049682330769
0.2,93,328,325,15.195242320632861
0.2,94,328,328,15.242029730777546
0.2,95,328,328,15.242029730777546
0.2,96,328,323,15.161576106369107
0.2,97,328,321,15.12671251805837
0.2,98,328,325,15.195242320632861
0.2,99,328,328,15.242029730777546
0.2,100,328,323,15.161576106369107
0.2,101,328,328,15.242029730777546
0.2,102,328,322,15.144049682330769
0.2,103,328,322,15.144049682330769
0.2,104,328,322,15.144049682330769
0.2,105,328,323,15.161576106369107
0.2,106,328,326,15.210417058450277
0.2,107,328,329,15.25890516955716
0.2,108,328,326,15.210417058450277
0.2,109,328,321,15.12671251805837
0.2,110,328,326,15.210417058450277
0.2,111,328,321,15.12671251805837
0.2,112,328,324,15.178820427483283
0.2,113,328,324,15.178820427483283
0.2,114,328,325,15.195242320632861
0.2,115,328,328,15.242029730777546
0.2,116,328,329,15.25890516955716
0.2,117,328,323,15.161576106369107
0.2,118,328,328,15.242029730777546
0.2,119,328,322,15.144049682330769
0.2,120,328,323,15.161576106369107
0.2,121,328,328,15.242029730777546
0.2,122,328,321,15.12671251805837
0.2,123,328,326,15.210417058450277
0.2,124,328,328,15.242029730777546
0.2,125,328,325,15.195242320632861
0.2,126,328,324,15.178820427483283
0.2,127,328,323,15.161576106369107
0.2,128,328,325,15.195242320632861
0.2,129,328,326,15.210417058450277
0.2,130,328,329,15.25890516955716
0.2,131,328,323,15.161576106369107
0.2,132,328,327,15.227445119461581
0.2,133,328,329,15.25890516955716
0.2,134,328,324,15.178820427483283
0.2,135,328,322,15.144049682330769
0.2,136,328,325,15.195242320632861
