model,held_out_seed,test_rows,test_severe,test_nonsevere,balanced_accuracy,severe_recall,severe_precision,nonsevere_specificity,roc_auc
local_underestimate_fraction_only,44033,267,9,258,0.5529715762273901,0.2222222222222222,0.0625,0.8837209302325582,0.4784668389319552
local_underestimate_fraction_only,44034,273,5,268,0.43097014925373134,0.0,0.0,0.8619402985074627,0.39664179104477615
local_underestimate_fraction_only,44035,273,4,269,0.4628252788104089,0.0,0.0,0.9256505576208178,0.39079925650557623
local_underestimate_fraction_only,44036,276,5,271,0.45202952029520294,0.0,0.0,0.9040590405904059,0.6217712177121771
local_underestimate_fraction_only,44037,273,6,267,0.7219101123595506,0.5,0.16666666666666666,0.9438202247191011,0.7440699126092385
local_underestimate_fraction_only,44038,261,20,241,0.6606846473029045,0.45,0.225,0.8713692946058091,0.8021784232365146
local_underestimate_fraction_only,44039,261,20,241,0.7169087136929461,0.55,0.28205128205128205,0.8838174273858921,0.8050829875518672
local_underestimate_fraction_only,44040,267,21,246,0.6968641114982579,0.5238095238095238,0.2558139534883721,0.8699186991869918,0.8122338366240804
local_underestimate_fraction_only,44041,270,18,252,0.6904761904761905,0.5,0.23076923076923078,0.8809523809523809,0.7856040564373897
local_underestimate_fraction_only,44042,267,14,253,0.7402597402597402,0.5714285714285714,0.25806451612903225,0.9090909090909091,0.8702710333145116
local_underestimate_fraction_only,44043,276,8,268,0.6026119402985075,0.25,0.14285714285714285,0.9552238805970149,0.6907649253731343
local_underestimate_fraction_only,44044,279,6,273,0.641025641025641,0.3333333333333333,0.125,0.9487179487179487,0.6767399267399268
local_underestimate_fraction_only,44045,282,9,273,0.5946275946275946,0.2222222222222222,0.18181818181818182,0.967032967032967,0.7812372812372812
local_underestimate_fraction_only,44046,288,4,284,0.7200704225352113,0.5,0.10526315789473684,0.9401408450704225,0.9392605633802816
local_underestimate_fraction_only,44047,273,3,270,0.6277777777777778,0.3333333333333333,0.045454545454545456,0.9222222222222223,0.7277777777777776
local_underestimate_fraction_only,44048,273,5,268,0.6701492537313434,0.4,0.1111111111111111,0.9402985074626866,0.9134328358208955
local_underestimate_fraction_only,44049,282,6,276,0.7047101449275363,0.5,0.10714285714285714,0.9094202898550725,0.8475241545893719
local_underestimate_fraction_only,44050,279,5,274,0.6598540145985401,0.4,0.08333333333333333,0.9197080291970803,0.8069343065693432
local_underestimate_fraction_only,44051,270,10,260,0.5692307692307692,0.2,0.1111111111111111,0.9384615384615385,0.6773076923076923
local_underestimate_fraction_only,44052,267,15,252,0.5075396825396825,0.06666666666666667,0.07142857142857142,0.9484126984126984,0.7260582010582011
local_underestimate_fraction_only,44053,270,13,257,0.5228973361269081,0.07692307692307693,0.1111111111111111,0.9688715953307393,0.806944028733912
local_underestimate_fraction_only,44054,270,14,256,0.5,0.0,0.0,1.0,0.7346540178571428
local_underestimate_fraction_only,44055,270,11,259,0.5396630396630396,0.09090909090909091,0.25,0.9884169884169884,0.7627237627237629
local_underestimate_fraction_only,44056,267,28,239,0.5168858338314405,0.07142857142857142,0.18181818181818182,0.9623430962343096,0.7571727435744171
local_underestimate_fraction_only,44057,261,32,229,0.4916075327510917,0.03125,0.08333333333333333,0.9519650655021834,0.7112445414847163
local_underestimate_fraction_only,44058,264,40,224,0.5941964285714285,0.3,0.32432432432432434,0.8883928571428571,0.7419642857142857
local_underestimate_fraction_only,44059,261,32,229,0.7338973799126638,0.625,0.35714285714285715,0.8427947598253275,0.839724344978166
local_underestimate_fraction_only,44060,270,20,250,0.563,0.25,0.1388888888888889,0.876,0.717
