bootstrap,unsafe_recall,safe_specificity,unsafe_precision,negative_predictive_value,alert_coverage,balanced_accuracy
85,0.8465346534653465,0.6807261807261807,0.3049034175334324,0.9640440750048328,0.3941204029046615,0.7636304170957636
86,0.8316445830085737,0.682153887471465,0.31071636575422246,0.959214501510574,0.3933562428407789,0.7568992352400193
87,0.8129496402877698,0.6883271572260455,0.3242467718794835,0.9523896722212049,0.38955957970042476,0.7506383987569076
88,0.8305084745762712,0.6891219577786742,0.307991619275666,0.9606373008434864,0.38508529276164133,0.7598152161774727
89,0.8121165644171779,0.6924326519561391,0.3179225457820474,0.9542910447761194,0.3832700494764699,0.7522746081866585
90,0.8106508875739645,0.6850094876660342,0.32046783625730996,0.951789077212806,0.3917525773195876,0.7478301876199993
91,0.8129445234708392,0.6838995568685377,0.3268515870746354,0.9508961911874533,0.39500734214390604,0.7484220401696884
92,0.813372520205731,0.6841032608695652,0.32255244755244755,0.9519757988277557,0.3935328517371861,0.748737890537648
93,0.801423487544484,0.6857678404070157,0.3242153757558307,0.9483428994630624,0.39136804146946136,0.7435956639757498
94,0.83359375,0.6823027718550106,0.3091857432628224,0.9600600037502344,0.3928734061930783,0.7579482609275053
95,0.8052044609665427,0.6860165468601654,0.3187168922895821,0.9507518796992481,0.3897682954806148,0.745610503913354
96,0.8116591928251121,0.6889690170940171,0.31800878477306005,0.9534282018111255,0.38692499433491956,0.7503141049595646
97,0.8180451127819549,0.6837353456407492,0.31673944687045125,0.954477050413845,0.39252656839218375,0.7508902292113521
98,0.8012465373961218,0.6865422123154082,0.33959495157029645,0.9449664429530201,0.39515193690559036,0.743894374855765
99,0.8166666666666667,0.6851168511685117,0.3187463039621526,0.9539486203615605,0.39157114738913973,0.7508917589175892
100,0.811529933481153,0.6871215179652805,0.32077125328659073,0.9524342473419138,0.3896857923497268,0.7493257257232168
101,0.8063063063063063,0.6858001913352467,0.31841091016898904,0.9510993176648976,0.38998728176667824,0.7460532488207765
102,0.8209640397857689,0.6902880107166778,0.31698670605613,0.956562093929831,0.3858869129046968,0.7556260252512234
103,0.8220408163265306,0.684380465491726,0.30032806441992244,0.9589066918001885,0.38727188727188727,0.7532106409091284
104,0.7955682630450321,0.687339201083277,0.32524839275277617,0.9466616933979858,0.3895719489981785,0.7414537320641545
105,0.7994011976047904,0.6897947787239983,0.32462006079027356,0.9485505855250528,0.3871043652194376,0.7445979881643944
106,0.8078635014836796,0.6857295563869589,0.3164777680906713,0.9519569653125579,0.38960597826086957,0.7467965289353192
107,0.8075842696629213,0.6879795396419437,0.33160322952710497,0.9491179201485608,0.39173161640121995,0.7477819046524325
108,0.8061538461538461,0.6872012745618693,0.3078730904817861,0.9535740604274134,0.3854166666666667,0.7466775603578577
109,0.7883310719131614,0.6911207363291825,0.33739837398373984,0.9424141749723145,0.3886255924170616,0.7397259041211719
110,0.8164213787761425,0.6818120168181202,0.31,0.9549772036474165,0.39242843951985223,0.7491166977971313
111,0.8274760383386581,0.6835781041388518,0.30416911332941865,0.95952023988006,0.38961336078700526,0.755527071238755
112,0.8136363636363636,0.6842675331708638,0.3153258954785672,0.9535849056603773,0.3912244429129336,0.7489519484036137
113,0.8165064102564102,0.6882108925465007,0.3042699313227829,0.9573715562174236,0.3840155945419103,0.7523586514014555
114,0.8039502560351134,0.6858490566037736,0.32040816326530613,0.9499719992533134,0.3903493797655628,0.7448996563194434
115,0.8383371824480369,0.6858407079646017,0.3173076923076923,0.9605633802816902,0.3919150393970538,0.7620889452063193
116,0.8019145802650958,0.6869272237196765,0.3191676436107855,0.9498695490122997,0.38869902027796766,0.7444209019923862
117,0.8001443001443002,0.682398816727175,0.3195044655718813,0.9482436472346786,0.393403604216253,0.7412715584357376
118,0.816812053925456,0.6836803223640027,0.30428360413589367,0.9565871076865251,0.3888123133471169,0.7502461881447293
119,0.8035714285714286,0.687266915290357,0.3325753268902786,0.9474843922144693,0.39245872378402497,0.7454191719308928
120,0.8154205607476636,0.6826219917564154,0.3048922539312755,0.9558741388940607,0.39000567859170926,0.7490212762520394
121,0.8265602322206096,0.6848207063898625,0.3275812482024734,0.9550667418687723,0.39529331514324695,0.755690469305236
122,0.7974504249291785,0.6877834089090424,0.32477646380155756,0.9474554473635862,0.38911335578002243,0.7426169169191105
123,0.8182503770739065,0.6915669280506259,0.3261196272918545,0.9542520880789673,0.38708551483420595,0.7549086525622661
124,0.8177044261065266,0.6828509602380308,0.3173216885007278,0.9540816326530612,0.3936060501890684,0.7502776931722788
125,0.7939521800281294,0.6890137829519604,0.32696206197509414,0.9461595001837559,0.3881956155143339,0.7414829814900449
126,0.8248017303532804,0.6854282235150859,0.32977803401556643,0.9542286682991147,0.39519252677147415,0.7551149769341832
127,0.8206686930091185,0.6892729911597836,0.314410480349345,0.9567765567765568,0.38617200674536256,0.754970842084451
128,0.8067047075606276,0.6868346584018327,0.32735166425470336,0.9495156482861401,0.39159016207639125,0.7467696829812301
129,0.8108303249097473,0.6876958713721215,0.3288433382137628,0.9506498398945188,0.3914488766620816,0.7492630981409344
130,0.817741935483871,0.6883845126835781,0.30286738351254483,0.9580081753994798,0.3835051546391753,0.7530632240837245
131,0.8194444444444444,0.6840626254516259,0.3219414129810454,0.9539093114387013,0.39384684990385704,0.7517535349480351
132,0.8063814358230602,0.688209843158464,0.3253364540667057,0.9501586708978906,0.3895156695156695,0.7472956394907622
