condition,true_class,sequence_replicate,evidence_budget,policy,selected_action,reference_action,action_matches_reference,parameter_learning_scale,process_uncertainty_scale,allow_commitment,allow_structural_intervention,estimated_p_pass,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,reference_p_pass,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,post_event_state_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,mean_post_event_nis,recovered,recovery_time
measurement_noise_0.850,measurement_noise,6,20,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.15,0.2,0.85,0.0,0.2,0.22,0.8,0.06,0.34839620516830244,0.007452647716834261,0.004692668062928229,0.8494787527211777,0.8879362312941443,True,0
measurement_noise_0.850,measurement_noise,6,20,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.15,0.2,0.85,0.0,0.2,0.22,0.8,0.06,0.34839620516830244,0.007452647716834261,0.004692668062928229,0.8494787527211777,0.8879362312941443,True,0
measurement_noise_0.850,measurement_noise,7,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.0,0.2,1.0,0.0,0.2,0.22,0.8,0.06,0.48785363677485266,0.00899441620481283,0.014906351851879052,0.8261416431961333,0.7565304447320604,True,0
measurement_noise_0.850,measurement_noise,7,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.0,0.2,1.0,0.0,0.2,0.22,0.8,0.06,0.48672776333782797,0.00891377284996883,0.014836306152309908,0.8248710797187611,0.7505128398685998,True,0
measurement_noise_0.850,measurement_noise,7,5,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.0,0.2,1.0,0.0,0.2,0.22,0.8,0.06,0.48672776333782797,0.00891377284996883,0.014836306152309908,0.8248710797187611,0.7505128398685998,True,0
measurement_noise_0.850,measurement_noise,7,10,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.1,0.3,0.9,0.2,0.2,0.22,0.8,0.06,0.48785363677485266,0.00899441620481283,0.014906351851879052,0.8261416431961333,0.7565304447320604,True,0
measurement_noise_0.850,measurement_noise,7,10,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.3,0.9,0.2,0.2,0.22,0.8,0.06,0.48672776333782797,0.00891377284996883,0.014836306152309908,0.8248710797187611,0.7505128398685998,True,0
measurement_noise_0.850,measurement_noise,7,10,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.3,0.9,0.2,0.2,0.22,0.8,0.06,0.48672776333782797,0.00891377284996883,0.014836306152309908,0.8248710797187611,0.7505128398685998,True,0
measurement_noise_0.850,measurement_noise,7,20,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.15,0.15,0.85,0.1,0.2,0.22,0.8,0.06,0.48785363677485266,0.00899441620481283,0.014906351851879052,0.8261416431961333,0.7565304447320604,True,0
measurement_noise_0.850,measurement_noise,7,20,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.15,0.15,0.85,0.1,0.2,0.22,0.8,0.06,0.48672776333782797,0.00891377284996883,0.014836306152309908,0.8248710797187611,0.7505128398685998,True,0
measurement_noise_0.850,measurement_noise,7,20,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.15,0.15,0.85,0.1,0.2,0.22,0.8,0.06,0.48672776333782797,0.00891377284996883,0.014836306152309908,0.8248710797187611,0.7505128398685998,True,0
measurement_noise_0.850,measurement_noise,8,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.2,0.0,0.8,0.0,0.2,0.22,0.8,0.06,0.2633856029387274,0.006671427102001167,0.004339642892917883,0.882056505262281,1.1041649951933852,True,0
measurement_noise_0.850,measurement_noise,8,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.0,0.8,0.0,0.2,0.22,0.8,0.06,0.26393086515703185,0.0066296281059619565,0.0040743798536182485,0.881788241254796,1.0977048231078481,True,0
measurement_noise_0.850,measurement_noise,8,5,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.0,0.8,0.0,0.2,0.22,0.8,0.06,0.26393086515703185,0.0066296281059619565,0.0040743798536182485,0.881788241254796,1.0977048231078481,True,0
measurement_noise_0.850,measurement_noise,8,10,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.2,0.1,0.8,0.0,0.2,0.22,0.8,0.06,0.2633856029387274,0.006671427102001167,0.004339642892917883,0.882056505262281,1.1041649951933852,True,0
measurement_noise_0.850,measurement_noise,8,10,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.1,0.8,0.0,0.2,0.22,0.8,0.06,0.26393086515703185,0.0066296281059619565,0.0040743798536182485,0.881788241254796,1.0977048231078481,True,0
measurement_noise_0.850,measurement_noise,8,10,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.1,0.8,0.0,0.2,0.22,0.8,0.06,0.26393086515703185,0.0066296281059619565,0.0040743798536182485,0.881788241254796,1.0977048231078481,True,0
measurement_noise_0.850,measurement_noise,8,20,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.2,0.15,0.8,0.05,0.2,0.22,0.8,0.06,0.2633856029387274,0.006671427102001167,0.004339642892917883,0.882056505262281,1.1041649951933852,True,0
measurement_noise_0.850,measurement_noise,8,20,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.15,0.8,0.05,0.2,0.22,0.8,0.06,0.26393086515703185,0.0066296281059619565,0.0040743798536182485,0.881788241254796,1.0977048231078481,True,0
measurement_noise_0.850,measurement_noise,8,20,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.2,0.15,0.8,0.05,0.2,0.22,0.8,0.06,0.26393086515703185,0.0066296281059619565,0.0040743798536182485,0.881788241254796,1.0977048231078481,True,0
measurement_noise_0.850,measurement_noise,9,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.0,0.4,1.0,0.0,0.2,0.22,0.8,0.06,0.5744514032824685,0.011075443644157907,0.0034641430200390566,0.9215445614070843,1.2117234517341782,True,0
measurement_noise_0.850,measurement_noise,9,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.0,0.4,1.0,0.0,0.2,0.22,0.8,0.06,0.5728500059914938,0.010932741312656116,0.003093643750706754,0.9176634171576782,1.1965106671022296,True,0
measurement_noise_0.850,measurement_noise,9,5,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.0,0.4,1.0,0.0,0.2,0.22,0.8,0.06,0.5728500059914938,0.010932741312656116,0.003093643750706754,0.9176634171576782,1.1965106671022296,True,0
measurement_noise_0.850,measurement_noise,9,10,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.1,0.4,0.9,0.1,0.2,0.22,0.8,0.06,0.5744514032824685,0.011075443644157907,0.0034641430200390566,0.9215445614070843,1.2117234517341782,True,0
measurement_noise_0.850,measurement_noise,9,10,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.4,0.9,0.1,0.2,0.22,0.8,0.06,0.5728500059914938,0.010932741312656116,0.003093643750706754,0.9176634171576782,1.1965106671022296,True,0
measurement_noise_0.850,measurement_noise,9,10,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.4,0.9,0.1,0.2,0.22,0.8,0.06,0.5728500059914938,0.010932741312656116,0.003093643750706754,0.9176634171576782,1.1965106671022296,True,0
measurement_noise_0.850,measurement_noise,9,20,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.1,0.25,0.9,0.1,0.2,0.22,0.8,0.06,0.5744514032824685,0.011075443644157907,0.0034641430200390566,0.9215445614070843,1.2117234517341782,True,0
measurement_noise_0.850,measurement_noise,9,20,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.25,0.9,0.1,0.2,0.22,0.8,0.06,0.5728500059914938,0.010932741312656116,0.003093643750706754,0.9176634171576782,1.1965106671022296,True,0
measurement_noise_0.850,measurement_noise,9,20,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.25,0.9,0.1,0.2,0.22,0.8,0.06,0.5728500059914938,0.010932741312656116,0.003093643750706754,0.9176634171576782,1.1965106671022296,True,0
measurement_noise_0.850,measurement_noise,10,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.4,0.2,0.6,0.0,0.2,0.22,0.8,0.06,0.33775510036432865,0.008723133727685043,0.00648764715104011,0.9142748883019027,1.1935577092200724,True,0
measurement_noise_0.850,measurement_noise,10,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.4,0.2,0.6,0.0,0.2,0.22,0.8,0.06,0.338819570555364,0.008672802218764817,0.006511465215743972,0.9137178976745166,1.1846674507788284,True,0
measurement_noise_0.850,measurement_noise,10,5,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.4,0.2,0.6,0.0,0.2,0.22,0.8,0.06,0.338819570555364,0.008672802218764817,0.006511465215743972,0.9137178976745166,1.1846674507788284,True,0
