trial,unsafe_selected,total_regret
1024,757,42.57163097363295
1025,752,42.599045853471054
1026,743,42.06971050181906
1027,748,41.66474445516542
1028,762,42.18370792192032
1029,753,42.37471172144597
1030,725,40.93435405173152
1031,735,40.80331732711493
1032,736,40.85447843566892
1033,774,42.805621652357345
1034,717,40.17130244281292
1035,736,41.733756257368135
1036,743,41.99859302181394
1037,736,40.64925365147415
1038,742,41.922567702931175
1039,757,41.8464334803328
1040,739,40.97958773958677
1041,744,41.60654294052351
1042,750,42.33342718781128
1043,744,41.81378397321027
1044,741,41.008030159961514
1045,732,40.90163313762706
1046,761,42.73112619138524
1047,745,41.57888325264222
1048,735,40.75982330448395
1049,746,41.68243207978665
1050,745,41.94305851845261
1051,735,40.74362039354953
1052,764,42.33900592186637
1053,729,40.894750814742515
1054,732,40.869580994756845
1055,755,42.089021805816046
1056,756,42.580794274869554
1057,734,41.7850611291525
1058,729,40.44377257086728
1059,738,41.0308327723849
1060,738,40.77614023277658
1061,748,41.86466356706329
1062,761,42.18555147116508
1063,722,39.960232378401074
1064,749,41.94534049774677
1065,744,40.9738447848427
1066,740,41.39901478081223
1067,742,41.01337343753836
1068,742,42.07803365005384
1069,737,40.96243790787228
1070,732,41.0757173366345
1071,736,40.863445867449016
1072,759,42.40954277245416
1073,738,40.88182731069872
1074,771,43.23180371130386
1075,748,42.54139074590957
1076,732,40.61826061744168
1077,749,42.75030310783951
1078,750,41.336705415964694
1079,754,42.727734702134775
1080,752,42.44430691887824
1081,719,40.82204798251505
1082,723,40.643695421162235
1083,747,41.85953324445138
1084,744,42.144767401407044
1085,730,40.76187200815215
1086,760,42.87438208555876
1087,768,41.96513256384017
1088,757,42.025001269747015
1089,754,41.92639390526597
1090,738,41.31566066154158
1091,754,42.12883825957645
1092,745,41.595001843168696
1093,731,41.17417888646844
1094,717,39.475958618678895
1095,738,41.04380019797913
1096,723,40.13692742031244
1097,760,42.69861832497494
1098,758,42.56089243046559
1099,744,40.71067795453009
1100,757,42.44081702369303
1101,752,41.98285690444361
1102,724,41.13612528272838
1103,763,42.60952570277816
1104,753,41.462677985137454
1105,772,42.88331726854432
1106,714,39.632377503933355
1107,737,41.29510546178009
1108,737,41.632481928633595
1109,740,41.65328198878584
1110,780,44.07446445911714
1111,759,42.781228714676665
1112,745,41.75093539799124
1113,754,42.30299270598127
1114,740,41.677573068859516
1115,725,40.17428191043128
1116,742,41.435143340136094
1117,738,41.39169231639563
1118,730,39.802837289597974
1119,723,39.85448667197905
1120,739,41.250204163726956
1121,737,41.786768326165856
1122,727,41.353886311388
1123,755,42.58032000943432
1124,728,41.30184786113476
1125,736,41.512226345440524
1126,746,41.64896183131521
1127,741,41.55950789978856
1128,743,42.13560529729372
1129,749,41.760581500486644
1130,730,41.73027389848589
1131,739,41.395778960185375
1132,726,40.17700600332921
1133,740,42.13087246890245
1134,744,42.63557889032291
1135,746,41.95802871283162
1136,744,40.7979572253893
1137,725,40.93058662163571
1138,765,42.958304530597815
1139,737,40.46310156940377
1140,738,41.23977657332858
1141,732,41.46028510405278
1142,763,42.60926064732692
1143,749,41.760227246575155
1144,757,42.48311252554083
1145,742,41.24816162002656
1146,750,41.42619071909849
1147,761,43.41450115507337
