condition,true_class,seed,predicted_class,classification_margin,correct,accepted,accepted_correct,measurement_noise_score,process_disturbance_score,parameter_mismatch_score,structural_change_score
measurement_noise_1.25,measurement_noise,38,measurement_noise,1.3431436143382123,True,True,True,1.9589111130169785,0.0,0.6157674986787663,0.29464019185681345
measurement_noise_1.25,measurement_noise,39,measurement_noise,1.325628197624524,True,True,True,2.020929650480249,0.0,0.6953014528557249,0.24944707409064315
measurement_noise_1.25,measurement_noise,40,measurement_noise,1.135759022834804,True,True,True,1.7425747716469668,0.2335585184958882,0.0,0.6068157488121629
measurement_noise_1.25,measurement_noise,41,measurement_noise,1.5059577383405554,True,True,True,1.945956084122582,0.006286744385318982,0.05791314955660165,0.4399983457820267
measurement_noise_1.25,measurement_noise,42,measurement_noise,1.2761872507390801,True,True,True,1.8844824963821103,0.0,0.6082952456430302,0.31921333161713467
measurement_noise_1.25,measurement_noise,43,measurement_noise,1.4779410737754193,True,True,True,1.8515516381532946,0.03607381936759718,0.0,0.3736105643778754
measurement_noise_1.25,measurement_noise,44,measurement_noise,1.4078468395076404,True,True,True,1.8857443842403343,0.0,0.47789754473269386,0.3285421876516704
measurement_noise_1.25,measurement_noise,45,measurement_noise,1.359582184682889,True,True,True,1.7408299470358344,0.0,0.38124776235294544,0.3336303066483196
measurement_noise_1.25,measurement_noise,46,measurement_noise,1.38623036039727,True,True,True,1.9756203927708698,0.0,0.5893900323735998,0.36610955954825397
measurement_noise_1.25,measurement_noise,47,measurement_noise,1.3957744256559443,True,True,True,2.0251625911476747,0.0,0.6293881654917304,0.30039514142187207
measurement_noise_1.25,measurement_noise,48,measurement_noise,0.8793395376831448,True,True,True,1.7097838225153978,0.7567118478346436,0.04039248740439083,0.8304442848322531
measurement_noise_1.25,measurement_noise,49,measurement_noise,1.0756083503491922,True,True,True,2.1147723251645907,0.6452050550241092,0.5669536151226446,1.0391639748153985
process_disturbance_2.0,process_disturbance,0,structural_change,0.12091968881245996,False,False,False,0.25,1.203565039753745,0.11582286328651864,1.324484728566205
process_disturbance_2.0,process_disturbance,1,process_disturbance,2.6662233508338553,True,True,True,0.125,5.64488662001657,0.24072651065001582,2.978663269182715
process_disturbance_2.0,process_disturbance,2,process_disturbance,0.15858942626658645,True,False,False,0.375,0.9613779007544053,0.36525910530071515,0.8027884744878189
process_disturbance_2.0,process_disturbance,3,parameter_mismatch,0.510380430575902,False,True,False,0.4349987155461036,0.3685509367383713,1.1249432123550889,0.6145627817791869
process_disturbance_2.0,process_disturbance,4,process_disturbance,0.37745697101115927,True,True,True,0.25,1.7617279799169943,0.08250709324379968,1.384271008905835
process_disturbance_2.0,process_disturbance,5,structural_change,0.02183933741818178,False,False,False,0.7664409973822748,0.8408011075028732,0.9945588894652595,1.0163982268834413
process_disturbance_2.0,process_disturbance,6,process_disturbance,1.1454866394481868,True,True,True,0.2510146847313246,3.012562269898341,0.16840595017797044,1.8670756304501541
process_disturbance_2.0,process_disturbance,7,process_disturbance,0.5690407544967994,True,True,True,0.25,1.1427797738709136,0.2442217148022927,0.5737390193741142
process_disturbance_2.0,process_disturbance,8,process_disturbance,0.22461867296926252,True,False,False,0.0,0.9386922047760438,0.6485887172280695,0.7140735318067812
process_disturbance_2.0,process_disturbance,9,process_disturbance,0.7250755473673323,True,True,True,0.0,2.012762991179809,0.3011749573058581,1.2876874438124766
process_disturbance_2.0,process_disturbance,10,process_disturbance,0.8723727930613583,True,True,True,0.0,3.240161012637093,0.7291084998311881,2.367788219575735
process_disturbance_2.0,process_disturbance,11,process_disturbance,0.6635366499833988,True,True,True,0.0,1.7742242836605362,0.3773194817689063,1.1106876336771374
process_disturbance_2.0,process_disturbance,12,process_disturbance,1.3173016805712465,True,True,True,0.0,2.770004757408799,0.7046664874471185,1.4527030768375524
process_disturbance_2.0,process_disturbance,13,process_disturbance,0.6074692897327683,True,True,True,0.125,2.0230835266043674,0.23786814447504362,1.4156142368715992
process_disturbance_2.0,process_disturbance,14,process_disturbance,0.8785765696266954,True,True,True,0.25,2.3301947586171754,0.2548197437774289,1.45161818899048
process_disturbance_2.0,process_disturbance,15,structural_change,0.03827014972272891,False,False,False,0.375,0.5914238688222783,0.12921882937509377,0.6296940185450072
process_disturbance_2.0,process_disturbance,16,process_disturbance,0.7087096063800524,True,True,True,0.40871696188571494,1.7974867224259683,0.1513979280623967,1.0887771160459159
process_disturbance_2.0,process_disturbance,17,process_disturbance,0.7835584315641877,True,True,True,0.5,2.0180013437132107,0.09338803586274763,1.234442912149023
process_disturbance_2.0,process_disturbance,18,process_disturbance,0.42466823307648105,True,True,True,0.6570263898918387,1.452784016201204,0.1212614859075849,1.028115783124723
process_disturbance_2.0,process_disturbance,19,process_disturbance,0.7220923093832563,True,True,True,0.0,1.8415054446148407,0.2882639038090529,1.1194131352315844
process_disturbance_2.0,process_disturbance,20,process_disturbance,1.4478005256526085,True,True,True,0.125,3.3649118669455094,0.5160302600368099,1.9171113412929008
process_disturbance_2.0,process_disturbance,21,parameter_mismatch,0.1160834615120121,False,False,False,0.0,0.7761546462414532,0.8922381077534653,0.7295480200786697
process_disturbance_2.0,process_disturbance,22,process_disturbance,1.70592074984917,True,True,True,0.0,3.5100954242034437,0.4634536695385342,1.8041746743542737
process_disturbance_2.0,process_disturbance,23,parameter_mismatch,0.4809686959295182,False,True,False,0.4785231742390099,0.0829413116679668,0.9594918701685281,0.22473636623691756
process_disturbance_2.0,process_disturbance,24,process_disturbance,0.39538908497422987,True,True,True,0.33265929163703056,1.1431405940102228,0.23575891801769822,0.747751509035993
process_disturbance_2.0,process_disturbance,25,parameter_mismatch,0.14754520943542104,False,False,False,0.7682929799481442,0.03238852543250109,0.9158381893835652,0.24468434357185084
process_disturbance_2.0,process_disturbance,26,process_disturbance,1.3233618447677316,True,True,True,0.0,2.6082319500362057,0.46163533253515093,1.2848701052684741
process_disturbance_2.0,process_disturbance,27,structural_change,0.07539123805766268,False,False,False,0.375,0.5031903286288655,0.13775722299685222,0.5785815666865282
process_disturbance_2.0,process_disturbance,28,process_disturbance,0.03368077494816801,True,False,False,0.0,1.1761338631741152,0.6948219551184304,1.1424530882259472
process_disturbance_2.0,process_disturbance,29,structural_change,0.0417099657407074,False,False,False,0.0,1.4630956060394578,0.6092625138344758,1.5048055717801652
process_disturbance_2.0,process_disturbance,30,process_disturbance,1.3548123328948676,True,True,True,0.125,3.053146253938404,0.21791429013853775,1.6983339210435364
process_disturbance_2.0,process_disturbance,31,process_disturbance,0.9476176049035034,True,True,True,0.36142397051157676,2.514426165762528,0.21522986873369754,1.5668085608590245
process_disturbance_2.0,process_disturbance,32,parameter_mismatch,0.068607695966653,False,False,False,0.19452283232669698,0.3425967776042654,0.544522832326697,0.47591513636004396
process_disturbance_2.0,process_disturbance,33,process_disturbance,0.03946085559971446,True,False,False,0.125,0.38039265025241215,0.10351331585948548,0.3409317946526977
process_disturbance_2.0,process_disturbance,34,process_disturbance,0.09737352002065458,True,False,False,0.5891188197001993,0.6864923397208539,0.5111164880863208,0.5543051700972659
process_disturbance_2.0,process_disturbance,35,process_disturbance,1.5637636093912306,True,True,True,0.0,4.070307141577974,0.4975542949755017,2.5065435321867433
process_disturbance_2.0,process_disturbance,36,process_disturbance,0.5277555360272579,True,True,True,0.5,1.0825711833873637,0.3072964501482513,0.5548156473601058
process_disturbance_2.0,process_disturbance,37,parameter_mismatch,0.010361312036120562,False,False,False,0.4429734505806264,0.3603889529334122,0.5852824497404792,0.5749211377043586
process_disturbance_2.0,process_disturbance,38,measurement_noise,0.08317780970137711,False,False,False,0.5008988290346321,0.26865404205596594,0.417721019333255,0.4173128552637182
process_disturbance_2.0,process_disturbance,39,process_disturbance,1.9617255594605494,True,True,True,0.375,3.552712487580178,0.16875946675648668,1.5909869281196287
process_disturbance_2.0,process_disturbance,40,process_disturbance,0.20415767148379482,True,False,False,0.42814128325575296,1.1025373378493106,0.5181184185460137,0.8983796663655158
process_disturbance_2.0,process_disturbance,41,process_disturbance,0.24123720015921735,True,False,False,0.01606040803594433,0.8366771994956141,0.4945878985329995,0.5954399993363968
process_disturbance_2.0,process_disturbance,42,process_disturbance,1.442810413681599,True,True,True,0.5,3.430253081981471,0.26205124106694927,1.987442668299872
process_disturbance_2.0,process_disturbance,43,process_disturbance,0.6178056894185124,True,True,True,0.625,1.2428056894185124,0.24010505012476813,0.4221279076335541
process_disturbance_2.0,process_disturbance,44,process_disturbance,0.8908278490269117,True,True,True,0.0,2.1573028371223404,0.4187262879172575,1.2664749880954287
process_disturbance_2.0,process_disturbance,45,process_disturbance,0.1765708033557648,True,False,False,0.25,0.6923592597022206,0.10943777754608847,0.5157884563464558
process_disturbance_2.0,process_disturbance,46,process_disturbance,0.22090884394942,True,False,False,0.375,0.9731984960041424,0.2203071282276472,0.7522896520547224
process_disturbance_2.0,process_disturbance,47,process_disturbance,0.13902540674828856,True,False,False,0.5,0.6390254067482886,0.08188018474140635,0.4689280327215572
process_disturbance_2.0,process_disturbance,48,process_disturbance,0.14925923437545885,True,False,False,0.375,1.4944400367735111,0.0660320099381384,1.3451808023980523
process_disturbance_2.0,process_disturbance,49,structural_change,0.10443735613985816,False,False,False,0.5,1.0545350257154429,0.0,1.158972381855301
process_disturbance_4.0,process_disturbance,0,process_disturbance,4.115505854275254,True,True,True,0.25,8.474247757114682,0.49602448832876156,4.358741902839428
process_disturbance_4.0,process_disturbance,1,process_disturbance,9.541305847991808,True,True,True,0.125,17.86322059342711,0.8537069543534807,8.3219147454353
process_disturbance_4.0,process_disturbance,2,process_disturbance,3.056239836698769,True,True,True,0.375,6.150788429479372,0.3928807886765788,3.0945485927806033
process_disturbance_4.0,process_disturbance,3,process_disturbance,2.0570504577178363,True,True,True,0.0,4.166363477252,0.6706257621130627,2.109313019534164
process_disturbance_4.0,process_disturbance,4,process_disturbance,6.1067227095747665,True,True,True,0.25,11.776200558390826,0.5061568072844957,5.66947784881606
process_disturbance_4.0,process_disturbance,5,process_disturbance,1.2730086789696835,True,True,True,0.40476401299235026,3.2479402211644848,0.5183179175445976,1.9749315421948013
process_disturbance_4.0,process_disturbance,6,process_disturbance,7.3971454181012675,True,True,True,0.25,13.946268769379573,0.6401037946646637,6.549123351278306
process_disturbance_4.0,process_disturbance,7,process_disturbance,5.045676123063479,True,True,True,0.25,9.110298278242128,0.5248904545796356,4.064622155178649
process_disturbance_4.0,process_disturbance,8,process_disturbance,5.8256041036161275,True,True,True,0.0297728847998473,10.831732783207656,1.0906050967270196,5.006128679591528
process_disturbance_4.0,process_disturbance,9,process_disturbance,6.522480253674004,True,True,True,0.0,12.24315362587422,0.8277134085531281,5.720673372200215
process_disturbance_4.0,process_disturbance,10,process_disturbance,6.692609939451991,True,True,True,0.0040861394511182425,13.289908234697183,1.2237431904468714,6.597298295245192
process_disturbance_4.0,process_disturbance,11,process_disturbance,5.888839134904583,True,True,True,0.0,11.032813812263596,0.7678201561437565,5.1439746773590125
process_disturbance_4.0,process_disturbance,12,process_disturbance,6.660697847051184,True,True,True,0.008894921937029565,12.186627753844952,1.110913591921975,5.525929906793769
process_disturbance_4.0,process_disturbance,13,process_disturbance,6.332805374129373,True,True,True,0.1530231639950137,11.917654681432527,0.7475421601331544,5.584849307303154
process_disturbance_4.0,process_disturbance,14,process_disturbance,6.739059077046232,True,True,True,0.25,12.588560085687302,0.6724741486328569,5.84950100864107
process_disturbance_4.0,process_disturbance,15,process_disturbance,3.543636478287666,True,True,True,0.375,7.173098550561748,0.4132913204728337,3.6294620722740816
process_disturbance_4.0,process_disturbance,16,process_disturbance,4.7038855212167325,True,True,True,0.38704018054068967,8.768652128392826,0.4740248536022942,4.064766607176094
process_disturbance_4.0,process_disturbance,17,process_disturbance,5.685802341673632,True,True,True,0.5,10.755195376315688,0.43621077658656954,5.069393034642056
process_disturbance_4.0,process_disturbance,18,process_disturbance,4.511968934033661,True,True,True,0.647752834801742,8.557001187934414,0.418652396296713,4.045032253900754
process_disturbance_4.0,process_disturbance,19,process_disturbance,2.722223512346281,True,True,True,0.0,5.832057586281344,0.5489875990467378,3.109834073935063
process_disturbance_4.0,process_disturbance,20,process_disturbance,8.081438982938508,True,True,True,0.125,15.05210430364178,1.0421070769773155,6.970665320703272
process_disturbance_4.0,process_disturbance,21,process_disturbance,4.280719388076469,True,True,True,0.026449302277181674,8.34138955447704,1.344337010131935,4.060670166400571
process_disturbance_4.0,process_disturbance,22,process_disturbance,7.9727222996438245,True,True,True,0.0,14.598936686149857,1.0229098324592314,6.626214386506033
process_disturbance_4.0,process_disturbance,23,process_disturbance,0.8659563573857465,True,True,True,0.0,2.0225609563116924,0.2685862761975427,1.156604598925946
process_disturbance_4.0,process_disturbance,24,process_disturbance,5.424939410318502,True,True,True,0.33651865846637324,9.829088812438389,0.6024619107500837,4.404149402119887
process_disturbance_4.0,process_disturbance,25,process_disturbance,0.48115253917552914,True,True,True,0.375,1.2624819846733302,0.47437151251271564,0.781329445497801
process_disturbance_4.0,process_disturbance,26,process_disturbance,7.308484919320786,True,True,True,0.0,13.318851022099931,0.8953666084167686,6.0103661027791455
process_disturbance_4.0,process_disturbance,27,process_disturbance,4.147065641092768,True,True,True,0.375,8.127247052657122,0.44825065656833374,3.980181411564354
process_disturbance_4.0,process_disturbance,28,process_disturbance,2.7662723016792565,True,True,True,0.0,5.974270955299465,0.9436717938121036,3.2079986536202085
process_disturbance_4.0,process_disturbance,29,process_disturbance,4.291589906150513,True,True,True,0.0,8.693893517028759,0.9940889934849467,4.402303610878246
process_disturbance_4.0,process_disturbance,30,process_disturbance,6.219085100132582,True,True,True,0.125,11.62602046916246,0.628071303367157,5.4069353690298785
process_disturbance_4.0,process_disturbance,31,process_disturbance,5.4315263180086095,True,True,True,0.35523793487841565,10.293698551193202,0.5543187608669777,4.862172233184593
process_disturbance_4.0,process_disturbance,32,process_disturbance,0.10465436396113081,True,False,False,0.0,0.9923135097139579,0.2869132533438561,0.8876591457528271
process_disturbance_4.0,process_disturbance,33,process_disturbance,3.7520119446081455,True,True,True,0.125,6.991974051504001,0.257608265761417,3.2399621068958555
process_disturbance_4.0,process_disturbance,34,process_disturbance,4.595273208110076,True,True,True,0.375,8.478480739128507,0.4109786705988749,3.8832075310184315
process_disturbance_4.0,process_disturbance,35,process_disturbance,7.174545727062549,True,True,True,0.0,14.018371377403088,1.062619212514467,6.8438256503405395
process_disturbance_4.0,process_disturbance,36,process_disturbance,5.060651709714414,True,True,True,0.5,9.079527866206842,0.6717484264693661,4.018876156492428
process_disturbance_4.0,process_disturbance,37,process_disturbance,0.8458788379294251,True,True,True,0.375,2.4390379246073812,0.442696735929072,1.5931590866779561
process_disturbance_4.0,process_disturbance,38,process_disturbance,2.363636623241212,True,True,True,0.5,4.796273451657023,0.33857158194878356,2.432636828415811
process_disturbance_4.0,process_disturbance,39,process_disturbance,8.753013809903884,True,True,True,0.375,15.49686264494279,0.7538807963469372,6.743848835038908
process_disturbance_4.0,process_disturbance,40,process_disturbance,4.518524803873936,True,True,True,0.375,8.517166700012222,0.6306996871544601,3.998641896138286
process_disturbance_4.0,process_disturbance,41,process_disturbance,4.310618572511769,True,True,True,0.003313807901403676,7.940121393162384,0.7335760020554318,3.629502820650614
process_disturbance_4.0,process_disturbance,42,process_disturbance,7.745532047211405,True,True,True,0.5,14.580909671096858,0.8281218260732237,6.835377623885453
process_disturbance_4.0,process_disturbance,43,process_disturbance,5.570377761313972,True,True,True,0.625,9.666319512188089,0.5985622238306469,4.0959417508741165
process_disturbance_4.0,process_disturbance,44,process_disturbance,6.898379594537526,True,True,True,0.0,12.900068445706856,0.874915194556444,6.001688851169329
process_disturbance_4.0,process_disturbance,45,process_disturbance,3.339286467490133,True,True,True,0.25,6.485753437450884,0.40261060253832714,3.1464669699607515
process_disturbance_4.0,process_disturbance,46,process_disturbance,5.455003478547841,True,True,True,0.375,10.274148840711447,0.6494643485022348,4.8191453621636064
process_disturbance_4.0,process_disturbance,47,process_disturbance,4.713214180920924,True,True,True,0.5,8.77988923514301,0.4383233608147783,4.0666750542220855
process_disturbance_4.0,process_disturbance,48,process_disturbance,3.0825378262976937,True,True,True,0.39442205801361907,6.636148414377325,0.2787973819005607,3.553610588079631
process_disturbance_4.0,process_disturbance,49,process_disturbance,4.357173754022199,True,True,True,0.5,9.0243653344711,0.3655827795946194,4.6671915804489
parameter_mismatch_0.30,parameter_mismatch,0,parameter_mismatch,1.695507399490881,True,True,True,0.24135188949621333,0.0,1.9368592889870944,0.14253306231113672
parameter_mismatch_0.30,parameter_mismatch,1,parameter_mismatch,1.7438861469497497,True,True,True,0.06248576763301572,0.0,1.9780878455729503,0.23420169862320045
parameter_mismatch_0.30,parameter_mismatch,2,parameter_mismatch,1.3407214681868915,True,True,True,0.08906618794498822,0.06190174285416314,1.5165746055771439,0.17585313739025232
parameter_mismatch_0.30,parameter_mismatch,3,parameter_mismatch,1.749537069968586,True,True,True,0.0,0.1404331524362925,2.1333244862654555,0.3837874162968695
parameter_mismatch_0.30,parameter_mismatch,4,parameter_mismatch,1.286876347393564,True,True,True,0.20664204800389174,0.36492238044439074,1.651798727837955,0.2773886729452749
parameter_mismatch_0.30,parameter_mismatch,5,structural_change,0.06363895929640118,False,False,False,0.3804137547516464,0.6535956090887198,0.7697256419951516,0.8333646012915528
parameter_mismatch_0.30,parameter_mismatch,6,parameter_mismatch,0.7305766817261045,True,True,True,0.7200418338059208,0.08242732003584366,1.4506185155320253,0.2414854643408862
parameter_mismatch_0.30,parameter_mismatch,7,parameter_mismatch,1.4813124906000263,True,True,True,0.0,0.0,1.5780308640597176,0.09671837345969131
