generation_seed,target_rows,target_contexts,exclusion_count,clean_cutoff_score,membership_switches,near_cutoff_rows,near_cutoff_switches,far_cutoff_switches,clean_only_exclusions,poison_only_exclusions,unsafe_clean_only_exclusions,unsafe_poison_only_exclusions,net_unsafe_crossing,clean_unsafe_selected,poison_unsafe_selected,delta_unsafe_selected,clean_total_regret,poison_total_regret,delta_regret,exclusion_jaccard,unsafe_to_safe,safe_to_unsafe,safe_to_safe,unsafe_to_unsafe,delta_auc,delta_ap,delta_recall
44821,243,81,95,0.3262377886294789,12,25,6,6,6,6,5,1,-4,9,12,3,0.5071459577953825,0.5262284772880758,0.01908251949269324,0.8811881188118812,1,4,5,0,-0.07015931372549022,-0.11307584125683584,-0.07843137254901955
44822,249,83,97,0.3284561257454396,12,25,6,6,6,6,5,1,-4,8,12,4,0.5088921236232986,0.5781356635462546,0.06924353992295595,0.883495145631068,1,5,6,0,-0.051814406932659374,-0.07561841238784334,-0.06896551724137934
44823,243,81,95,0.32573540795069644,12,25,6,6,6,6,5,0,-5,9,14,5,0.4664711423634154,0.5632210789466128,0.09674993658319736,0.8811881188118812,0,5,5,0,-0.057994041708043675,-0.08178530506570203,-0.09433962264150952
44824,252,84,98,0.31079963499977437,12,26,6,6,6,6,5,1,-4,10,13,3,0.5096442501002229,0.5766311730800227,0.0669869229797998,0.8846153846153846,1,4,5,1,-0.059544969783149604,-0.09915816344389083,-0.06896551724137934
44825,258,86,101,0.5926755601754548,10,26,1,9,5,5,5,0,-5,14,19,5,0.7950443905680731,0.8807365255514857,0.08569213498341266,0.9056603773584906,0,5,5,0,-0.08766788766788758,-0.11697329120956224,-0.07936507936507942
44826,261,87,102,0.5884992197301153,10,27,1,9,5,5,5,1,-4,17,21,4,1.1029361673046927,1.1776584692267964,0.07472230192210372,0.9065420560747663,1,5,3,0,-0.08453689167974887,-0.11255835069848491,-0.06153846153846154
44827,255,85,99,0.3207282773338423,12,26,6,6,6,6,5,1,-4,10,14,4,0.507985042125985,0.5808452379576117,0.07286019583162662,0.8857142857142857,1,5,4,0,-0.058370805949498505,-0.09837548415736852,-0.06779661016949157
44828,246,82,96,0.30464141700726866,12,25,6,6,6,6,5,2,-3,17,20,3,1.1054481691905742,1.1558818675192113,0.05043369832863709,0.8823529411764706,2,5,3,0,-0.058914166591135575,-0.09765818696121792,-0.05084745762711862
44829,258,86,101,0.30204612466173997,12,26,6,6,6,6,5,2,-3,20,23,3,1.313238735017861,1.3623689353712514,0.04913020035339044,0.8878504672897196,2,5,3,0,-0.05145202020202011,-0.0860545250458184,-0.045454545454545525
44830,252,84,98,0.30878323920436,12,26,6,6,6,6,5,1,-4,18,22,4,1.1625705834030382,1.2204800346608304,0.05790945125779223,0.8846153846153846,1,5,3,0,-0.05681915715389241,-0.09015324705710276,-0.06557377049180324
