policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,generation_seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
fixed_risk_0.010,0.19480519480519481,0.14141808077399126,0.0019064480836789325,0.0,0.058186029690341146,0.935064935064935,0.03896103896103896,1,61,15,0.06309357033041675,0.987012987012987,0.6363636363636364,44004,ec752fa978ff87e9bd90c4bae0efa51a6e7b7b3fbe9e52bd302aafd9fff1973f,255,178,77,0
two_stage_0.10,0.24675324675324675,0.14417009955654678,0.004658466866234442,0.0,0.08588736738313907,0.8831168831168831,0.1038961038961039,7,51,19,0.7370107146741445,0.7012987012987013,0.35064935064935066,44004,ec752fa978ff87e9bd90c4bae0efa51a6e7b7b3fbe9e52bd302aafd9fff1973f,255,178,77,1
two_stage_0.25,0.19480519480519481,0.1425398321434288,0.0030281994531164615,0.0,0.06862167575053205,0.8961038961038961,0.07792207792207792,5,57,15,0.4310382028545645,0.8701298701298701,0.5194805194805194,44004,ec752fa978ff87e9bd90c4bae0efa51a6e7b7b3fbe9e52bd302aafd9fff1973f,255,178,77,1
two_stage_1.00,0.22077922077922077,0.14141808077399126,0.0019064480836789325,0.0,0.058186029690341146,0.935064935064935,0.03896103896103896,1,59,17,0.21247160336809423,0.948051948051948,0.5974025974025974,44004,ec752fa978ff87e9bd90c4bae0efa51a6e7b7b3fbe9e52bd302aafd9fff1973f,255,178,77,1
fixed_k3,0.2077922077922078,0.1406624180507401,0.0011507853604277487,0.0,0.05198091033549157,0.948051948051948,0.025974025974025976,0,61,16,0.0,1.0,0.6493506493506493,44004,ec752fa978ff87e9bd90c4bae0efa51a6e7b7b3fbe9e52bd302aafd9fff1973f,255,178,77,0
oracle,1.0,0.13951163269031233,0.0,0.0,0.0,1.0,0.0,0,0,77,0.9484733315744652,0.4805194805194805,0.6753246753246753,44004,ec752fa978ff87e9bd90c4bae0efa51a6e7b7b3fbe9e52bd302aafd9fff1973f,255,178,77,0
direct_loss,0.27631578947368424,0.14546088881002633,0.011527884923753243,0.0,0.08695873401496679,0.7631578947368421,0.23684210526315788,16,39,21,0.9348214798702772,0.4605263157894737,0.0,44005,51bf57b263e665b445d32093faca9d1203a593609b934d648358e45b646030ef,251,175,76,1
fixed_risk_0.010,0.17105263157894737,0.13535499345382035,0.001421989567547259,0.0,0.05605945505589337,0.9342105263157895,0.06578947368421052,2,61,13,0.17421380311524015,0.9605263157894737,0.5921052631578947,44005,51bf57b263e665b445d32093faca9d1203a593609b934d648358e45b646030ef,251,175,76,1
two_stage_0.10,0.25,0.14018135253298208,0.006248348646708999,0.0,0.06634907601238368,0.8421052631578947,0.15789473684210525,9,48,19,0.7669160827649908,0.6842105263157895,0.3157894736842105,44005,51bf57b263e665b445d32093faca9d1203a593609b934d648358e45b646030ef,251,175,76,1
two_stage_0.25,0.23684210526315788,0.13708024258129628,0.0031472386950231906,0.0,0.06609662133575697,0.9078947368421053,0.09210526315789473,4,54,18,0.45355294930887213,0.8552631578947368,0.4868421052631579,44005,51bf57b263e665b445d32093faca9d1203a593609b934d648358e45b646030ef,251,175,76,1
two_stage_1.00,0.19736842105263158,0.13610166321133998,0.002168659325066889,0.0,0.06609662133575697,0.9342105263157895,0.06578947368421052,2,59,15,0.18768409270499467,0.9473684210526315,0.5789473684210527,44005,51bf57b263e665b445d32093faca9d1203a593609b934d648358e45b646030ef,251,175,76,1
fixed_k3,0.18421052631578946,0.134494346416713,0.000561342530439911,0.0,0.027932853492141585,0.9605263157894737,0.039473684210526314,0,62,14,0.0,1.0,0.631578947368421,44005,51bf57b263e665b445d32093faca9d1203a593609b934d648358e45b646030ef,251,175,76,0
oracle,1.0,0.1339330038862731,0.0,0.0,0.0,1.0,0.0,0,0,76,0.9433450310730067,0.4605263157894737,0.7236842105263158,44005,51bf57b263e665b445d32093faca9d1203a593609b934d648358e45b646030ef,251,175,76,0
direct_loss,0.3670886075949367,0.14443201750486084,0.005848294872863101,0.0,0.0714011725900762,0.8354430379746836,0.1518987341772152,10,40,29,0.8947192763145717,0.46835443037974683,0.0,44006,e6e42a683d37d3e14984f5c00c6930cceee1807da481a5ec1e36c74e8d16d0b7,261,182,79,1
fixed_risk_0.010,0.17721518987341772,0.14205214229668164,0.003468419664683912,0.0,0.08456251754376853,0.8734177215189873,0.11392405063291139,4,61,14,0.3055161847391234,0.9113924050632911,0.4430379746835443,44006,e6e42a683d37d3e14984f5c00c6930cceee1807da481a5ec1e36c74e8d16d0b7,261,182,79,1
